scale,Mutual cooperator,Exploited cooperator,Late converter,Endgame defector,Exploiter,Mutual defector
0.01,0.21833333333333332,0.13625,0.12791666666666668,0.13958333333333334,0.1125,0.2654166666666667
0.1,0.20791666666666667,0.14083333333333334,0.1675,0.155,0.10833333333333334,0.22041666666666668
0.25,0.3258333333333333,0.14166666666666666,0.14833333333333334,0.15083333333333335,0.10916666666666666,0.12416666666666666
0.5,0.22166666666666668,0.17916666666666667,0.1475,0.1975,0.135,0.11916666666666667
1.0,0.23041666666666666,0.17708333333333334,0.16416666666666666,0.18833333333333332,0.13666666666666666,0.10333333333333333
2.0,0.2758333333333333,0.15541666666666668,0.1375,0.2125,0.11916666666666667,0.09958333333333333
5.0,0.2708333333333333,0.15958333333333333,0.14333333333333334,0.20666666666666667,0.12625,0.09333333333333334
10.0,0.27375,0.15125,0.14041666666666666,0.21875,0.11541666666666667,0.10041666666666667
100.0,0.19583333333333333,0.15458333333333332,0.17416666666666666,0.2325,0.10583333333333333,0.13708333333333333
1000.0,0.25833333333333336,0.14083333333333334,0.13125,0.23958333333333334,0.11333333333333333,0.11666666666666667
