var_a,var_b,level,pearson_r,spearman_rho,n,p_value,p_fdr,note
efficiency,payoff_base,agent_game,-0.9999999999999998,-1.0,24000,0.0,0.0,"identity: utility = (10 - payoff_base)/10, efficiency = 1.25 x utility"
gini,fairness,dyad,-1.0,-0.9999997572393843,12000,0.0,0.0,identity: fairness = 1 - gini
utility,payoff_base,agent_game,-1.0,-0.9999752942467729,24000,0.0,0.0,"identity: utility = (10 - payoff_base)/10, efficiency = 1.25 x utility"
utility,efficiency,agent_game,1.0,0.9999752942467729,24000,0.0,0.0,identity: efficiency = 1.25 x utility
joint_utility,joint_efficiency,dyad,1.0,0.9998692436568717,12000,0.0,0.0,identity: joint_efficiency = 1.25 x joint_utility
utility_gap,gini,dyad,0.9936288445616512,0.991068249764029,12000,0.0,0.0,identity: gini = utility_gap / (u1 + u2)
utility_gap,fairness,dyad,-0.9936288445616512,-0.9910621204191155,12000,0.0,0.0,identity: gini = utility_gap / (u1 + u2)
joint_coop,joint_efficiency,dyad,0.9728564962096176,0.9853049882840677,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
joint_coop,joint_utility,dyad,0.9728564962096176,0.9846765871624237,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
p_DD,longest_dd,dyad,0.9464907982337074,0.9825914620526236,12000,0.0,0.0,same construct: all of these summarise the mutual-defection pattern
joint_utility,p_CC,dyad,0.9826264296097039,0.975050257654412,12000,0.0,0.0,payoff-matrix identity: joint_utility is a linear map of the shares
joint_efficiency,p_CC,dyad,0.9826264296097035,0.9746244296322514,12000,0.0,0.0,payoff-matrix identity: joint_utility is a linear map of the shares
joint_coop,p_CC,dyad,0.9130062342226453,0.9315076146564122,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
opp_coop_rate,utility,agent_game,0.9100639004036232,0.9161155738642436,24000,0.0,0.0,"payoff-matrix identity: utility = 0.4 + 0.4 opp_coop_rate + 0.2 dc_rate - 0.4 cd_rate, and the opponent's action moves the focal penalty by 6 to 8 against 2 for the focal action"
opp_coop_rate,payoff_base,agent_game,-0.9100639004036228,-0.9156505407996249,24000,0.0,0.0,"payoff-matrix identity: utility = 0.4 + 0.4 opp_coop_rate + 0.2 dc_rate - 0.4 cd_rate, and the opponent's action moves the focal penalty by 6 to 8 against 2 for the focal action"
opp_coop_rate,efficiency,agent_game,0.9100639004036228,0.9156505407996249,24000,0.0,0.0,"payoff-matrix identity: utility = 0.4 + 0.4 opp_coop_rate + 0.2 dc_rate - 0.4 cd_rate, and the opponent's action moves the focal penalty by 6 to 8 against 2 for the focal action"
p_exploit,gini,dyad,0.8996501146174916,0.8902683472658665,12000,0.0,0.0,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_exploit,fairness,dyad,-0.8996501146174912,-0.8902674671699555,12000,0.0,0.0,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
p_exploit,utility_gap,dyad,0.9007845259651767,0.8751186016834018,12000,0.0,0.0,"exact bound: utility_gap = |p_DC - p_CD| and p_exploit = p_CD + p_DC, so utility_gap <= p_exploit always"
coop_rate,coop_late,agent_game,0.8789465473875152,0.8673995796846571,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
last_coop,coop_late,agent_game,0.8632121044057787,0.8655947351513993,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
coop_rate,pC_after_C,agent_game,0.8820827795705435,0.8649726817603621,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
rule_distance,n_rules_fit,agent_game,-0.5996214750528027,-0.8609568887808718,24000,0.0,0.0,identity: rule_distance = 0 exactly when n_rules_fit >= 1
coop_rate,pC_after_D,agent_game,0.8563823313151149,0.8514679042433096,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
coop_rate,coop_early,agent_game,0.8316594051386276,0.8449894357482096,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
joint_coop,p_DD,dyad,-0.8611396027592165,-0.8392664656813028,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
first_coop,coop_early,agent_game,0.8077375031288018,0.8118958208550208,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
joint_coop,coop_rate_2,dyad,0.8136588104985469,0.8114007882012895,12000,0.0,0.0,identity: joint_coop is the mean of coop_rate_1 and coop_rate_2
joint_coop,longest_dd,dyad,-0.790523419305288,-0.8113477758130274,12000,0.0,0.0,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
joint_coop,coop_rate_1,dyad,0.8107555836003716,0.8050497422305256,12000,0.0,0.0,identity: joint_coop is the mean of coop_rate_1 and coop_rate_2
dc_rate,pC_after_C,agent_game,-0.7349914538374658,-0.8001732822452724,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
joint_efficiency,coop_rate_2,dyad,0.7936665434761044,0.799449280199651,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
joint_utility,coop_rate_2,dyad,0.7936665434761051,0.7982571034415035,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
joint_utility,coop_rate_1,dyad,0.7866409976248672,0.7900323019188955,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
joint_efficiency,coop_rate_1,dyad,0.7866409976248668,0.7898340759076178,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_late,pC_after_C,agent_game,0.794923953506288,0.7884597367838545,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
efficiency,cd_rate,agent_game,-0.8354846416572929,-0.7797420161627295,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
payoff_base,cd_rate,agent_game,0.8354846416572929,0.7797420161627295,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
utility,cd_rate,agent_game,-0.8354846416572932,-0.7796833763701057,24000,0.0,0.0,payoff-matrix identity: utility = 0.8 cc + 1.0 dc + 0.4 dd
joint_efficiency,p_DD,dyad,-0.7201240748872142,-0.7605667653109088,12000,0.0,0.0,payoff-matrix identity: joint_utility is a linear map of the shares
joint_utility,p_DD,dyad,-0.7201240748872143,-0.7585907598097515,12000,0.0,0.0,payoff-matrix identity: joint_utility is a linear map of the shares
p_CC,coop_rate_2,dyad,0.7465657648373603,0.7543581558069012,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_rate,cc_rate,agent_game,0.7415274362179741,0.7447038470072406,24000,0.0,0.0,identity: coop_rate = cc_rate + cd_rate
opp_coop_rate,cc_rate,agent_game,0.7415274362179741,0.7447038470072406,24000,0.0,0.0,identity: opp_coop_rate = cc_rate + dc_rate
first_coop_1,first_dd,dyad,0.6118802648500439,0.7376683781145902,6664,0.0,0.0,partly mechanical: agent 1's round-1 action is inside every one of these aggregates
joint_efficiency,longest_dd,dyad,-0.6481011619542212,-0.7358218059539425,12000,1.2775190691665445e-207,4.759384767483205e-207,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
p_CC,coop_rate_1,dyad,0.7365090457560359,0.7347691931976997,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
joint_utility,longest_dd,dyad,-0.648101161954221,-0.7337954446630254,12000,1.2775190691665445e-207,4.759384767483205e-207,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
p_DD,coop_rate_2,dyad,-0.6960752196572383,-0.7200010857441634,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_rate,last_coop,agent_game,0.7198503898624444,0.718109439173694,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
coop_rate,dd_rate,agent_game,-0.6994022799893485,-0.7107765102294539,24000,5.839244329811858e-274,2.5214918700736226e-273,partly mechanical: the outcome rates contain the focal action
opp_coop_rate,dd_rate,agent_game,-0.6994022799893485,-0.7107765102294539,24000,5.83924433069681e-274,2.5214918700736226e-273,partly mechanical: opp_coop_rate = cc_rate + dc_rate
dd_rate,pC_after_D,agent_game,-0.6902360315975264,-0.71006120489469,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
coop_rate_2,longest_dd,dyad,-0.6414736710492217,-0.706627683217968,12000,7.200712586858e-130,1.9972779438000292e-129,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
coop_late,pC_after_D,agent_game,0.7125653056750276,0.7036678220650833,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
p_DD,coop_rate_1,dyad,-0.7028043207832353,-0.7018749087860623,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_early,pC_after_D,agent_game,0.7024040394550753,0.6933761583203821,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
coop_rate_1,longest_dd,dyad,-0.6426760670638039,-0.685305860223028,12000,4.629450282896351e-144,1.3128291847019502e-143,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
cc_rate,pC_after_C,agent_game,0.6903429308311764,0.6804028992529974,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
coop_late,cc_rate,agent_game,0.6497790638331973,0.653484250165067,24000,0.0,0.0,partly mechanical: the outcome rates contain the focal action
coop_rate_1,first_coop_1,dyad,0.6312255548976046,0.6530812608391366,12000,0.0,0.0,partly mechanical: round 1 is one of the 10 rounds averaged
coop_early,pC_after_C,agent_game,0.6371431253413006,0.6483636404659415,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
last_coop,pC_after_C,agent_game,0.6498980402638432,0.6471809689569903,21022,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
coop_rate,first_coop,agent_game,0.613112854578427,0.6361354732579249,24000,0.0,0.0,nested: the second variable is one of the rounds averaged in the first
cd_rate,pC_after_D,agent_game,0.6199152657255923,0.6290539569564769,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
cc_rate,dd_rate,agent_game,-0.5788391096172774,-0.6234156469518871,24000,1.497586057209127e-225,5.866831976695549e-225,simplex: the four outcome rates sum to 1
p_CC,p_DD,dyad,-0.5788391096172777,-0.6234156469518871,12000,1.5300414960182576e-225,5.932813964152427e-225,"simplex: the four outcome shares sum to 1, p_exploit = p_CD + p_DC"
coop_early,dd_rate,agent_game,-0.6133693213923341,-0.6220450374665467,24000,4.514516936483846e-227,1.786996287358189e-226,partly mechanical: the outcome rates contain the focal action
p_CD,coop_rate_2,dyad,-0.6001699449164336,-0.6215647362513914,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
opp_coop_rate,cd_rate,agent_game,-0.596489910029899,-0.6212603080562551,24000,6.688665139276659e-159,2.033354202340104e-158,partly mechanical: opp_coop_rate = cc_rate + dc_rate
coop_rate,dc_rate,agent_game,-0.5964899100298989,-0.6212603080562551,24000,6.688665138497299e-159,2.033354202340104e-158,partly mechanical: the outcome rates contain the focal action
p_DC,coop_rate_1,dyad,-0.5926724130393284,-0.6199658917581721,12000,0.0,0.0,payoff-matrix identity: joint_coop = p_CC + p_exploit/2 and joint_utility = 0.4 + 0.4 joint_coop - 0.1 p_exploit
coop_early,cc_rate,agent_game,0.6018801107951731,0.6136930445583954,24000,0.0,0.0,partly mechanical: the outcome rates contain the focal action
p_CC,longest_dd,dyad,-0.5085071781038255,-0.6029350092861289,12000,2.4532423509630968e-144,7.009263859894563e-144,"structural: DD rounds are exactly the rounds in which neither agent cooperates, so the DD pattern bounds cooperation and utility"
coop_late,dd_rate,agent_game,-0.5955030730122902,-0.5920932272145727,24000,6.614393173842534e-224,2.5388579859193567e-223,partly mechanical: the outcome rates contain the focal action
p_CC,p_exploit,dyad,-0.6333223500157728,-0.5630569102293463,12000,4.5748291181071417e-299,2.094500078169535e-298,"simplex: the four outcome shares sum to 1, p_exploit = p_CD + p_DC"
coop_early,coop_late,agent_game,0.5528700152472068,0.5553293065079514,24000,0.0,0.0,empirical
coop_late,dc_rate,agent_game,-0.5458821755765129,-0.5546510677573246,24000,1.8208070388078206e-180,6.123067918114795e-180,partly mechanical: the outcome rates contain the focal action
p_CD,p_exploit,dyad,0.6004909792366314,0.552886659137718,12000,0.0,0.0,"simplex: the four outcome shares sum to 1, p_exploit = p_CD + p_DC"
last_coop,pC_after_D,agent_game,0.5546690506866553,0.5528406876663338,16873,0.0,0.0,partly mechanical: the conditional cooperation rates are sub-averages of the same action sequence
last_coop,cc_rate,agent_game,0.5395100572631808,0.5427398922831665,24000,0.0,0.0,partly mechanical: the outcome rates contain the focal action
p_DC,p_exploit,dyad,0.5827449439873172,0.5404702894568193,12000,0.0,0.0,"simplex: the four outcome shares sum to 1, p_exploit = p_CD + p_DC"
coop_late,endgame_drop,agent_game,-0.525161562412911,-0.5294467764632697,24000,0.0,0.0,identity: endgame_drop = coop_early - coop_late
dc_rate,n_rules_fit,agent_game,-0.33491034951102777,-0.5274599666149162,24000,6.251445632645241e-100,1.5943284163793234e-99,empirical
