table,column,dtype,n,n_unique,pct_missing,role,examples,min,max,mean,median,std,q01,q25,q50,q75,q99,skew,kurtosis,cv
raw CSV (lambda=1 slice),game_id,object,1200,40,0.0,identifier,game_0 | game_1 | game_2 | game_3,,,,,,,,,,,,,
raw CSV (lambda=1 slice),language,object,1200,5,0.0,grouping / experimental factor,ar | cn | en | fr,,,,,,,,,,,,,
raw CSV (lambda=1 slice),n_rounds_is_known,bool,1200,1,0.0,"CONSTANT - schema slot, carries no information here",True,,,,,,,,,,,,,
raw CSV (lambda=1 slice),max_rounds,int64,1200,1,0.0,"CONSTANT - schema slot, carries no information here",10,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
raw CSV (lambda=1 slice),played_rounds,int64,1200,1,0.0,"CONSTANT - schema slot, carries no information here",10,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0
raw CSV (lambda=1 slice),agents_communicate,bool,1200,1,0.0,"CONSTANT - schema slot, carries no information here",False,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_name,object,1200,1,0.0,"CONSTANT - schema slot, carries no information here",agent1,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_llm,object,1200,6,0.0,grouping / experimental factor (LLM identity),claude-haiku-4-5-20251001 | gemini-3.1-flash-lite-preview | gemini-3.5-flash-lite | gpt-5.4-nano-2026-03-17,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_personality,object,1200,10,0.0,"experimental condition (persona, localised string)",متعاون | أناني | 合作型的 | 自私型的,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_knows_opponent_with_prob,int64,1200,1,0.0,"CONSTANT - schema slot, carries no information here",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
raw CSV (lambda=1 slice),agent1_strategies,object,1200,300,0.0,"OUTCOME (action sequence, Python literal list)","['OptionB', 'OptionB', 'OptionB', 'Optio | ['OptionA', 'OptionB', 'OptionB', 'Optio | ['OptionB', 'OptionA', 'OptionB', 'Optio | ['OptionB', 'OptionA', 'OptionB', 'Optio",,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_scores,object,1200,616,0.0,"PAYOFF (penalty sequence, Python literal list)","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2] | [0, 10, 2, 2, 2, 2, 2, 2, 2, 2] | [10, 6, 10, 6, 2, 10, 6, 10, 2, 10] | [10, 6, 10, 6, 10, 2, 10, 2, 10, 6]",,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent1_messages,object,1200,1,0.0,"CONSTANT - schema slot, carries no information here",[],,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent2_name,object,1200,1,0.0,"CONSTANT - schema slot, carries no information here",agent2,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent2_llm,object,1200,6,0.0,grouping / experimental factor (LLM identity),claude-haiku-4-5-20251001 | gemini-3.1-flash-lite-preview | gemini-3.5-flash-lite | gpt-5.4-nano-2026-03-17,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent2_personality,object,1200,10,0.0,"experimental condition (persona, localised string)",متعاون | أناني | 合作型的 | 自私型的,,,,,,,,,,,,,
raw CSV (lambda=1 slice),agent2_knows_opponent_with_prob,int64,1200,1,0.0,"CONSTANT - schema slot, carries no information here",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
