grouping,scope,outcome,k_groups,observed_gap,p_perm,null_mean_gap,null_q95,eta2,gap_over_sd,n,argmax,argmin,p_fdr
language,pooled (6 models),joint_coop,5,0.05641666666666856,9.999000099990002e-05,0.013019564583333374,0.021709375000000492,0.004723721686219932,0.18732696282332154,12000,en,vn,0.0001999600079984003
language,pooled (6 models),joint_utility,5,0.02713749999999826,9.999000099990002e-05,0.005617143333332924,0.009366874999997568,0.005731906366715443,0.2049724237670522,12000,en,ar,0.0001999600079984003
language,Claude-Haiku-4.5,joint_coop,5,0.3402500000000006,0.0001999600079984003,0.02853717500000003,0.04762499999999999,0.1950583488445135,1.3884463931564486,2000,cn,vn,0.0001999600079984003
language,Qwen3-235B-A22B,joint_coop,5,0.1013749999999995,0.0001999600079984003,0.03132562500000004,0.05174999999999948,0.020878788200562395,0.3775337246056712,2000,vn,fr,0.0001999600079984003
language,GPT-5.4-Nano,joint_coop,5,0.33962499999999957,0.0001999600079984003,0.029442774999999994,0.048756250000000265,0.205991047381793,1.336592513660243,2000,en,ar,0.0001999600079984003
language,Gemini-3.1-Flash-Lite,joint_coop,5,0.15400000000000036,0.0001999600079984003,0.028409900000000026,0.0471250000000001,0.04184991906358278,0.629362705423788,2000,ar,vn,0.0001999600079984003
language,Grok-4.20-Non-Reasoning,joint_coop,5,0.24537500000000012,0.0001999600079984003,0.040685599999999954,0.0676249999999993,0.08132290539750689,0.700028165745398,2000,vn,ar,0.0001999600079984003
language,Gemini-3.5-Flash-Lite,joint_coop,5,0.1337499999999987,0.0001999600079984003,0.030425324999999902,0.05075000000000008,0.03654870594725927,0.5125757142665333,2000,ar,en,0.0001999600079984003
language,Claude-Haiku-4.5,joint_utility,5,0.12715000000000065,0.0001999600079984003,0.012038990000000034,0.019976250000000056,0.15641704185095454,1.2275103803842438,2000,cn,vn,0.0001999600079984003
language,Qwen3-235B-A22B,joint_utility,5,0.05337500000000156,0.0001999600079984003,0.010828910000000034,0.017850000000000154,0.04652310822987244,0.5747844281066994,2000,vn,fr,0.0001999600079984003
language,GPT-5.4-Nano,joint_utility,5,0.15412500000000162,0.0001999600079984003,0.013126615000000143,0.021900000000000037,0.2173450802760456,1.3604467645857754,2000,en,ar,0.0001999600079984003
language,Gemini-3.1-Flash-Lite,joint_utility,5,0.05530000000000135,0.0001999600079984003,0.014506755000000243,0.023925000000000106,0.022969272912696244,0.44250058296405403,2000,ar,vn,0.0001999600079984003
language,Grok-4.20-Non-Reasoning,joint_utility,5,0.11337500000000189,0.0001999600079984003,0.017180940000000196,0.02847500000000059,0.09839460652924786,0.7665260395836885,2000,vn,ar,0.0001999600079984003
language,Gemini-3.5-Flash-Lite,joint_utility,5,0.0641500000000026,0.0001999600079984003,0.013760735000000152,0.022950000000000154,0.044455881448613566,0.543905908490409,2000,ar,fr,0.0001999600079984003
persona pairing,pooled (6 models),joint_coop,4,0.05071666666666941,0.0001999600079984003,0.010292296666666775,0.018133333333332675,0.004525656984522479,0.16840057544206177,12000,SvS,CvC,0.0001999600079984003
persona pairing,pooled (6 models),joint_utility,4,0.03130333333333213,0.0001999600079984003,0.004449419333332909,0.007833333333331943,0.00927549286563312,0.23643740599986934,12000,CvC,SvC,0.0001999600079984003
model,pooled (6 models),joint_coop,6,0.3359750000000017,0.0001999600079984003,0.01692523500000006,0.02699999999999917,0.17761470930683718,1.1155777193718817,12000,Gemini-3.5-Flash-Lite,Claude-Haiku-4.5,0.0001999600079984003
model,pooled (6 models),joint_utility,6,0.1563600000000015,0.0001999600079984003,0.007444467999999659,0.011854999999998412,0.20518295259584288,1.1810037100034505,12000,Gemini-3.5-Flash-Lite,Qwen3-235B-A22B,0.0001999600079984003
payoff scale,pooled (6 models),joint_coop,10,0.12483333333333302,0.0001999600079984003,0.02419457500000005,0.035333333333333446,0.017129602096805512,0.41449895171244544,12000,0.25,0.01,0.0001999600079984003
payoff scale,pooled (6 models),joint_utility,10,0.05001666666666493,0.0001999600079984003,0.010461273333333203,0.015267083333334455,0.01366535776507206,0.37778120296326834,12000,0.25,0.01,0.0001999600079984003
seat (agent 1 vs 2),pooled (6 models),coop_rate,2,0.005833333333333334,0.13857228554289142,0.003127833333333333,0.007571666666666663,6.186803147375749e-05,0.015731246800397926,24000,2,1,0.13857228554289142
seat (agent 1 vs 2),pooled (6 models),utility,2,0.005833333333333334,0.13857228554289142,0.003127833333333333,0.007571666666666661,0.00013224189659796212,0.02299929534555023,24000,1,2,0.13857228554289142
