scope,level,n_rounds,pC_R,pC_R_lo,pC_R_hi,n_R,pC_S,pC_S_lo,pC_S_hi,n_S,pC_T,pC_T_lo,pC_T_hi,n_T,pC_P,pC_P_lo,pC_P_hi,n_P,recip_partial,persist_partial
model,Claude-Haiku-4.5,36000.0,0.8032206486980357,0.7877960882743101,0.8164099615187337,8756.0,0.3884686501933098,0.3674587137031203,0.4068380318645027,5949.0,0.3429147755925366,0.33092776100495924,0.3554029848533151,5949.0,0.2726443372865893,0.26348150656608205,0.2814330891557242,15346.0,0.24251121840533657,0.2880650930061098
model,Qwen3-235B-A22B,36000.0,0.7507147962830594,0.7308945556919868,0.7677128960873748,5596.0,0.930488782051282,0.9242496763693103,0.9368750440541622,9984.0,0.0868389423076923,0.08004051430505946,0.09362223039724035,9984.0,0.09658873131467996,0.08606674446116128,0.10799011698708659,10436.0,-0.09476188738760516,0.7488879523559846
model,GPT-5.4-Nano,36000.0,0.8012015660861347,0.7904060665959178,0.8112107545937461,14814.0,0.6068559954102123,0.5930968519766837,0.6190306335853941,6972.0,0.47145725760183593,0.4586435749739026,0.4844132566028986,6972.0,0.38290527478597075,0.3636474609609595,0.4008070924142739,7242.0,0.1414487767458938,0.27684751455427015
model,Gemini-3.1-Flash-Lite,36000.0,0.8565938206480783,0.8447428877372279,0.8673649496512144,13270.0,0.860219685548137,0.8503398204259869,0.8692459578165185,9286.0,0.06902864527245316,0.06364602169671556,0.07440348282760086,9286.0,0.4083694083694084,0.38823230208916815,0.4275060751251326,4158.0,-0.17148331399850694,0.6197077262771769
model,Grok-4.20-Non-Reasoning,36000.0,0.9965451404673152,0.9956942359632532,0.9973163761602813,21998.0,0.8011934673366834,0.7841941411546421,0.8176652006210202,3184.0,0.29962311557788945,0.283484726438185,0.3168889460753787,3184.0,0.11763164789101388,0.10834255670685641,0.1274977238795491,7634.0,0.1886715704087537,0.6902419221675477
model,Gemini-3.5-Flash-Lite,36000.0,0.9242397990123885,0.9195696412119195,0.9284317776849237,23086.0,0.7348963029756538,0.7176213180758635,0.7517022394289168,4436.0,0.33047790802524796,0.31515272986701853,0.3452598597221855,4436.0,0.18208807521029194,0.16461669425300562,0.2010276896935386,4042.0,0.16886666442584536,0.5732850593762512
language,en,43200.0,0.9116075030254135,0.9050670172575374,0.9172741028869335,19832.0,0.7159391995537582,0.700762220156066,0.7326177047053278,7171.0,0.2489192581229954,0.234601984466251,0.2623720225024033,7171.0,0.22900509638821184,0.21466634963939002,0.24519716147092152,9026.0,0.10779123260321943,0.5748111740339822
language,fr,43200.0,0.8921524913610522,0.8839873981184813,0.8998276560198808,17942.0,0.7104377104377104,0.69425136258941,0.7257467517092879,8019.0,0.19590971442823293,0.18427067182448253,0.20900749301298063,8019.0,0.30065075921908896,0.2837985456457897,0.3166345458686067,9220.0,0.038486868066242894,0.5530148640757204
language,ar,43200.0,0.8910503418272219,0.8830269501287787,0.8993248913172058,16090.0,0.8209079056536683,0.8092670010086959,0.833177705901425,8437.0,0.2033898305084746,0.19131893739365802,0.2153963147924701,8437.0,0.18141852286049237,0.1707880550907575,0.19365016570434637,10236.0,0.04605687191076788,0.6635749470559617
language,cn,43200.0,0.8673881144534116,0.8594500976321228,0.8755589184878775,16356.0,0.7950994717320445,0.7824863333829734,0.8072872481082696,8897.0,0.2562661571316174,0.24396631480128955,0.2688541474271791,8897.0,0.2,0.18683408396661857,0.2148297186240706,9050.0,0.0642773999264922,0.6031107145269194
language,vn,43200.0,0.8739306358381503,0.8658659457288512,0.882074992360619,17300.0,0.6587072869493619,0.6416806187902947,0.6752333173579175,7287.0,0.26114999313846576,0.2483268673386557,0.27421022680649854,7287.0,0.24642415680734592,0.23436108866824218,0.25840647716261145,11326.0,0.11497459260995416,0.5125318864208502
pairing,CvC,54000.0,0.9727414330218068,0.969674920892368,0.9754143229962484,26964.0,0.45755199454483464,0.4380273528048215,0.47783801538238174,2933.0,0.4797136038186158,0.45908900482769555,0.49982851179065546,2933.0,0.08885214926783183,0.08355864940432267,0.09506479934124616,21170.0,0.45302544651387805,0.4308638372400969
pairing,CvS,54000.0,0.9284783317041382,0.9234600750929618,0.9332832226725731,18414.0,0.7482327351821643,0.7367388176439271,0.7586970142856613,12873.0,0.23424935319208448,0.2250543522351264,0.2428170041127907,14301.0,0.2598668568711365,0.24766789845070172,0.27154928414057705,8412.0,0.07731404642146096,0.5912974284115408
pairing,SvC,54000.0,0.8106332138590203,0.8030966437442196,0.817792204526347,18414.0,0.8463044542339696,0.8370044474120316,0.8546713710727722,14301.0,0.1688806028120873,0.16146341560269883,0.17658674078877676,12873.0,0.3313124108416548,0.3196989487837607,0.34249088825047713,8412.0,-0.09905152420225839,0.578372327219624
pairing,SvS,54000.0,0.8208024275118004,0.8118573143798891,0.8285813142366001,23728.0,0.6753915910964551,0.6624970489299147,0.6860029871523956,9704.0,0.23948887056883758,0.22863562198026877,0.2511431859270802,9704.0,0.40896539027982326,0.3958139561559508,0.4218518840657282,10864.0,-0.012032841647820161,0.4238698788797973
canonical rule,AllC,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,0.0,0.0
canonical rule,AllD,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0
canonical rule,TFT,,1.0,,,,0.0,,,,1.0,,,,0.0,,,,1.0,0.0
canonical rule,WSLS,,1.0,,,,0.0,,,,0.0,,,,1.0,,,,0.0,0.0
canonical rule,GRIM,,1.0,,,,0.0,,,,0.0,,,,0.0,,,,0.5,0.5
