family,dropped,n_cells,n_levels,n_games,slope_per_decade,p_slope_perm,range_level_means,p_range_perm,var_level_means,p_var_perm,sign_flip_vs_full,slope_pct_of_full
none,full sample,1200,10,12000,0.013365795276370426,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.001553679861111112,0.0004997501249375312,False,100.0
model,Claude-Haiku-4.5,1000,10,10000,0.015475679530643197,0.0004997501249375312,0.15690000000000004,0.0004997501249375312,0.0020922879000000003,0.0004997501249375312,False,115.78569932163231
model,Qwen3-235B-A22B,1000,10,10000,0.019420313172511323,0.0004997501249375312,0.15405000000000002,0.0004997501249375312,0.0026125206250000002,0.0004997501249375312,False,145.29859818251714
model,GPT-5.4-Nano,1000,10,10000,0.008434042378031758,0.0004997501249375312,0.10860000000000003,0.0004997501249375312,0.0013644731249999997,0.0004997501249375312,False,63.101687581152895
model,Gemini-3.1-Flash-Lite,1000,10,10000,0.01918185351957894,0.0004997501249375312,0.1539000000000001,0.0004997501249375312,0.0024474304000000023,0.0004997501249375312,False,143.51449444606416
model,Grok-4.20-Non-Reasoning,1000,10,10000,-0.0025631844342833246,0.04847576211894053,0.047900000000000054,0.0004997501249375312,0.00018828472500000072,0.0004997501249375312,True,-19.177193584693114
model,Gemini-3.5-Flash-Lite,1000,10,10000,0.02024606749174044,0.0004997501249375312,0.15924999999999995,0.0004997501249375312,0.002268764725000001,0.0004997501249375312,False,151.4767140533249
language,English,960,10,9600,0.0115307313756475,0.0004997501249375312,0.11656250000000001,0.0004997501249375312,0.0012756040852864568,0.0004997501249375312,False,86.27044734130291
language,French,960,10,9600,0.019264889692609862,0.0004997501249375312,0.15802083333333333,0.0004997501249375312,0.0022475335286458336,0.0004997501249375312,False,144.13575319882779
language,Arabic,960,10,9600,0.011032514291543631,0.0004997501249375312,0.12687499999999996,0.0004997501249375312,0.001353980143229166,0.0004997501249375312,False,82.5428944811699
language,Chinese,960,10,9600,0.01176919730039161,0.0004997501249375312,0.1311979166666667,0.0004997501249375312,0.0017680019531250003,0.0004997501249375312,False,88.0545980020997
language,Vietnamese,960,10,9600,0.01323164372165935,0.0004997501249375312,0.11854166666666655,0.0004997501249375312,0.001470300591362848,0.0004997501249375312,False,98.99630697659835
pairing,CvC,900,10,9000,-0.0017744695543063518,0.18290854572713644,0.06144444444444441,0.0004997501249375312,0.00030624385802469057,0.0004997501249375312,True,-13.276198816567698
pairing,CvS,900,10,9000,0.01706706892885756,0.0004997501249375312,0.13733333333333325,0.0004997501249375312,0.0020951144753086426,0.0004997501249375312,False,127.69213186311978
pairing,SvC,900,10,9000,0.012844524323616215,0.0004997501249375312,0.1286666666666666,0.0004997501249375312,0.001621165308641975,0.0004997501249375312,False,96.09996306261122
pairing,SvS,900,10,9000,0.025326057407314136,0.0004997501249375312,0.1806666666666667,0.0004997501249375312,0.0037394550617283924,0.0004997501249375312,False,189.48410389083563
lambda level,0.01,1200,9,10800,0.00283935322017075,0.049475262368815595,0.0970416666666668,0.0004997501249375312,0.0008387027177640619,0.0004997501249375312,False,21.24342892779812
lambda level,0.1,1200,9,10800,0.010017948864791569,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.001325199845679012,0.0004997501249375312,False,74.95213459166503
lambda level,0.25,1200,9,10800,0.01628101445411949,0.0004997501249375312,0.1190416666666666,0.0004997501249375312,0.0015283683556241434,0.0004997501249375312,False,121.81104167368865
lambda level,0.5,1200,9,10800,0.013606590524148993,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.0017260175325788762,0.0004997501249375312,False,101.80157815378388
lambda level,1,1200,9,10800,0.013818859550751475,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.001672727280521263,0.0004997501249375312,False,103.38972926797724
lambda level,2,1200,9,10800,0.013383134529335247,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.0015814884259259274,0.0004997501249375312,False,100.129728554166
lambda level,5,1200,9,10800,0.01290617762415271,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.0016473395490397816,0.0004997501249375312,False,96.56123977126688
lambda level,10,1200,9,10800,0.012492770064456501,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.001612716992455419,0.0004997501249375312,False,93.4682134967505
lambda level,100,1200,9,10800,0.017914914354557148,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.0016950343792866951,0.0004997501249375312,False,134.03552863202364
lambda level,1000,1200,9,10800,0.02080637040855935,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.001717391203703705,0.0004997501249375312,False,155.6687797346651
lambda pair,0.01 and 0.1,1200,8,9600,-0.007675565291563099,0.0004997501249375312,0.05595833333333333,0.0004997501249375312,0.00032313278537326394,0.0004997501249375312,True,-57.426925467972985
lambda pair,"0.01, 0.1, 0.25",1200,7,8400,-0.0054391952078822236,0.0009995002498750624,0.05016666666666658,0.0004997501249375312,0.00028797541099773226,0.0004997501249375312,True,-40.694886427732825
lambda pair,100 and 1000,1200,8,9600,0.03997626079927066,0.0004997501249375312,0.12483333333333335,0.0004997501249375312,0.0019005415581597237,0.0004997501249375312,False,299.0937686285323
lambda pair,0.01 and 1000,1200,8,9600,0.006146858951464563,0.004997501249375313,0.0970416666666668,0.0004997501249375312,0.000943421196831599,0.0004997501249375312,False,45.989474059442465
