rule,trim_fraction,n_cells_kept,slope_per_decade,range_level_means,p_slope_perm,p_range_perm,slope_pct_of_full
trim by per-cell slope (influence),0.0,1200,0.013365795276370367,0.1248333333333328,0.000999000999000999,0.000999000999000999,99.99999999999956
trim by cell mean cooperation (level),0.0,1200,0.013365795276370367,0.1248333333333328,0.000999000999000999,0.000999000999000999,99.99999999999956
trim by per-cell slope (influence),0.01,1188,0.013244428825780231,0.12441077441077375,0.000999000999000999,0.000999000999000999,99.09196237050885
trim by cell mean cooperation (level),0.01,1200,0.013365795276370367,0.1248333333333328,0.000999000999000999,0.000999000999000999,99.99999999999956
trim by per-cell slope (influence),0.05,1140,0.012674859396565116,0.11868421052631484,0.000999000999000999,0.000999000999000999,94.83056664030441
trim by cell mean cooperation (level),0.05,1170,0.013700379047819228,0.12803418803418742,0.000999000999000999,0.000999000999000999,102.50328367695649
trim by per-cell slope (influence),0.1,1080,0.011925187712119706,0.11097222222222192,0.000999000999000999,0.000999000999000999,89.22168464754513
trim by cell mean cooperation (level),0.1,1082,0.014056563968792108,0.13553604436229105,0.000999000999000999,0.000999000999000999,105.16818249971928
trim by per-cell slope (influence),0.2,960,0.010634755766872093,0.09927083333333253,0.000999000999000999,0.000999000999000999,79.56695091442425
trim by cell mean cooperation (level),0.2,962,0.01370713376669717,0.13929313929313758,0.000999000999000999,0.000999000999000999,102.55382102799526
median of per-cell slopes (no trimming),,1200,0.00039457220216384083,,8.995272220774928e-07,,2.9521041883786032
