path,scale,model_dir,language,n_rows,n_cols,bytes,n_missing,n_dup_rows,llm_matches_dir,selfplay,seq_len_ok
0.01/claude-haiku-4-5-20251001/x0.01_ar_claude-haiku-4-5-20251001.csv,0.01,claude-haiku-4-5-20251001,ar,40,20,18977,0,0,True,True,True
0.01/claude-haiku-4-5-20251001/x0.01_cn_claude-haiku-4-5-20251001.csv,0.01,claude-haiku-4-5-20251001,cn,40,20,18913,0,0,True,True,True
0.01/claude-haiku-4-5-20251001/x0.01_en_claude-haiku-4-5-20251001.csv,0.01,claude-haiku-4-5-20251001,en,40,20,18917,0,0,True,True,True
0.01/claude-haiku-4-5-20251001/x0.01_fr_claude-haiku-4-5-20251001.csv,0.01,claude-haiku-4-5-20251001,fr,40,20,19297,0,0,True,True,True
0.01/claude-haiku-4-5-20251001/x0.01_vn_claude-haiku-4-5-20251001.csv,0.01,claude-haiku-4-5-20251001,vn,40,20,20189,0,0,True,True,True
0.01/gemini-3.1-flash-lite-preview/x0.01_ar_gemini-3.1-flash-lite-preview.csv,0.01,gemini-3.1-flash-lite-preview,ar,40,20,18849,0,0,True,True,True
0.01/gemini-3.1-flash-lite-preview/x0.01_cn_gemini-3.1-flash-lite-preview.csv,0.01,gemini-3.1-flash-lite-preview,cn,40,20,18997,0,0,True,True,True
0.01/gemini-3.1-flash-lite-preview/x0.01_en_gemini-3.1-flash-lite-preview.csv,0.01,gemini-3.1-flash-lite-preview,en,40,20,18997,0,0,True,True,True
0.01/gemini-3.1-flash-lite-preview/x0.01_fr_gemini-3.1-flash-lite-preview.csv,0.01,gemini-3.1-flash-lite-preview,fr,40,20,19073,0,0,True,True,True
0.01/gemini-3.1-flash-lite-preview/x0.01_vn_gemini-3.1-flash-lite-preview.csv,0.01,gemini-3.1-flash-lite-preview,vn,40,20,20101,0,0,True,True,True
0.01/gemini-3.5-flash-lite/x0.01_ar_gemini-3.5-flash-lite.csv,0.01,gemini-3.5-flash-lite,ar,40,20,19001,0,0,True,True,True
0.01/gemini-3.5-flash-lite/x0.01_cn_gemini-3.5-flash-lite.csv,0.01,gemini-3.5-flash-lite,cn,40,20,19001,0,0,True,True,True
0.01/gemini-3.5-flash-lite/x0.01_en_gemini-3.5-flash-lite.csv,0.01,gemini-3.5-flash-lite,en,40,20,18949,0,0,True,True,True
