outcome,label,scope,n,pooled_slope_per_decade,pooled_lo,pooled_hi,pooled_p,pooled_r2,within_cell_slope,within_lo,within_hi,range_across_scales,value_at_min_scale,value_at_max_scale,argmax_scale,argmin_scale,monotone
coop_rate,cooperation rate,all,24000,0.01336579527637056,0.009273535488844253,0.017458055063896867,1.5388827431975281e-10,0.0024780245578072124,0.013365795276370386,0.009127410521600791,0.017590989170568956,0.12483333333333335,0.50475,0.5980416666666667,0.25,0.01,False
coop_rate,cooperation rate,Claude-Haiku-4.5,4000,0.002816374005005992,-0.006967639551922084,0.012600387561934068,0.5726283792156577,0.00019813491268172445,0.00281637400500619,-0.007045748631520069,0.011771277936389487,0.08075000000000004,0.40700000000000003,0.40125,1.0,0.25,False
coop_rate,cooperation rate,Qwen3-235B-A22B,4000,-0.01690679420433428,-0.023117843753528697,-0.010695744655139868,9.548028380965966e-08,0.0029598586734747023,-0.016906794204334184,-0.023419835491435826,-0.010422594046051488,0.09475000000000006,0.47625,0.41125,0.1,100.0,False
coop_rate,cooperation rate,GPT-5.4-Nano,4000,0.03802455976806304,0.03070960527460025,0.04533951426152583,2.236982622660586e-24,0.033271011189403454,0.038024559768063605,0.03037029914926653,0.04561760976761419,0.24275000000000002,0.43775,0.653,5.0,0.01,False
coop_rate,cooperation rate,Gemini-3.1-Flash-Lite,4000,-0.015714495939672363,-0.0187485963645139,-0.012680395514830824,3.2721879153931702e-24,0.003021885064192209,-0.0157144959396723,-0.018917774702711856,-0.012549848686014728,0.07174999999999998,0.64125,0.5765,0.1,1000.0,False
coop_rate,cooperation rate,Grok-4.20-Non-Reasoning,4000,0.09301069382964017,0.08496965207819719,0.10105173558108314,8.681201138156136e-114,0.11809121450789994,0.09301069382963893,0.08514555091101346,0.10149493963138338,0.636,0.27449999999999997,0.8647499999999999,2.0,0.01,False
coop_rate,cooperation rate,Gemini-3.5-Flash-Lite,4000,-0.02103556580047994,-0.03330775149829465,-0.008763380102665226,0.0007807113664384299,0.009448472130685226,-0.021035565800479893,-0.032826076710064794,-0.008198654813806916,0.1904999999999999,0.79175,0.6815000000000001,0.25,1000.0,False
efficiency,efficiency (1 = mutual C),all,24000,0.005999746772073119,0.0037771948989444907,0.008222298645201747,1.217195353784398e-07,0.000683069011613191,0.005999746772072723,0.003841562789812983,0.008224621635856442,0.06252083333333336,0.7098958333333333,0.7528854166666666,0.25,0.01,False
efficiency,efficiency (1 = mutual C),Claude-Haiku-4.5,4000,0.00028877412760155985,-0.004851145927286483,0.005428694182489603,0.9123174635572148,3.765654763676629e-06,0.0002887741276021618,-0.004868518104254345,0.004958570414100609,0.03968749999999999,0.66925,0.6586875000000001,1.0,0.25,False
efficiency,efficiency (1 = mutual C),Qwen3-235B-A22B,4000,-0.00867896518341893,-0.012742055093073424,-0.004615875273764435,2.8318662289945632e-05,0.0007616932244374208,-0.008678965183420293,-0.012825669323768241,-0.0046136979649361465,0.05043749999999991,0.6705625000000001,0.6370625,0.1,100.0,False
efficiency,efficiency (1 = mutual C),GPT-5.4-Nano,4000,0.018244724260972428,0.014333588048846137,0.02215586047309872,6.081755410720399e-20,0.013041813027945492,0.018244724260972546,0.014309255124962365,0.022091261369635195,0.12406249999999996,0.6714375,0.7767499999999999,5.0,0.01,False
efficiency,efficiency (1 = mutual C),Gemini-3.1-Flash-Lite,4000,-0.00777182584743949,-0.00929067778700887,-0.006252973907870109,1.137129333642824e-23,0.0006606241760908071,-0.007771825847440676,-0.009246322098810602,-0.006175021254378814,0.03843750000000001,0.7570625,0.7246250000000001,0.1,1000.0,False
efficiency,efficiency (1 = mutual C),Grok-4.20-Non-Reasoning,4000,0.049083141919070525,0.04496901329433242,0.05319727054380863,6.346257070754938e-121,0.07592065728612374,0.04908314191906952,0.044900393548644654,0.053274310799930266,0.33262500000000006,0.6111249999999999,0.9193125000000001,2.0,0.01,False
efficiency,efficiency (1 = mutual C),Gemini-3.5-Flash-Lite,4000,-0.015167368644346549,-0.02189910837698389,-0.008435628911709209,1.005348564513071e-05,0.007989827144595618,-0.015167368644346903,-0.02153017323774898,-0.00840030286943156,0.11574999999999991,0.8799375,0.800875,0.25,1000.0,False
utility,own utility,all,24000,0.0047997974176586,0.003021755919155698,0.0065778389161615025,1.2171953537836206e-07,0.000683069011613191,0.004799797417658179,0.0030732502318503857,0.0065796973086851545,0.05001666666666671,0.5679166666666666,0.6023083333333333,0.25,0.01,False
