metric,model,mean,ci_lo,ci_hi,n_games
joint_coop,Claude-Haiku-4.5,0.41480000000000006,0.392661875,0.43795375,2000
joint_coop,Qwen3-235B-A22B,0.43512500000000004,0.39856875,0.46975249999999996,2000
joint_coop,GPT-5.4-Nano,0.606375,0.5864475,0.628150625,2000
joint_coop,Gemini-3.1-Flash-Lite,0.6172,0.58562125,0.650305625,2000
joint_coop,Grok-4.20-Non-Reasoning,0.7129749999999998,0.683474375,0.7407012499999999,2000
joint_coop,Gemini-3.5-Flash-Lite,0.750775,0.7366468749999999,0.7655250000000001,2000
joint_efficiency,Claude-Haiku-4.5,0.6652750000000001,0.6537246875,0.6772903125,2000
joint_efficiency,Qwen3-235B-A22B,0.6483687499999999,0.634509375,0.66198875,2000
joint_efficiency,GPT-5.4-Nano,0.75548125,0.7444818750000001,0.7674942187499999,2000
joint_efficiency,Gemini-3.1-Flash-Lite,0.7438125,0.7233129687500001,0.76553671875,2000
joint_efficiency,Grok-4.20-Non-Reasoning,0.83573125,0.8206303125000001,0.85002625,2000
joint_efficiency,Gemini-3.5-Flash-Lite,0.8438187500000001,0.8348540624999999,0.8528501562500002,2000
p_CC,Claude-Haiku-4.5,0.24630000000000002,0.22120000000000004,0.2730024999999999,2000
p_CC,Qwen3-235B-A22B,0.15835,0.13469625000000002,0.18140749999999997,2000
p_CC,GPT-5.4-Nano,0.41555,0.39009750000000004,0.44304999999999994,2000
p_CC,Gemini-3.1-Flash-Lite,0.3580499999999999,0.30624625,0.41125249999999997,2000
p_CC,Grok-4.20-Non-Reasoning,0.6299499999999999,0.59824875,0.6601525,2000
p_CC,Gemini-3.5-Flash-Lite,0.6245,0.6026487500000001,0.6474000000000001,2000
dd_absorbed,Claude-Haiku-4.5,0.045500000000000006,0.036,0.055999999999999994,2000
dd_absorbed,Qwen3-235B-A22B,0.23099999999999998,0.18050000000000005,0.28550000000000003,2000
dd_absorbed,GPT-5.4-Nano,0.032,0.024000000000000004,0.040999999999999995,2000
dd_absorbed,Gemini-3.1-Flash-Lite,0.031,0.021500000000000005,0.0415,2000
dd_absorbed,Grok-4.20-Non-Reasoning,0.08200000000000002,0.061500000000000006,0.10400000000000001,2000
dd_absorbed,Gemini-3.5-Flash-Lite,0.15,0.13150000000000003,0.17101249999999996,2000
