scope,level,state,n_dyads,absorbed_share,wilson_lo,wilson_hi,median_absorption_round
model,Claude-Haiku-4.5,DD,2000,0.0455,0.03720513368317002,0.05553752621569624,6.0
model,Claude-Haiku-4.5,CC,2000,0.2055,0.1883635721088936,0.22376561015780855,5.0
model,Qwen3-235B-A22B,DD,2000,0.231,0.21305437194408466,0.24997703732499132,1.0
model,Qwen3-235B-A22B,CC,2000,0.0735,0.0628625230852384,0.08577277822799914,9.0
model,GPT-5.4-Nano,DD,2000,0.032,0.02513901392440653,0.04065540814967358,9.0
model,GPT-5.4-Nano,CC,2000,0.1525,0.1374112217510134,0.16892117498134313,1.0
model,Gemini-3.1-Flash-Lite,DD,2000,0.031,0.024257353031001076,0.03954090327828007,8.0
model,Gemini-3.1-Flash-Lite,CC,2000,0.251,0.2324867312627956,0.2704679933022598,1.0
model,Grok-4.20-Non-Reasoning,DD,2000,0.082,0.07076162448793857,0.09484108582609024,1.0
model,Grok-4.20-Non-Reasoning,CC,2000,0.7685,0.7495099990595752,0.7864605087889492,1.0
model,Gemini-3.5-Flash-Lite,DD,2000,0.15,0.13502226203598425,0.16631972028437483,8.0
model,Gemini-3.5-Flash-Lite,CC,2000,0.3795,0.35848258354907764,0.40097944179264594,1.0
scale,0.01,DD,1200,0.18166666666666667,0.160878013842295,0.20448699763429795,1.0
scale,0.01,CC,1200,0.23916666666666667,0.2158874506880134,0.26411058227579176,2.0
scale,0.1,DD,1200,0.1175,0.10048906902447352,0.13695213586494048,1.0
scale,0.1,CC,1200,0.32166666666666666,0.2958422495226537,0.34862924905323855,2.0
scale,0.25,DD,1200,0.06916666666666667,0.056142105418896374,0.08494090749575951,2.0
scale,0.25,CC,1200,0.33916666666666667,0.3129311290559015,0.3664286804074033,1.0
scale,0.5,DD,1200,0.10166666666666667,0.08581873260755,0.12005685766944325,6.0
scale,0.5,CC,1200,0.30083333333333334,0.27555364902319457,0.327384146115302,2.0
scale,1.0,DD,1200,0.0875,0.07279998406069442,0.1048326878788697,1.0
scale,1.0,CC,1200,0.29833333333333334,0.27312319968650256,0.32483055103950653,1.0
scale,2.0,DD,1200,0.07916666666666666,0.06519836714262486,0.09582082342198095,6.0
scale,2.0,CC,1200,0.34,0.3137459107047025,0.36727524689609814,1.0
scale,5.0,DD,1200,0.07333333333333333,0.05990609851007575,0.08948365509205927,4.0
scale,5.0,CC,1200,0.3075,0.2820392852290308,0.33418929500943234,1.0
scale,10.0,DD,1200,0.06583333333333333,0.053141485988826544,0.081296134375846,4.0
scale,10.0,CC,1200,0.30916666666666665,0.28366169287142806,0.3358895836420267,1.0
scale,100.0,DD,1200,0.09333333333333334,0.07814701567002605,0.11111509323200891,1.0
scale,100.0,CC,1200,0.295,0.2698840294403673,0.32142432873565835,2.0
scale,1000.0,DD,1200,0.08333333333333333,0.06899344609403935,0.10033248515804563,5.0
scale,1000.0,CC,1200,0.3,0.2747433976705781,0.3265330493304226,1.0
