from_state,to_state,probability,n_from
CC,CC,0.8104204753199269,43760.0
CD,CC,0.1332545958714183,19474.0
DC,CC,0.17455868613856518,20337.0
DD,CC,0.09652462237504605,24429.0
CC,CD,0.0813071297989031,43760.0
CD,CD,0.6021361815754339,19474.0
DC,CD,0.07016767468161479,20337.0
DD,CD,0.1293135208154243,24429.0
CC,DC,0.07410877513711152,43760.0
CD,DC,0.08642292287152101,19474.0
DC,DC,0.5782563799970497,20337.0
DD,DC,0.1400794138114536,24429.0
CC,DD,0.0341636197440585,43760.0
CD,DD,0.17818629968162678,19474.0
DC,DD,0.1770172591827703,20337.0
DD,DD,0.634082442998076,24429.0
stationary,CC,0.4113703341316105,
observed_all_rounds,CC,0.40545,
observed_round1,CC,0.39058333333333334,
observed_round10,CC,0.4078333333333333,
stationary,CD,0.1872864697887423,
observed_all_rounds,CD,0.181175,
observed_round1,CD,0.15591666666666668,
observed_round10,CD,0.18891666666666668,
stationary,DC,0.18313936804825298,
observed_all_rounds,DC,0.18700833333333333,
observed_round1,DC,0.19441666666666665,
observed_round10,DC,0.17533333333333334,
stationary,DD,0.21820382803139435,
observed_all_rounds,DD,0.22636666666666666,
observed_round1,DD,0.25908333333333333,
observed_round10,DD,0.22791666666666666,
