scope,statistic,observed,null_mean,null_sd,null_p95,null_p99,p_perm,n_perm,p_fdr
all models,linear slope per decade,0.013365795276370426,-1.9108496745583948e-05,0.0013606803964229634,0.0026625300498168618,0.0035028681909660252,0.0001999600079984003,5000,0.0005649349238424266
all models,max - min of level means,0.12483333333333335,0.01811807500000007,0.004712790002578911,0.02633333333333282,0.0304170833333331,0.0001999600079984003,5000,0.0005649349238424266
all models,variance of level means,0.001553679861111112,3.126792326388912e-05,1.4736315955827029e-05,5.8990104166665076e-05,7.637361111111075e-05,0.0001999600079984003,5000,0.0005649349238424266
Claude-Haiku-4.5,linear slope per decade,0.002816374005006164,-4.967587827034785e-05,0.003103630189360153,0.0058963544364258064,0.00800895782576327,0.37381309345327335,2000,0.37381309345327335
Claude-Haiku-4.5,max - min of level means,0.08074999999999982,0.042971000000000044,0.010705312272672293,0.06151250000000025,0.06825250000000015,0.0014992503748125937,2000,0.0015592203898050973
Claude-Haiku-4.5,variance of level means,0.0006303725000000003,0.00017506188125000034,7.951582601804948e-05,0.00032365812500000237,0.00039018600000000075,0.0009995002498750624,2000,0.001082791937364651
Qwen3-235B-A22B,linear slope per decade,-0.016906794204334136,-2.7247291013754366e-05,0.001586227995328376,0.0030811250169340398,0.003993842719764688,0.0004997501249375312,2000,0.0005649349238424266
Qwen3-235B-A22B,max - min of level means,0.09474999999999956,0.021065,0.005353589259457568,0.030000000000000256,0.034499999999999705,0.0004997501249375312,2000,0.0005649349238424266
Qwen3-235B-A22B,variance of level means,0.0008274031249999985,4.241608749999998e-05,1.9513354869523985e-05,7.758187500000081e-05,9.615887499999966e-05,0.0004997501249375312,2000,0.0005649349238424266
GPT-5.4-Nano,linear slope per decade,0.038024559768063654,0.00012345815865585493,0.003458442398917408,0.006851712389983262,0.008720637986073638,0.0004997501249375312,2000,0.0005649349238424266
GPT-5.4-Nano,max - min of level means,0.24275000000000047,0.04652750000000009,0.012244497033516833,0.06801250000000025,0.07826250000000025,0.0004997501249375312,2000,0.0005649349238424266
GPT-5.4-Nano,variance of level means,0.0047797406250000155,0.0002056270875000008,9.792975983714449e-05,0.00039195750000000046,0.0004979267500000022,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.1-Flash-Lite,linear slope per decade,-0.015714495939672293,6.21861411604566e-06,0.0013816712165945326,0.0026431548450483035,0.0036118185637054765,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.1-Flash-Lite,max - min of level means,0.07174999999999976,0.01856499999999994,0.0047170131021975065,0.02649999999999942,0.030749999999999836,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.1-Flash-Lite,variance of level means,0.0005579724999999978,3.2662824999999766e-05,1.521621222624502e-05,5.954812499999985e-05,8.142937499999957e-05,0.0004997501249375312,2000,0.0005649349238424266
Grok-4.20-Non-Reasoning,linear slope per decade,0.09301069382963899,0.00018159276638066827,0.004799917297038163,0.009603539727311707,0.012451320371877999,0.0004997501249375312,2000,0.0005649349238424266
Grok-4.20-Non-Reasoning,max - min of level means,0.636,0.06463387500000005,0.01626770544221132,0.09375,0.10450000000000015,0.0004997501249375312,2000,0.0005649349238424266
Grok-4.20-Non-Reasoning,variance of level means,0.04058956812500002,0.00040034429375000074,0.00018433961334463273,0.0007312700000000035,0.0009340756250000028,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.5-Flash-Lite,linear slope per decade,-0.02103556580047993,-9.834950434663694e-05,0.004060400083361631,0.007961059210762495,0.010325243062257032,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.5-Flash-Lite,max - min of level means,0.19050000000000034,0.05481874999999995,0.013947743301663672,0.07799999999999975,0.0902499999999995,0.0004997501249375312,2000,0.0005649349238424266
Gemini-3.5-Flash-Lite,variance of level means,0.0032290806250000192,0.0002885928374999994,0.0001322570071256025,0.0005365568749999988,0.0006739573750000031,0.0004997501249375312,2000,0.0005649349238424266
English,max - min of level means,0.16229166666666672,0.046396875000000004,0.011920457468092853,0.06753125000000018,0.07687708333333292,0.0004997501249375312,2000,0.0005649349238424266
French,max - min of level means,0.18229166666666619,0.0418308333333335,0.010529215335939023,0.06020833333333375,0.06833333333333358,0.0004997501249375312,2000,0.0005649349238424266
Arabic,max - min of level means,0.21375000000000038,0.04001187500000014,0.01051603585617362,0.05854166666666706,0.06583541666666674,0.0004997501249375312,2000,0.0005649349238424266
Chinese,max - min of level means,0.12729166666666625,0.036986979166666774,0.009379665741296013,0.053749999999999964,0.06104166666666644,0.0004997501249375312,2000,0.0005649349238424266
Vietnamese,max - min of level means,0.17937500000000173,0.03771281250000017,0.009870659714389704,0.05520833333333321,0.06271458333333314,0.0004997501249375312,2000,0.0005649349238424266
