variable,n,mean,median,std,var,iqr,mad,min,max,q05,q25,q50,q75,q95,skew,kurtosis_excess,cv,pct_at_min,pct_at_max,shapiro_p,dip_bimodality_coef
agent_games.coop_rate,24000,0.5895416666666666,0.7,0.37081961391395685,0.13750718606329604,0.8,0.30000000000000004,0.0,1.0,0.0,0.2,0.7,1.0,1.0,-0.2999642812065273,-1.4474486029554356,0.6289964473768439,11.05,28.487499999999997,8.583417591828589e-55,0.7018867961241763
agent_games.utility,24000,0.5989983333333334,0.64,0.25363624307898053,0.0643313438032197,0.4,0.16000000000000003,0.0,1.0,0.08,0.4,0.64,0.8,0.96,-0.537829588060016,-0.5807841925060249,0.42343397128925875,2.3125,2.3125,1.4605657130936726e-39,0.5328424269276392
agent_games.efficiency,24000,0.7487479166666667,0.8,0.31704530384871593,0.10051772469252461,0.5,0.20000000000000007,0.0,1.25,0.1,0.5,0.8,1.0,1.2,-0.5378295880600159,-0.5807841925060253,0.42343397128924576,2.3125,2.3125,1.4605657130936726e-39,0.5328424269276392
agent_games.reciprocity,13895,0.08613718535273052,0.0,0.3866127709900097,0.14946943469257368,0.4583333333333333,0.2,-1.0,1.0,-0.55,-0.125,0.0,0.3333333333333333,0.8,0.1575625924155097,0.20094355474998338,4.4883376373030535,0.525368837711407,2.3605613530046776,2.8036198076443635e-29,0.32009892407581914
agent_games.endgame_drop,24000,-0.006555555555555565,0.0,0.39716668418486817,0.1577413750264028,0.0,0.0,-1.0,1.0,-0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,-0.08891974552530278,0.9913992946752632,-60.5847484349798,4.058333333333334,3.1041666666666665,1.7837599291069089e-50,0.2524959162486156
agent_games.rule_distance,24000,1.2578333333333334,1.0,1.3340462731354044,1.7796794588664617,2.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,4.0,0.7684912033038235,-0.4661303532238006,1.060590650432281,40.86666666666667,1.0999999999999999,2.3249766932123255e-57,0.6276342336897442
dyads.joint_coop,12000,0.5895416666666666,0.55,0.30117937459570765,0.09070901568186159,0.45000000000000007,0.25,0.0,1.0,0.0,0.4,0.55,0.8500000000000001,1.0,-0.23632413208308195,-0.8809080059792533,0.5108703788463484,5.55,17.208333333333332,5.697342635142152e-41,0.49807909956912144
dyads.joint_utility,12000,0.5989983333333333,0.56,0.13240137527320944,0.01753012417423724,0.22999999999999998,0.09999999999999998,0.4,0.8,0.4,0.5,0.56,0.73,0.8,0.27203941488234934,-1.2640801183430033,0.22103796939870637,5.55,17.208333333333332,4.618635124835042e-47,0.6184280188882305
dyads.utility_gap,12000,0.29195,0.19999999999999996,0.319333204205158,0.10197369530793313,0.5,0.19999999999999996,0.0,1.0,0.0,0.0,0.19999999999999996,0.5,0.9000000000000001,0.9066314352773376,-0.5041816551471561,1.0937941572363692,31.666666666666664,4.625,1.7156377483488634e-58,0.7297939233702345
dyads.gini,12000,0.27190480110674947,0.13513513513513517,0.3089068676433981,0.09542345287725587,0.4545454545454545,0.13513513513513517,0.0,1.0,0.0,0.0,0.13513513513513517,0.4545454545454545,0.9183673469387754,1.0243286089513766,-0.2137326965693891,1.1360846383956333,31.666666666666664,4.625,2.2966909684594114e-59,0.735283897724203
dyads.p_CC,12000,0.40545,0.3,0.3755268066754707,0.14102038253187638,0.7000000000000001,0.3,0.0,1.0,0.0,0.1,0.3,0.8,1.0,0.4811462834944764,-1.3240994797818944,0.9261975747329405,22.475,17.208333333333332,1.2929342983575963e-56,0.7345010651942402
dyads.p_DD,12000,0.22636666666666666,0.1,0.30134537158378216,0.09080903297496773,0.4,0.1,0.0,1.0,0.0,0.0,0.1,0.4,1.0,1.3190428786208606,0.5978505943058394,1.3312267924478671,44.46666666666667,5.55,5.039380194030643e-65,0.7613720626051947
dyads.p_exploit,12000,0.3681833333333334,0.30000000000000004,0.3175260119836675,0.10082276828625214,0.6,0.29999999999999993,0.0,1.0,0.0,0.0,0.30000000000000004,0.6,0.9,0.4271582864533641,-1.020534748282228,0.8624127798207435,25.316666666666666,4.716666666666667,1.1300656298370203e-47,0.5971391626354003
dyads.n_switch,12000,1.69875,1.0,1.861169999484306,3.463953766980412,3.0,1.0,0.0,9.0,0.0,0.0,1.0,3.0,5.0,1.0606830714981035,0.48531340205894713,1.095611478725125,37.79166666666667,0.1,4.749897971222314e-57,0.6095839937612751
dyads.first_dd,6664,2.8497899159663866,2.0,2.5050044374930924,6.275047231860085,3.0,1.0,1.0,10.0,1.0,1.0,2.0,4.0,9.0,1.4110338577159502,1.0086186806503994,0.8790137207863707,46.65366146458583,3.3013205282112845,1.537498225339067e-65,0.7458950128425715
rounds.payoff_base,240000,4.010016666666667,2.0,3.4785030424487435,12.099983416325164,4.0,2.0,0.0,10.0,0.0,2.0,2.0,6.0,10.0,0.6221414265451285,-0.9867075931808427,0.867453512441447,18.409166666666664,18.409166666666664,1.4838599994062482e-59,0.6889382358881188
rounds.payoff_raw,240000,445.94201833333335,2.5,1619.9333277573069,2624183.9863788625,19.94,2.5,0.0,10000.0,0.0,0.06,2.5,20.0,2000.0,4.682781588925198,22.372712165894402,3.6326097590257507,18.409166666666664,1.8454166666666667,2.562025366123425e-87,0.9036641164645289
rounds.utility,240000,0.5989983333333334,0.8,0.34785030424448976,0.1209998341629841,0.4,0.19999999999999996,0.0,1.0,0.0,0.4,0.8,0.8,1.0,-0.6221414265451295,-0.9867075931808413,0.5807199868299406,18.409166666666664,18.409166666666664,1.48385999936091e-59,0.688938235888119
