factor,level,n_dyads,mean_fairness,fair_ci_lo,fair_ci_hi,mean_utility_gap,gap_ci_lo,gap_ci_hi,mean_gini,share_equal_split,mean_joint_utility,mean_joint_coop
model,Claude-Haiku-4.5,2000,0.8279605844183057,0.8105660196259529,0.8439991722878799,0.17350000000000002,0.15694999999999998,0.19122874999999995,0.1720394155816944,0.2905,0.53222,0.41480000000000006
model,Qwen3-235B-A22B,2000,0.486265927347319,0.4391627989508695,0.5354098864473326,0.5416500000000001,0.4916475,0.589305,0.513734072652681,0.2585,0.518695,0.435125
model,GPT-5.4-Nano,2000,0.8241297947708717,0.8110119292691358,0.835711057123999,0.19665,0.1839475,0.21042874999999997,0.17587020522912836,0.2335,0.604385,0.606375
model,Gemini-3.1-Flash-Lite,2000,0.5208188228451626,0.4796121390939807,0.5648460980483953,0.5001000000000001,0.45422375000000004,0.5422837500000001,0.47918117715483743,0.254,0.59505,0.6172000000000001
model,Grok-4.20-Non-Reasoning,2000,0.8715667448522928,0.8545299704958262,0.8880998511895002,0.14675000000000002,0.1282,0.16565000000000002,0.12843325514770731,0.513,0.668585,0.7129749999999999
model,Gemini-3.5-Flash-Lite,2000,0.8378293191255517,0.8229365471096176,0.8533598519795575,0.19305,0.17517375,0.21025249999999998,0.16217068087444836,0.3505,0.6750550000000001,0.7507750000000001
scale,0.01,1200,0.7364421439752689,0.7191661829149425,0.7537486102472173,0.2786666666666667,0.2610791666666667,0.2960833333333333,0.26355785602473114,0.325,0.5679166666666666,0.50475
scale,0.1,1200,0.7327192938810291,0.714964335186921,0.749167832301569,0.2860833333333333,0.2689083333333333,0.30425,0.2672807061189709,0.3441666666666667,0.5768583333333334,0.5325416666666666
scale,0.25,1200,0.749055850290734,0.7319600766769058,0.7662587615102001,0.27216666666666667,0.25482916666666666,0.28921041666666664,0.2509441497092661,0.32,0.6179333333333333,0.6295833333333334
scale,0.5,1200,0.7008295506632821,0.6834154567225462,0.7185574800817056,0.323,0.3050833333333334,0.3407104166666667,0.2991704493367178,0.2866666666666667,0.5951833333333334,0.588
scale,1.0,1200,0.7130790560812412,0.6954751474171654,0.7309698705118219,0.31141666666666673,0.29307916666666667,0.3297145833333333,0.2869209439187587,0.31,0.6054916666666667,0.610375
scale,2.0,1200,0.7339525637846069,0.7167688343933076,0.7503536637890401,0.28675,0.26928958333333336,0.30454791666666664,0.26604743621539306,0.3491666666666667,0.6131916666666666,0.6237916666666666
scale,5.0,1200,0.7178672095634805,0.7011133781596411,0.7359172317039836,0.3026666666666667,0.2837458333333333,0.31979375000000004,0.2821327904365194,0.295,0.6084833333333334,0.6148333333333333
scale,10.0,1200,0.7347251064017443,0.7164437361026333,0.7530295212507497,0.28325,0.26420208333333334,0.3017104166666667,0.2652748935982557,0.3475,0.611575,0.6198750000000001
scale,100.0,1200,0.7287963468781817,0.712407400130604,0.7451061246009028,0.2915833333333333,0.27545625,0.3081708333333333,0.27120365312181843,0.27,0.5910416666666667,0.573625
scale,1000.0,1200,0.7334848674129364,0.7163291277616366,0.7503777406442268,0.28391666666666665,0.26653541666666664,0.30117083333333333,0.26651513258706355,0.31916666666666665,0.6023083333333333,0.5980416666666667
language,en,2400,0.7622382466247387,0.730850775936024,0.793575182232412,0.25679166666666664,0.22384687500000003,0.28944895833333323,0.23776175337526118,0.37041666666666667,0.6169291666666668,0.6250208333333334
language,fr,2400,0.7191342889083792,0.6831266168237482,0.75418730313827,0.29741666666666666,0.26158125,0.33377395833333334,0.28086571109162073,0.3329166666666667,0.6028916666666667,0.5995416666666668
language,ar,2400,0.6914502788196609,0.6554063731068058,0.7287525552188275,0.33041666666666664,0.29212499999999997,0.36753020833333333,0.3085497211803391,0.2970833333333333,0.5897916666666667,0.5725833333333332
language,cn,2400,0.7022271588941434,0.6659154057587293,0.7363003423704442,0.3244166666666667,0.2881010416666666,0.3614166666666667,0.2977728411058566,0.26208333333333333,0.591875,0.5819583333333334
language,vn,2400,0.7654260212193302,0.7377849430085007,0.7920906860674887,0.2507083333333333,0.22274999999999998,0.279440625,0.2345739787806698,0.32083333333333336,0.5935041666666667,0.5686041666666667
dyad,CvC,3000,0.9540982470945389,0.9483076350810398,0.9597131870235334,0.04816666666666666,0.04234916666666667,0.05426666666666667,0.045901752905461,0.711,0.6138033333333333,0.56155
dyad,CvS,3000,0.6145708669682415,0.5846725298728165,0.6455747750779761,0.41923333333333335,0.38766,0.44994,0.3854291330317585,0.145,0.59097,0.6049833333333333
dyad,SvC,3000,0.6115292282525362,0.5771906563677912,0.6464074644314779,0.4090666666666667,0.3737775,0.4435941666666666,0.38847077174746386,0.172,0.5825,0.5793666666666666
dyad,SvS,3000,0.7321824532576855,0.7147828753356343,0.750160643457361,0.29133333333333333,0.27269999999999994,0.30965249999999994,0.26781754674231456,0.23866666666666667,0.6087199999999999,0.6122666666666667
