model,language,scale,pairing,welfare,equality,coop,p_DD,p_exploit,p_CC,n_games,log_scale,dyad,dist,nondominated,nondominated_3obj,at_ideal
Claude-Haiku-4.5,ar,0.01,0,0.536,0.8652183974217873,0.42000000000000004,0.42000000000000004,0.32,0.26,10,-2.0,CvC,0.476322412024435,False,False,False
Claude-Haiku-4.5,ar,0.01,1,0.52,0.8439248074859131,0.4,0.4,0.4,0.2,10,-2.0,CvS,0.5071289114802612,False,False,False
Claude-Haiku-4.5,ar,0.01,2,0.485,0.765199029471594,0.28500000000000003,0.5700000000000001,0.29,0.14,10,-2.0,SvC,0.581071314797539,False,False,False
Claude-Haiku-4.5,ar,0.01,3,0.47700000000000004,0.7866152254485971,0.275,0.5599999999999999,0.33,0.11000000000000001,10,-2.0,SvS,0.5905883981295065,False,False,False
Claude-Haiku-4.5,ar,0.1,0,0.506,0.8946061421497076,0.33,0.54,0.26,0.2,10,-1.0,CvC,0.5250394581707968,False,False,False
Claude-Haiku-4.5,ar,0.1,1,0.495,0.9316340106434445,0.335,0.47000000000000003,0.39,0.14,10,-1.0,CvS,0.5413317644941504,False,False,False
Claude-Haiku-4.5,ar,0.1,2,0.48200000000000004,0.6087605326055564,0.3,0.51,0.38,0.11000000000000001,10,-1.0,SvC,0.6265354422724574,False,False,False
Claude-Haiku-4.5,ar,0.1,3,0.49700000000000005,0.6310164206188296,0.355,0.42000000000000004,0.45,0.13,10,-1.0,SvS,0.5957999378369137,False,False,False
Claude-Haiku-4.5,ar,0.25,0,0.609,0.9243573826779523,0.595,0.26,0.29000000000000004,0.45,10,-0.6020599913279624,CvC,0.3418538105355342,False,False,False
Claude-Haiku-4.5,ar,0.25,1,0.4680000000000001,0.7570181405895692,0.29,0.47000000000000003,0.48,0.05,10,-0.6020599913279624,CvS,0.6115309411642841,False,False,False
Claude-Haiku-4.5,ar,0.25,2,0.466,0.697313288473074,0.27,0.52,0.42000000000000004,0.06000000000000001,10,-0.6020599913279624,SvC,0.6280303517088104,False,False,False
Claude-Haiku-4.5,ar,0.25,3,0.421,0.9634146341463415,0.085,0.85,0.13,0.02,10,-0.6020599913279624,SvS,0.6704829375139408,False,False,False
Claude-Haiku-4.5,ar,0.5,0,0.7550000000000001,0.9493601675871768,0.925,0.0,0.15,0.85,10,-0.3010299956639812,CvC,0.08723715557833937,False,False,False
Claude-Haiku-4.5,ar,0.5,1,0.46799999999999997,0.8351655299801081,0.3,0.44000000000000006,0.52,0.04,10,-0.3010299956639812,CvS,0.598360427546282,False,False,False
Claude-Haiku-4.5,ar,0.5,2,0.49800000000000005,0.40354649305926704,0.4,0.29,0.62,0.09,10,-0.3010299956639812,SvC,0.6803608549666488,False,False,False
Claude-Haiku-4.5,ar,0.5,3,0.47300000000000003,0.5675979289201174,0.28500000000000003,0.51,0.41,0.08,10,-0.3010299956639812,SvS,0.6539410527999339,False,False,False
Claude-Haiku-4.5,ar,1.0,0,0.794,1.0,0.99,0.0,0.02,0.9800000000000001,10,0.0,CvC,0.010606601717798222,False,False,False
Claude-Haiku-4.5,ar,1.0,1,0.492,0.6843861299370545,0.33999999999999997,0.44000000000000006,0.44000000000000006,0.12000000000000002,10,0.0,CvS,0.5884352619346116,False,False,False
Claude-Haiku-4.5,ar,1.0,2,0.53,0.30162914653480694,0.51,0.12,0.74,0.14,10,0.0,SvC,0.6867848458468279,False,False,False
Claude-Haiku-4.5,ar,1.0,3,0.442,0.6847306532863618,0.18,0.67,0.3,0.030000000000000006,10,0.0,SvS,0.6709768106936499,False,False,False
Claude-Haiku-4.5,ar,2.0,0,0.8,1.0,1.0,0.0,0.0,1.0,10,0.3010299956639812,CvC,0.0,True,True,True
Claude-Haiku-4.5,ar,2.0,1,0.517,0.64303270476277,0.425,0.31,0.53,0.16,10,0.3010299956639812,CvS,0.5603489537194585,False,False,False
Claude-Haiku-4.5,ar,2.0,2,0.533,0.34059080454429297,0.515,0.12,0.73,0.15,10,0.3010299956639812,SvC,0.6634669309963921,False,False,False
Claude-Haiku-4.5,ar,2.0,3,0.477,0.594113080435269,0.295,0.5,0.41,0.09,10,0.3010299956639812,SvS,0.6390619850506469,False,False,False
Claude-Haiku-4.5,ar,5.0,0,0.8,1.0,1.0,0.0,0.0,1.0,10,0.6989700043360189,CvC,0.0,True,True,True
Claude-Haiku-4.5,ar,5.0,1,0.47000000000000003,0.6866973486510564,0.29,0.48,0.4600000000000001,0.06000000000000001,10,0.6989700043360189,CvS,0.624012640634097,False,False,False
Claude-Haiku-4.5,ar,5.0,2,0.496,0.4894247621398796,0.37,0.37,0.52,0.11000000000000001,10,0.6989700043360189,SvC,0.6474129568968784,False,False,False
Claude-Haiku-4.5,ar,5.0,3,0.41600000000000004,0.811529933481153,0.08,0.8400000000000001,0.16,0.0,10,0.6989700043360189,SvS,0.6917806610384604,False,False,False
Claude-Haiku-4.5,ar,10.0,0,0.745,0.9527272727272728,0.8949999999999999,0.04,0.13,0.8300000000000001,10,1.0,CvC,0.10281284147372273,False,False,False
Claude-Haiku-4.5,ar,10.0,1,0.4640000000000001,0.806090957337158,0.27,0.51,0.44000000000000006,0.05,10,1.0,CvS,0.6095903201439552,False,False,False
Claude-Haiku-4.5,ar,10.0,2,0.51,0.3138950591891769,0.45,0.2,0.7,0.1,10,1.0,SvC,0.7058204409780943,False,False,False
Claude-Haiku-4.5,ar,10.0,3,0.47000000000000003,0.7282338860765383,0.25,0.6,0.3,0.1,10,1.0,SvS,0.614199406006331,False,False,False
Claude-Haiku-4.5,ar,100.0,0,0.676,0.9061237077148359,0.74,0.16,0.2,0.64,10,2.0,CvC,0.2290335764175305,False,False,False
Claude-Haiku-4.5,ar,100.0,1,0.483,0.8259111024407708,0.315,0.47000000000000003,0.43,0.1,10,2.0,CvS,0.5737434941911707,False,False,False
Claude-Haiku-4.5,ar,100.0,2,0.4640000000000001,0.46751581762169936,0.29,0.45,0.52,0.030000000000000006,10,2.0,SvC,0.7032564981865035,False,False,False
Claude-Haiku-4.5,ar,100.0,3,0.471,0.6298777261049635,0.265,0.5599999999999999,0.35,0.09,10,2.0,SvS,0.6377682759565705,False,False,False
Claude-Haiku-4.5,ar,1000.0,0,0.663,0.9524672187715666,0.715,0.17,0.23000000000000004,0.6,10,3.0,CvC,0.2445052303032699,False,False,False
Claude-Haiku-4.5,ar,1000.0,1,0.484,0.6131277947998328,0.35,0.37,0.5599999999999999,0.07,10,3.0,CvS,0.6220008453195383,False,False,False
Claude-Haiku-4.5,ar,1000.0,2,0.46900000000000003,0.6930247766999202,0.24500000000000002,0.61,0.29000000000000004,0.1,10,3.0,SvC,0.624095360389794,False,False,False
