scope,best_knot_lambda,boot_lo_lambda,boot_hi_lambda,modal_boot_share,slope_left,slope_right,n,form,k,rss,knot_lambda,aic,d_aic
all models,1.0,0.25,2.0,0.525,0.05960640099998646,-0.01145407261719461,12000.0,,,,,,
Claude-Haiku-4.5,2.0,0.1,10.0,0.585,0.023029070134739406,-0.01276583798343707,2000.0,,,,,,
Qwen3-235B-A22B,2.0,1.0,100.0,0.295,-0.030264822542784127,-0.006608928546958055,2000.0,,,,,,
GPT-5.4-Nano,0.25,0.25,5.000000000000001,0.88,0.12910163117499743,0.015735618252700853,2000.0,,,,,,
Gemini-3.1-Flash-Lite,0.1,0.1,100.0,0.66,0.001636206965435906,-0.018105092708500664,2000.0,,,,,,
Grok-4.20-Non-Reasoning,2.0,2.0,2.0,0.985,0.2644271055161669,-0.03913629181017264,2000.0,,,,,,
Gemini-3.5-Flash-Lite,0.25,0.25,5.000000000000001,0.8,0.012766310586531063,-0.02930776904835751,2000.0,,,,,,
functional form,,,,,,,,flat (invariance prediction),1.0,1088.4174791666667,,-28800.182349804276,189.33613154741397
functional form,,,,,,,,linear in log lambda,2.0,1084.328695332481,,-28843.346819088056,146.17166226363406
functional form,,,,,,,,step,3.0,1073.3388216145834,0.1,-28963.589587288243,25.928894063446933
functional form,,,,,,,,segmented (one knee),4.0,1074.6162307432617,1.0,-28947.316559242816,42.20192210887399
functional form,,,,,,,,saturated categorical,10.0,1069.7733208333334,,-28989.51848135169,0.0
