n_asymmetric_rounds,n_dyads,mean_utility_gap,ci_lo,ci_hi,algebraic_ceiling,share_at_ceiling
0,3038,0.0,0.0,0.0,0.0,1.0
1,962,0.10000000000000003,0.10000000000000002,0.10000000000000003,0.1,1.0
2,1082,0.11672598162071848,0.10936148705096076,0.12398387635756057,0.2,0.5942698706099815
3,1159,0.20209966777408636,0.19504889258028793,0.2088738279808047,0.3,0.4926660914581536
4,1162,0.2510488058151609,0.24004062824506747,0.2611490134994807,0.4,0.4208261617900172
5,1054,0.3386811352253756,0.32626446855870894,0.35032707289927656,0.5,0.42314990512333966
6,871,0.41127167630057804,0.39450465639049453,0.4272021515735388,0.6,0.4580941446613088
7,743,0.5426354862657757,0.5227243875278396,0.562960838901262,0.7,0.6339165545087483
8,693,0.7100444444444444,0.6917322222222222,0.7301366666666665,0.8,0.8354978354978355
9,670,0.8388041933191189,0.8185225213219617,0.8568029939587777,0.9,0.9044776119402985
10,566,0.9850443349753695,0.9732,0.9947812807881773,1.0,0.980565371024735
