relationship,level,grouping,subgroup,pooled_slope,pooled_lo,pooled_hi,subgroup_slope,sub_lo,sub_hi,p_value,n,sign_reversal,reversal_magnitude,p_fdr,sign_reversal_fdr
joint_coop ~ log10 lambda,dyad,model,Claude-Haiku-4.5,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.0028163740050059696,-0.0069688640073561695,0.012601612017368109,0.5726764213986608,2000,False,0.0,0.6246362842534452,False
joint_coop ~ log10 lambda,dyad,model,Qwen3-235B-A22B,0.01336579527637062,0.00927345021655579,0.01745814033618545,-0.01690679420433428,-0.023118621057579666,-0.010694967351088897,9.583221121547283e-08,2000,True,0.030272589480704902,2.5314169000313576e-07,True
joint_coop ~ log10 lambda,dyad,model,GPT-5.4-Nano,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.038024559768063626,0.03070868981841022,0.04534042971771703,2.2665046779965863e-24,2000,False,0.0,1.133252338998293e-23,False
joint_coop ~ log10 lambda,dyad,model,Gemini-3.1-Flash-Lite,0.01336579527637062,0.00927345021655579,0.01745814033618545,-0.015714495939672654,-0.01874897607788342,-0.01268001580146189,3.315059228478215e-24,2000,True,0.029080291216043275,1.5470276399565005e-23,True
joint_coop ~ log10 lambda,dyad,model,Grok-4.20-Non-Reasoning,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.09301069382963878,0.08496864575321364,0.10105274190606392,9.258990585492319e-114,2000,False,0.0,9.258990585492319e-113,False
joint_coop ~ log10 lambda,dyad,model,Gemini-3.5-Flash-Lite,0.01336579527637062,0.00927345021655579,0.01745814033618545,-0.021035565800480466,-0.033309287344947286,-0.008761844256013647,0.0007819000278856305,2000,True,0.034401361076851086,0.0012439318625453214,True
joint_coop ~ log10 lambda,dyad,language,en,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.020706050879262368,0.009217872831182245,0.03219422892734249,0.0004114977878083482,2400,False,0.0,0.0007201211286646093,False
joint_coop ~ log10 lambda,dyad,language,fr,0.01336579527637062,0.00927345021655579,0.01745814033618545,-0.010230582388587709,-0.01944991507880807,-0.0010112496983673506,0.02963398223693446,2400,True,0.02359637766495833,0.03951197631591262,True
joint_coop ~ log10 lambda,dyad,language,ar,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.022698919215677554,0.015065476467179172,0.030332361964175936,5.603574576355687e-09,2400,False,0.0,1.5690008813795923e-08,False
joint_coop ~ log10 lambda,dyad,language,cn,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.01975218718028579,0.011390490170641702,0.02811388418992988,3.6589424256509883e-06,2400,False,0.0,8.682236264256581e-06,False
joint_coop ~ log10 lambda,dyad,language,vn,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.013902401495214493,0.00595372031079117,0.021851082679637816,0.0006080096385687804,2400,False,0.0,0.0010380652365808447,False
joint_coop ~ log10 lambda,dyad,dyad,CvC,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.058786589768400274,0.0513735282938291,0.06619965124297145,1.7808185945634009e-54,3000,False,0.0,1.3850811291048673e-53,False
joint_coop ~ log10 lambda,dyad,dyad,CvS,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.002261974318909909,-0.005401612317756182,0.009925560955576,0.5629263041431736,3000,False,0.0,0.6246362842534452,False
joint_coop ~ log10 lambda,dyad,dyad,SvC,0.01336579527637062,0.00927345021655579,0.01745814033618545,0.014929608134633952,0.0074487326759253795,0.022410483593342523,9.172212304345627e-05,3000,False,0.0,0.00018344424608691254,False
joint_coop ~ log10 lambda,dyad,dyad,SvS,0.01336579527637062,0.00927345021655579,0.01745814033618545,-0.02251499111645941,-0.029888736814561983,-0.015141245418356836,2.169849712179193e-09,3000,True,0.03588078639283003,6.603890428371457e-09,True
joint_utility ~ log10 lambda,dyad,model,Claude-Haiku-4.5,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.00023101930208126905,-0.003881431344799014,0.004343469948961552,0.9123283912623084,2000,False,0.0,0.9323063852315561,False
joint_utility ~ log10 lambda,dyad,model,Qwen3-235B-A22B,0.004799797417658257,0.003021718869291577,0.006577875966024936,-0.006943172146737356,-0.010194050866417274,-0.003692293427057438,2.8384066549972135e-05,2000,True,0.011742969564395613,6.020862601509241e-05,True
joint_utility ~ log10 lambda,dyad,model,GPT-5.4-Nano,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.01459577940877778,0.011466478860552408,0.017725079957003155,6.146452866781132e-20,2000,False,0.0,2.6075860646950256e-19,False
joint_utility ~ log10 lambda,dyad,model,Gemini-3.1-Flash-Lite,0.004799797417658257,0.003021718869291577,0.006577875966024936,-0.006217460677953147,-0.00743269429534321,-0.005002227060563084,1.1516720023148166e-23,2000,True,0.011017258095611403,5.20109936529272e-23,True
joint_utility ~ log10 lambda,dyad,model,Grok-4.20-Non-Reasoning,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.03926651353525567,0.035974798733570595,0.04255822833694074,6.796478512592407e-121,2000,False,0.0,8.650063561481245e-120,False
joint_utility ~ log10 lambda,dyad,model,Gemini-3.5-Flash-Lite,0.004799797417658257,0.003021718869291577,0.006577875966024936,-0.012133894915478019,-0.017519960675739566,-0.006747829155216471,1.007920346029332e-05,2000,True,0.016933692333136276,2.27594916845333e-05,True
joint_utility ~ log10 lambda,dyad,language,en,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.007149471041530105,0.00214028085244972,0.01215866123061049,0.005151580334700798,2400,False,0.0,0.007285063099576885,False
joint_utility ~ log10 lambda,dyad,language,fr,0.004799797417658257,0.003021718869291577,0.006577875966024936,-0.004800242486053308,-0.008849044643955058,-0.0007514403281515588,0.02014024303346224,2400,True,0.009600039903711565,0.02737508761829819,True
joint_utility ~ log10 lambda,dyad,language,ar,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.007546887005697555,0.004279630226540131,0.010814143784854978,5.976155404494672e-06,2400,False,0.0,1.3944362610487568e-05,False
joint_utility ~ log10 lambda,dyad,language,cn,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.008208257624185696,0.004525797025748948,0.011890718222622445,1.249380307522432e-05,2400,False,0.0,2.7764006833831824e-05,False
joint_utility ~ log10 lambda,dyad,language,vn,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.0058946139029312705,0.0024723757362876526,0.009316852069574888,0.0007356706680563669,2400,False,0.0,0.0011976034131150157,False
joint_utility ~ log10 lambda,dyad,dyad,CvC,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.02304668969611553,0.019978181717449865,0.026115197674781192,4.745003867972242e-49,3000,False,0.0,3.4963186395584946e-48,False
joint_utility ~ log10 lambda,dyad,dyad,CvS,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.0010976637165487323,-0.0022841094505107076,0.004479436883608173,0.5246658719079225,3000,False,0.0,0.5876257765368732,False
joint_utility ~ log10 lambda,dyad,dyad,SvC,0.004799797417658257,0.003021718869291577,0.006577875966024936,0.005607166930288871,0.0023622807409549107,0.008852053119622831,0.0007070777888336173,3000,False,0.0,0.0011645987110200755,False
joint_utility ~ log10 lambda,dyad,dyad,SvS,0.004799797417658257,0.003021718869291577,0.006577875966024936,-0.01055233067231837,-0.013994791722829032,-0.007109869621807707,1.878655193199883e-09,3000,True,0.015352128089976626,5.977539251090537e-09,True
p_CC ~ log10 lambda,dyad,model,Claude-Haiku-4.5,0.010633191811920434,0.005736688801397258,0.01552969482244361,-0.0016612774945976602,-0.012594278036431619,0.009271723047236297,0.7658420963753108,2000,False,0.0,0.8001335335264441,False
p_CC ~ log10 lambda,dyad,model,Qwen3-235B-A22B,0.010633191811920434,0.005736688801397258,0.01552969482244361,-0.01780906652934707,-0.028113145180075412,-0.007504987878618729,0.0007053115594985463,2000,True,0.028442258341267505,0.0011645987110200755,True
p_CC ~ log10 lambda,dyad,model,GPT-5.4-Nano,0.010633191811920434,0.005736688801397258,0.01552969482244361,0.03495433727582653,0.026277022549180296,0.043631652002472765,2.8982142336102557e-15,2000,False,0.0,1.0966216019065832e-14,False
p_CC ~ log10 lambda,dyad,model,Gemini-3.1-Flash-Lite,0.010633191811920434,0.005736688801397258,0.01552969482244361,-0.015372807450090785,-0.019084253859098427,-0.011661361041083144,4.732697113587976e-16,2000,True,0.02600599926201122,1.8404933219508793e-15,True
