outcome,term,order,df,ss,eta2,omega2,ss_total
joint_coop,model x pairing,2,15,275.1877508333334,0.2528329029078323,0.25260558866265975,1088.4174791666667
joint_coop,model,1,5,193.31895416666669,0.17761470930683596,0.17753754688153883,1088.4174791666667
joint_coop,residual (replicate sampling noise),99,10800,175.187,0.16095570252522015,0.16095330378891598,1088.4174791666667
joint_coop,model x lambda,2,45,82.58411666666667,0.07587540465621351,0.0752036351129212,1088.4174791666667
joint_coop,model x language,2,20,77.86924375000004,0.07154354394383639,0.07124441605073074,1088.4174791666667
joint_coop,model x pairing x lambda,3,135,51.51849500000001,0.04733339549034485,0.04532077377942935,1088.4174791666667
joint_coop,model x language x pairing x lambda,4,540,46.96451125,0.04314935413014296,0.03510104588226165,1088.4174791666667
joint_coop,model x language x pairing,3,60,45.96270124999998,0.04222892605987066,0.04133411169760216,1088.4174791666667
joint_coop,pairing x lambda,2,27,41.77599999999998,0.03838233104450441,0.03797937576994057,1088.4174791666667
joint_coop,model x language x lambda,3,180,40.87564375,0.03755511513954731,0.03487200038937501,1088.4174791666667
joint_coop,lambda,1,9,18.644158333333376,0.017129602096805762,0.016995219059754808,1088.4174791666667
joint_coop,language x lambda,2,36,13.325606249999996,0.01224310203121929,0.011706408558615445,1088.4174791666667
joint_coop,language x pairing x lambda,3,108,9.304968749999999,0.008549080594630134,0.00693942014907745,1088.4174791666667
joint_coop,language x pairing,2,12,5.831143749999994,0.005357451402254709,0.005178534555498221,1088.4174791666667
joint_coop,language,1,4,5.141381250000004,0.0047237216862195544,0.004664038953463329,1088.4174791666667
joint_coop,pairing,1,3,4.925804166666648,0.0045256569845221785,0.004480880287224936,1088.4174791666667
joint_utility,model x pairing,2,15,47.9941161,0.2281696898147475,0.22793285366150773,210.34395996666666
joint_utility,model,1,5,43.15899476666661,0.20518295259586272,0.20510199897290518,210.34395996666666
joint_utility,residual (replicate sampling noise),99,10800,35.331400000000116,0.16796964365223088,0.16796703130386112,210.34395996666666
joint_utility,model x lambda,2,45,15.658899733333334,0.07444425661575835,0.07374323619080879,210.34395996666666
joint_utility,model x language,2,20,14.791706316666664,0.0703215168099465,0.07000937307638237,210.34395996666666
joint_utility,model x pairing x lambda,3,135,10.074208733333329,0.04789397677465897,0.04579364401214809,210.34395996666666
joint_utility,model x language x pairing x lambda,4,540,8.998825016666668,0.04278147572239639,0.03438245879817816,210.34395996666666
joint_utility,model x language x pairing,3,60,8.065170149999998,0.03834277034281417,0.037409023842856944,210.34395996666666
joint_utility,model x language x lambda,3,180,7.959449183333335,0.03784016039535756,0.03504012136442231,210.34395996666666
joint_utility,pairing x lambda,2,27,7.113111266666685,0.03381657009687326,0.03339612658630915,210.34395996666666
joint_utility,lambda,1,9,2.874425466666617,0.01366535776507264,0.013525172708469839,210.34395996666666
joint_utility,language x lambda,2,36,2.3726776166666625,0.011279989294879977,0.010719923758467571,210.34395996666666
joint_utility,pairing,1,3,1.9510438999999813,0.009275492865633814,0.009228691099808619,210.34395996666666
joint_utility,language x pairing x lambda,3,108,1.7608589833333337,0.008371331335648421,0.006691530827454948,210.34395996666666
joint_utility,language,1,4,1.2056718833333335,0.005731906366716673,0.005669607209632267,210.34395996666666
joint_utility,language x pairing,2,12,1.0334008500000023,0.004912909551402217,0.004726203108580111,210.34395996666666
p_CC,model,1,5,374.23811,0.22116737807012601,0.22108240010988192,1692.1035700000002
p_CC,model x pairing,2,15,349.02607666666665,0.2062675611911076,0.20602006910615672,1692.1035700000002
p_CC,residual (replicate sampling noise),99,10800,297.43800000000033,0.17578002036837514,0.17577715943201724,1692.1035700000002
p_CC,model x lambda,2,45,115.50700666666665,0.06826237395543504,0.06752885810908033,1692.1035700000002
p_CC,model x language,2,20,110.47571500000001,0.06528897932648413,0.06496240344685741,1692.1035700000002
p_CC,model x pairing x lambda,3,135,79.05820666666668,0.04672184851348471,0.044523873591527534,1692.1035700000002
p_CC,model x language x pairing x lambda,4,540,71.73061833333334,0.042391387622527935,0.033601839702991826,1692.1035700000002
p_CC,model x language x lambda,3,180,62.48700166666666,0.03692859159127396,0.033998371230098516,1692.1035700000002
p_CC,model x language x pairing,3,60,58.41026500000001,0.03451932023286258,0.03354221863342026,1692.1035700000002
p_CC,pairing,1,3,58.18966333333336,0.034388948977475034,0.03433956228580252,1692.1035700000002
p_CC,pairing x lambda,2,27,47.80385333333335,0.028251139103343034,0.02781123639874611,1692.1035700000002
p_CC,lambda,1,9,17.7958533333333,0.01051700005179547,0.01037034791445445,1692.1035700000002
p_CC,language x lambda,2,36,16.854588333333332,0.009960730910421357,0.009374644928149328,1692.1035700000002
p_CC,language x pairing x lambda,3,108,13.831671666666669,0.00817424648933674,0.0064163418537361615,1692.1035700000002
p_CC,language,1,4,11.276294999999985,0.0066640690321337626,0.006598857918351096,1692.1035700000002
p_CC,language x pairing,2,12,7.980645000000002,0.004716404563817569,0.004521019846282275,1692.1035700000002
utility_gap,model,1,5,319.30651000000006,0.26096037163399144,0.26087534847712796,1223.58237
utility_gap,pairing,1,3,268.0441633333333,0.21906507473896775,0.21901305095329562,1223.58237
utility_gap,residual (replicate sampling noise),99,10800,213.56799999999998,0.17454321444660892,0.17454039362796497,1223.58237
utility_gap,model x pairing,2,15,207.02917666666664,0.16919921514288133,0.1689540634760265,1223.58237
utility_gap,model x language x pairing x lambda,4,540,45.587968333333336,0.03725778456037523,0.028530162750423017,1223.58237
utility_gap,model x pairing x lambda,3,135,36.73324,0.030021060208639653,0.027838820113506205,1223.58237
utility_gap,model x language x pairing,3,60,34.78194833333335,0.02842632354480013,0.027456195289302092,1223.58237
utility_gap,model x language x lambda,3,180,25.353184999999996,0.020720456277904687,0.017811114851087224,1223.58237
utility_gap,model x language,2,20,19.61423166666668,0.01603016858331056,0.015706686566227805,1223.58237
utility_gap,model x lambda,2,45,13.909406666666666,0.01136777303081497,0.010640337674441091,1223.58237
utility_gap,language,1,4,13.201528333333352,0.010789243664350403,0.010724424707558924,1223.58237
utility_gap,language x pairing x lambda,3,108,8.437571666666667,0.00689579375572947,0.005150278375509403,1223.58237
utility_gap,language x pairing,2,12,6.02521166666667,0.004924238706272525,0.004730225354226442,1223.58237
utility_gap,pairing x lambda,2,27,5.70122,0.004659449285788582,0.0042230229996712216,1223.58237
utility_gap,language x lambda,2,36,3.6159549999999974,0.0029552199252429545,0.002373370853404459,1223.58237
utility_gap,lambda,1,9,2.6730533333333355,0.0021846124943213554,0.002039126860453173,1223.58237
n_switch,residual (replicate sampling noise),99,10800,14725.299999999992,0.35428030610036887,0.3542686847653614,41563.98125
n_switch,model,1,5,7827.794750000001,0.18833120684270355,0.18816101579892805,41563.98125
n_switch,model x pairing,2,15,3503.810916666667,0.0842992131959608,0.08380440811791763,41563.98125
n_switch,pairing,1,3,2838.7535833333345,0.06829840400174213,0.06819775566470014,41563.98125
n_switch,model x language x pairing,3,60,2279.9611666666665,0.054854253565198755,0.05288429484018153,41563.98125
n_switch,model x language x pairing x lambda,4,540,2254.378833333333,0.054238760713841226,0.036523547300163765,41563.98125
n_switch,model x language x lambda,3,180,1743.9818333333335,0.041958969783081924,0.03605311533800746,41563.98125
n_switch,model x language,2,20,1637.2248333333334,0.03939047184834666,0.038733126616313215,41563.98125
n_switch,model x pairing x lambda,3,135,1613.2615833333332,0.03881393299717489,0.03438430123751588,41563.98125
n_switch,model x lambda,2,45,1012.2027499999999,0.024352882461181457,0.02287596410209988,41563.98125
n_switch,language x pairing x lambda,3,108,545.7731666666666,0.013130916487136724,0.009587798910546659,41563.98125
n_switch,lambda,1,9,469.2987500000005,0.011290996095327141,0.01099540181669523,41563.98125
n_switch,language,1,4,448.4591666666666,0.010789610455487025,0.010658045903619741,41563.98125
n_switch,language x pairing,2,12,230.60683333333338,0.005548237353545948,0.005154423484663138,41563.98125
n_switch,language x lambda,2,36,218.89416666666662,0.005266438875286199,0.004085370506218906,41563.98125
n_switch,pairing x lambda,2,27,214.27891666666648,0.005155399223616638,0.0042695584009159755,41563.98125
