scale,log_scale,mean_welfare,mean_equality,mean_coop,dist_game_mean,dist_lo,dist_hi,dist_of_centroid,share_games_at_ideal,ideal_lo,ideal_hi,share_cells_at_ideal,n_cells_nondominated,hypervolume,shortfall,loss_from_DD,loss_from_exploitation,dd_share_of_shortfall,n_games
0.01,-2.0,0.5679166666666666,0.7364421439752689,0.50475,0.481386980097391,0.46502378369035774,0.49742529297322036,0.45061316755161385,0.1175,0.09916666666666667,0.13583333333333333,0.058333333333333334,7,1.0,0.23208333333333342,0.13013333333333335,0.10195,0.5607181328545779,1200
0.1,-1.0,0.5768583333333334,0.7327192938810291,0.5325416666666666,0.46808253065023053,0.45247448938152074,0.4835148624950604,0.4374015587139675,0.1425,0.12333333333333334,0.16168749999999987,0.075,9,1.0,0.22314166666666668,0.11466666666666668,0.10847500000000002,0.5138738469582105,1200
0.25,-0.6020599913279624,0.6179333333333333,0.749055850290734,0.6295833333333334,0.39001858555351837,0.3731141357124772,0.40642989866043433,0.36752527853043726,0.19666666666666666,0.17497916666666666,0.22,0.125,15,1.0,0.1820666666666667,0.08036666666666667,0.1017,0.4414134016843646,1200
0.5,-0.3010299956639812,0.5951833333333334,0.7008295506632821,0.588,0.444909349022189,0.43009150005659885,0.4597871984490272,0.4193385423253575,0.145,0.125,0.165,0.08333333333333333,10,1.0,0.20481666666666665,0.08476666666666667,0.12005,0.41386605907722357,1200
1.0,0.0,0.6054916666666667,0.7130790560812412,0.610375,0.42389641412142853,0.40807592341394017,0.4397914096844139,0.39923862000683624,0.17083333333333334,0.15166666666666667,0.1925,0.08333333333333333,10,1.0,0.1945083333333334,0.07853333333333334,0.115975,0.40375305256844174,1200
2.0,0.3010299956639812,0.6131916666666666,0.7339525637846069,0.6237916666666666,0.4016752287695558,0.3854185318453063,0.4175282799231705,0.38005900665827214,0.22083333333333333,0.19833333333333333,0.24416666666666667,0.125,15,1.0,0.18680833333333347,0.07783333333333334,0.10897499999999999,0.4166480795824595,1200
5.0,0.6989700043360189,0.6084833333333334,0.7178672095634805,0.6148333333333333,0.41586396205299614,0.399618916352865,0.43251368472278706,0.39296333894457725,0.18666666666666668,0.16583333333333333,0.20916666666666667,0.1,12,1.0,0.19151666666666667,0.07916666666666668,0.11234999999999999,0.4133669828561483,1200
10.0,1.0,0.611575,0.7347251064017443,0.6198750000000001,0.40421149653342753,0.3872487068822775,0.4213769046853462,0.3822765020765833,0.21583333333333332,0.19414583333333332,0.23916666666666667,0.15833333333333333,19,1.0,0.18842500000000006,0.0793,0.10912499999999999,0.4208571049489185,1200
100.0,2.0,0.5910416666666667,0.7287963468781817,0.573625,0.44028827088710787,0.42494677729801034,0.45509082172415205,0.4162023715397639,0.1275,0.11,0.14583333333333334,0.058333333333333334,7,1.0,0.20895833333333336,0.09373333333333335,0.11522499999999998,0.4485742771684945,1200
1000.0,3.0,0.6023083333333333,0.7334848674129364,0.5980416666666667,0.4188900108061559,0.40252554514013783,0.43491317500647414,0.3970470910873973,0.1975,0.17583333333333334,0.22,0.15,18,1.0,0.1976916666666667,0.08696666666666668,0.110725,0.439910635248493,1200
