scope,dyad,mean,p_perm,n,sd,cohens_d,p_fdr
all models,CvC + SvS,-0.009483333333333331,0.010197960407918417,6000,0.28947486765760816,-0.03276047212689376,0.014730387255882157
Claude-Haiku-4.5,CvC,0.022199999999999994,0.0001999600079984003,500,0.07886443557394418,0.28149570637813065,0.0003713543005684577
Claude-Haiku-4.5,SvS,0.223,0.0001999600079984003,500,0.2572612810616221,0.8668230177497427,0.0003713543005684577
Qwen3-235B-A22B,CvC,-0.008799999999999997,0.0001999600079984003,500,0.044794789276126575,-0.19645142085063821,0.0003713543005684577
Qwen3-235B-A22B,SvS,-0.466,0.0001999600079984003,500,0.30963809762851535,-1.5049827639720161,0.0003713543005684577
GPT-5.4-Nano,CvC,0.0438,0.0001999600079984003,500,0.18956114278434655,0.23106001238781773,0.0003713543005684577
GPT-5.4-Nano,SvS,0.09759999999999999,0.0001999600079984003,500,0.29707026354545474,0.32854180299020813,0.0003713543005684577
Gemini-3.1-Flash-Lite,CvC,-0.0018000000000000015,0.004199160167966407,500,0.013308426971543786,-0.13525264885540417,0.006823635272945411
Gemini-3.1-Flash-Lite,SvS,-0.05959999999999998,0.011397720455908818,500,0.5238288205764676,-0.1137776266957035,0.014817036592681462
Grok-4.20-Non-Reasoning,CvC,-0.006600000000000004,0.2569486102779444,500,0.12525101049996573,-0.05269418564891985,0.30366653941938887
Grok-4.20-Non-Reasoning,SvS,0.05140000000000001,0.0001999600079984003,500,0.1500101532969831,0.3426434735936886,0.0003713543005684577
Gemini-3.5-Flash-Lite,CvC,0.0042000000000000015,0.3161367726454709,500,0.08727883586746997,0.048121631759359886,0.34248150369926017
Gemini-3.5-Flash-Lite,SvS,-0.0132,0.37252549490101977,500,0.32820908336730964,-0.04021826533431874,0.37252549490101977
