model_a,model_b,same_vendor,profile_spearman,profile_distance,level_distance,cliffs_delta,rank_profile,rank_level
Claude-Haiku-4.5,Qwen3-235B-A22B,False,-0.058839062014967976,1.058839062014968,0.020325000000000093,-0.1279415,10.0,2.0
Claude-Haiku-4.5,GPT-5.4-Nano,False,0.12354751258307023,0.8764524874169297,0.19157500000000005,-0.4255475,6.0,10.0
Claude-Haiku-4.5,Gemini-3.1-Flash-Lite,False,0.20404685605514641,0.7959531439448536,0.20240000000000002,-0.47118425,4.0,11.0
Claude-Haiku-4.5,Grok-4.20-Non-Reasoning,False,-0.23850810414329923,1.2385081041432993,0.2981750000000001,-0.50616575,12.0,13.0
Claude-Haiku-4.5,Gemini-3.5-Flash-Lite,False,0.1396533565682052,0.8603466434317948,0.3359749999999999,-0.6412165,5.0,15.0
Qwen3-235B-A22B,GPT-5.4-Nano,False,0.000446628004853277,0.9995533719951467,0.17124999999999996,-0.33016275,7.0,8.0
Qwen3-235B-A22B,Gemini-3.1-Flash-Lite,False,-0.6259082092155467,1.6259082092155466,0.18207499999999993,-0.26702625,15.0,9.0
Qwen3-235B-A22B,Grok-4.20-Non-Reasoning,False,0.3173884126573694,0.6826115873426306,0.27785,-0.52831525,3.0,12.0
Qwen3-235B-A22B,Gemini-3.5-Flash-Lite,False,-0.1629916769158925,1.1629916769158926,0.3156499999999998,-0.61924225,11.0,14.0
GPT-5.4-Nano,Gemini-3.1-Flash-Lite,False,-0.04816247543650125,1.0481624754365013,0.010824999999999974,0.0080815,9.0,1.0
GPT-5.4-Nano,Grok-4.20-Non-Reasoning,False,0.32042228338072426,0.6795777166192758,0.10660000000000003,-0.2964735,2.0,5.0
GPT-5.4-Nano,Gemini-3.5-Flash-Lite,False,-0.00413017411224847,1.0041301741122484,0.14439999999999986,-0.3439225,8.0,7.0
Gemini-3.1-Flash-Lite,Grok-4.20-Non-Reasoning,False,-0.4896418461612053,1.4896418461612053,0.09577500000000005,-0.22599025,14.0,4.0
Gemini-3.1-Flash-Lite,Gemini-3.5-Flash-Lite,True,0.4412835542926543,0.5587164457073457,0.1335749999999999,-0.2963485,1.0,6.0
Grok-4.20-Non-Reasoning,Gemini-3.5-Flash-Lite,False,-0.2835903273462201,1.2835903273462201,0.037799999999999834,0.0393625,13.0,3.0
