scope,level,strategy,n,n_total,share
model,Claude-Haiku-4.5,AllC,37,4000,0.00925
model,Claude-Haiku-4.5,TFT,8,4000,0.002
model,Claude-Haiku-4.5,WSLS,5,4000,0.00125
model,Claude-Haiku-4.5,GRIM,32,4000,0.008
model,Claude-Haiku-4.5,AllD,203,4000,0.05075
model,Claude-Haiku-4.5,ambiguous,104,4000,0.026
model,Claude-Haiku-4.5,unclassified,3611,4000,0.90275
model,Qwen3-235B-A22B,AllC,864,4000,0.216
model,Qwen3-235B-A22B,TFT,1,4000,0.00025
model,Qwen3-235B-A22B,WSLS,6,4000,0.0015
model,Qwen3-235B-A22B,GRIM,9,4000,0.00225
model,Qwen3-235B-A22B,AllD,1420,4000,0.355
model,Qwen3-235B-A22B,ambiguous,133,4000,0.03325
model,Qwen3-235B-A22B,unclassified,1567,4000,0.39175
model,GPT-5.4-Nano,AllC,214,4000,0.0535
model,GPT-5.4-Nano,TFT,12,4000,0.003
model,GPT-5.4-Nano,WSLS,8,4000,0.002
model,GPT-5.4-Nano,GRIM,13,4000,0.00325
model,GPT-5.4-Nano,AllD,79,4000,0.01975
model,GPT-5.4-Nano,ambiguous,384,4000,0.096
model,GPT-5.4-Nano,unclassified,3290,4000,0.8225
model,Gemini-3.1-Flash-Lite,AllC,656,4000,0.164
model,Gemini-3.1-Flash-Lite,TFT,0,4000,0.0
model,Gemini-3.1-Flash-Lite,WSLS,0,4000,0.0
model,Gemini-3.1-Flash-Lite,GRIM,1,4000,0.00025
model,Gemini-3.1-Flash-Lite,AllD,328,4000,0.082
model,Gemini-3.1-Flash-Lite,ambiguous,982,4000,0.2455
model,Gemini-3.1-Flash-Lite,unclassified,2033,4000,0.50825
model,Grok-4.20-Non-Reasoning,AllC,360,4000,0.09
model,Grok-4.20-Non-Reasoning,TFT,23,4000,0.00575
model,Grok-4.20-Non-Reasoning,WSLS,18,4000,0.0045
model,Grok-4.20-Non-Reasoning,GRIM,25,4000,0.00625
model,Grok-4.20-Non-Reasoning,AllD,493,4000,0.12325
model,Grok-4.20-Non-Reasoning,ambiguous,1549,4000,0.38725
model,Grok-4.20-Non-Reasoning,unclassified,1532,4000,0.383
model,Gemini-3.5-Flash-Lite,AllC,535,4000,0.13375
model,Gemini-3.5-Flash-Lite,TFT,31,4000,0.00775
model,Gemini-3.5-Flash-Lite,WSLS,24,4000,0.006
model,Gemini-3.5-Flash-Lite,GRIM,29,4000,0.00725
model,Gemini-3.5-Flash-Lite,AllD,129,4000,0.03225
model,Gemini-3.5-Flash-Lite,ambiguous,1093,4000,0.27325
model,Gemini-3.5-Flash-Lite,unclassified,2159,4000,0.53975
scale,0.01,AllC,297,2400,0.12375
scale,0.01,TFT,9,2400,0.00375
scale,0.01,WSLS,5,2400,0.0020833333333333333
scale,0.01,GRIM,5,2400,0.0020833333333333333
scale,0.01,AllD,511,2400,0.21291666666666667
scale,0.01,ambiguous,300,2400,0.125
scale,0.01,unclassified,1273,2400,0.5304166666666666
scale,0.1,AllC,290,2400,0.12083333333333333
scale,0.1,TFT,2,2400,0.0008333333333333334
scale,0.1,WSLS,7,2400,0.002916666666666667
scale,0.1,GRIM,9,2400,0.00375
scale,0.1,AllD,415,2400,0.17291666666666666
scale,0.1,ambiguous,356,2400,0.14833333333333334
scale,0.1,unclassified,1321,2400,0.5504166666666667
scale,0.25,AllC,305,2400,0.12708333333333333
