factor,level,n,utility_mean,utility_lo,utility_hi,coop_mean,coop_lo,coop_hi,efficiency_mean
model,Claude-Haiku-4.5,4000,0.53222,0.527679,0.536926625,0.41480000000000006,0.404246875,0.425925625,0.6652750000000001
model,GPT-5.4-Nano,4000,0.604385,0.6000884999999999,0.6096052500000001,0.606375,0.59627125,0.6185056250000001,0.75548125
model,Gemini-3.1-Flash-Lite,4000,0.59505,0.589366125,0.6006002500000002,0.6172000000000001,0.6063199999999999,0.62788125,0.7438125
model,Gemini-3.5-Flash-Lite,4000,0.6750550000000001,0.66957025,0.6803928749999999,0.7507750000000001,0.738599375,0.7618331250000001,0.84381875
model,Grok-4.20-Non-Reasoning,4000,0.668585,0.662213,0.675142125,0.7129749999999999,0.698076875,0.728630625,0.83573125
model,Qwen3-235B-A22B,4000,0.518695,0.5148386250000001,0.5230408750000001,0.435125,0.424374375,0.44782937500000003,0.64836875
language,ar,4800,0.5897916666666667,0.5846223958333334,0.5949222916666667,0.5725833333333332,0.5609932291666667,0.584459375,0.7372395833333333
language,cn,4800,0.591875,0.587455625,0.5963222916666667,0.5819583333333334,0.5714145833333334,0.5927317708333334,0.73984375
language,en,4800,0.6169291666666668,0.6113995833333334,0.6225294791666667,0.6250208333333334,0.6132265625000001,0.6382927083333334,0.7711614583333333
language,fr,4800,0.6028916666666667,0.5974330208333334,0.6080666666666668,0.5995416666666668,0.587375,0.6107083333333333,0.7536145833333332
language,vn,4800,0.5935041666666667,0.58762875,0.5988590625000001,0.5686041666666667,0.5549572916666666,0.5809807291666668,0.7418802083333333
scale,0.01,2400,0.5679166666666666,0.5599645833333334,0.5756670833333334,0.50475,0.48520104166666667,0.5240885416666667,0.7098958333333333
scale,0.1,2400,0.5768583333333334,0.5690908333333334,0.5848085416666666,0.5325416666666666,0.5129979166666666,0.5509635416666667,0.7210729166666667
scale,0.25,2400,0.6179333333333333,0.6102147916666667,0.6259333333333333,0.6295833333333334,0.6122072916666667,0.6477989583333332,0.7724166666666666
scale,0.5,2400,0.5951833333333334,0.5884991666666667,0.6021752083333334,0.588,0.572665625,0.6045031249999999,0.7439791666666666
scale,1.0,2400,0.6054916666666667,0.5985993749999999,0.6127008333333334,0.610375,0.59523125,0.6260010416666667,0.7568645833333333
scale,2.0,2400,0.6131916666666666,0.6062404166666667,0.6209768750000001,0.6237916666666666,0.608165625,0.6401270833333333,0.7664895833333333
scale,5.0,2400,0.6084833333333334,0.6017891666666667,0.61620875,0.6148333333333333,0.5995385416666668,0.6324218749999999,0.7606041666666666
scale,10.0,2400,0.611575,0.6042797916666667,0.6190189583333333,0.6198750000000001,0.6039572916666667,0.635628125,0.7644687499999999
scale,100.0,2400,0.5910416666666667,0.583906875,0.5984437499999999,0.573625,0.5580416666666668,0.5901333333333334,0.7388020833333333
scale,1000.0,2400,0.6023083333333333,0.5951570833333333,0.6100095833333333,0.5980416666666667,0.5816208333333334,0.6148760416666668,0.7528854166666668
dyad,CvC,6000,0.6138033333333333,0.6070664166666666,0.6199975,0.56155,0.5456812500000001,0.5764533333333334,0.7672541666666666
dyad,CvS,6000,0.5946766666666667,0.5871462500000001,0.6018383333333334,0.5842333333333333,0.5743816666666667,0.5934270833333334,0.7433458333333333
dyad,SvC,6000,0.5787933333333334,0.5710189166666666,0.5867434166666667,0.6001166666666666,0.5908145833333334,0.6092016666666666,0.7234916666666668
dyad,SvS,6000,0.6087199999999999,0.6045018333333334,0.6130960833333334,0.6122666666666667,0.6032808333333333,0.6214358333333334,0.7608999999999999
personality,cooperative,12000,0.6010522222222223,0.5964492777777779,0.6062906111111113,0.5766722222222224,0.5692895833333333,0.5838615277777777,0.7552999999999999
personality,selfish,12000,0.5887688888888889,0.5836833333333334,0.593771,0.6041666666666666,0.5976911111111111,0.6108458333333333,0.7421958333333334
agent,1,12000,0.6019150000000001,0.597258,0.6064809166666667,0.586625,0.5804804166666667,0.5931443750000001,0.7523937500000001
agent,2,12000,0.5960816666666666,0.5915948333333334,0.6004695000000001,0.5924583333333333,0.5855077083333333,0.5991352083333334,0.7451020833333334
round,1,24000,0.5912666666666667,0.5883825,0.594575,0.56575,0.5591635416666667,0.5732177083333333,0.7390833333333333
round,2,24000,0.5965166666666667,0.5936070833333333,0.5996341666666667,0.5826666666666667,0.5759572916666666,0.5898822916666667,0.7456458333333333
round,3,24000,0.6045583333333334,0.6015166666666667,0.6076093750000001,0.6002083333333333,0.59353125,0.6068760416666668,0.7556979166666666
round,4,24000,0.6041000000000001,0.6010062500000001,0.6071918750000002,0.6019166666666667,0.5952479166666667,0.6089166666666667,0.755125
round,5,24000,0.6006916666666667,0.5975747916666666,0.6037252083333334,0.5922916666666667,0.5854979166666667,0.5992510416666667,0.7508645833333333
round,6,24000,0.5994,0.596324375,0.6025083333333333,0.59225,0.5856625,0.5989635416666667,0.74925
round,7,24000,0.5990916666666667,0.5960910416666667,0.6019591666666667,0.5920416666666667,0.584996875,0.5985437499999999,0.7488645833333333
round,8,24000,0.6006916666666666,0.5974908333333334,0.6037347916666668,0.5965416666666666,0.589375,0.6031666666666666,0.7508645833333333
round,9,24000,0.5941083333333335,0.5910408333333333,0.597075,0.5817916666666667,0.5746666666666667,0.5885468749999999,0.7426354166666667
round,10,24000,0.5995583333333334,0.596275,0.6025847916666667,0.5899583333333334,0.5824979166666667,0.596628125,0.7494479166666667
