model,condition,pC,ci_lo,ci_hi,coverage,rule_distance,ci_lo_rule,ci_hi_rule
Claude-Haiku-4.5,pC_R,0.6315605334836104,0.6130435473314079,0.6478987955820887,0.676,2.0035,1.96511875,2.04225
Claude-Haiku-4.5,pC_S,0.319832548403977,0.3025598508634223,0.33697860723236667,0.7005,2.0035,1.96511875,2.04225
Claude-Haiku-4.5,pC_T,0.35975791126167067,0.34477295574100086,0.3753888670852956,0.7005,2.0035,1.96511875,2.04225
Claude-Haiku-4.5,pC_P,0.3530250254600365,0.34217436942512997,0.3645247587881023,0.904,2.0035,1.96511875,2.04225
Qwen3-235B-A22B,pC_R,0.6496956807414324,0.6342017941435834,0.663110416234395,0.459,0.71825,0.6799875,0.7553812499999999
Qwen3-235B-A22B,pC_S,0.876833531196412,0.8659775329222178,0.889383993151739,0.3825,0.71825,0.6799875,0.7553812499999999
Qwen3-235B-A22B,pC_T,0.10622732818889329,0.097470437332366,0.11603845826188276,0.3825,0.71825,0.6799875,0.7553812499999999
Qwen3-235B-A22B,pC_P,0.30152272940734476,0.27976417457186686,0.32307502504617885,0.507,0.71825,0.6799875,0.7553812499999999
GPT-5.4-Nano,pC_R,0.6554823264896629,0.6417706541796553,0.6689723325137052,0.886,2.0705,2.01610625,2.123
GPT-5.4-Nano,pC_S,0.5780198412698413,0.5627433786848073,0.592470943877551,0.713,2.0705,2.01610625,2.123
GPT-5.4-Nano,pC_T,0.5359408163265307,0.5211145578231292,0.5511720663265306,0.713,2.0705,2.01610625,2.123
GPT-5.4-Nano,pC_P,0.5462059476568405,0.5288974070530991,0.5629519314236111,0.672,2.0705,2.01610625,2.123
Gemini-3.1-Flash-Lite,pC_R,0.6566416233365646,0.6426831523016363,0.6698610131899768,0.8105,1.0175,0.9711187499999999,1.061
Gemini-3.1-Flash-Lite,pC_S,0.7938428740290442,0.7792973763086795,0.8070841842388551,0.41475,1.0175,0.9711187499999999,1.061
Gemini-3.1-Flash-Lite,pC_T,0.11350182581898008,0.10324994129411515,0.12447724388403411,0.41475,1.0175,0.9711187499999999,1.061
Gemini-3.1-Flash-Lite,pC_P,0.46960065199674,0.45054884881825596,0.4865940810920945,0.409,1.0175,0.9711187499999999,1.061
Grok-4.20-Non-Reasoning,pC_R,0.9939650219061984,0.9921022383312299,0.9957554207580469,0.7735,0.716,0.67611875,0.75488125
Grok-4.20-Non-Reasoning,pC_S,0.7181150398406374,0.6956882440476191,0.740500290504648,0.29325,0.716,0.67611875,0.75488125
Grok-4.20-Non-Reasoning,pC_T,0.4070778394359072,0.3861324197258585,0.4311319948381079,0.29325,0.716,0.67611875,0.75488125
Grok-4.20-Non-Reasoning,pC_P,0.268724279835391,0.2508107424554184,0.28701720801489317,0.405,0.716,0.67611875,0.75488125
Gemini-3.5-Flash-Lite,pC_R,0.8667041398073059,0.8590867113311846,0.8748820056361336,0.916,1.02125,0.98135625,1.05863125
Gemini-3.5-Flash-Lite,pC_S,0.7169105008767073,0.6981695130813954,0.7356058112137781,0.445,1.02125,0.98135625,1.05863125
Gemini-3.5-Flash-Lite,pC_T,0.466936600221484,0.4457977387296973,0.4864784125253784,0.445,1.02125,0.98135625,1.05863125
Gemini-3.5-Flash-Lite,pC_P,0.3458357753357753,0.3222075396825397,0.37328666056166054,0.325,1.02125,0.98135625,1.05863125
