scale,delta,cliffs_delta,p,p_fdr
0.01,-0.11158333333333337,-0.18075833333333333,1.786274976116902e-23,1.786274976116902e-22
0.1,-0.08379166666666682,-0.12995041666666668,2.356007000509477e-13,1.1780035002547385e-12
0.25,0.013249999999999984,0.038859583333333336,0.15445505223910033,0.25742508706516726
0.5,-0.028333333333333433,-0.04282791666666667,0.004728464497367943,0.011821161243419857
1.0,-0.005958333333333399,0.0029666666666666665,0.6677071212492385,0.7194516958350814
2.0,0.0074583333333332336,0.026512083333333332,0.43013074407788654,0.614472491539838
5.0,-0.0015000000000000568,0.005033333333333333,0.7194516958350814,0.7194516958350814
10.0,0.003541666666666665,0.018594583333333334,0.7139219934628389,0.7194516958350814
100.0,-0.04270833333333335,-0.073355,9.043611966165207e-06,3.0145373220550687e-05
1000.0,-0.018291666666666706,-0.027200833333333334,0.04241162011492727,0.08482324022985455
