cellkey,model,language,scale,pairing,n_games,observed_coop,predicted_coop,resid,sd_within,z,p_perm,p_fdr,verdict,what_is_unusual,note
Gemini-3.5-Flash-Lite | en | 0.1 | CvC,Gemini-3.5-Flash-Lite,en,0.1,CvC,10,0.0,0.701262499999999,-0.701262499999999,0.0,-8.245495537954055,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 1.0 | CvC,Grok-4.20-Non-Reasoning,cn,1.0,CvC,10,0.0,0.6982333333333417,-0.6982333333333417,0.0,-8.209878375716459,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 0.5 | CvC,Grok-4.20-Non-Reasoning,cn,0.5,CvC,10,0.0,0.6758583333333361,-0.6758583333333361,0.0,-7.946791496464012,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 100.0 | CvC,Grok-4.20-Non-Reasoning,cn,100.0,CvC,10,0.01,0.6614833333333396,-0.6514833333333396,0.0210818510677892,-7.660188471580176,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 1000.0 | CvC,Grok-4.20-Non-Reasoning,cn,1000.0,CvC,10,0.04,0.6859000000000017,-0.6459000000000017,0.051639777949432225,-7.594539231692191,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Qwen3-235B-A22B | ar | 0.01 | SvS,Qwen3-235B-A22B,ar,0.01,SvS,10,1.0,0.35610000000001085,0.6438999999999891,0.0,7.571023086060546,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Gemini-3.5-Flash-Lite | fr | 0.1 | CvC,Gemini-3.5-Flash-Lite,fr,0.1,CvC,10,0.034999999999999996,0.6757833333333321,-0.6407833333333322,0.06687467549246293,-7.534377092451575,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | en | 0.01 | CvC,Grok-4.20-Non-Reasoning,en,0.01,CvC,10,0.01,0.6356708333333434,-0.6256708333333434,0.03162277660168379,-7.356683217023703,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 0.1 | CvC,Grok-4.20-Non-Reasoning,cn,0.1,CvC,10,0.0,0.6204000000000031,-0.6204000000000031,0.0,-7.294708374890612,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Qwen3-235B-A22B | vn | 0.1 | SvS,Qwen3-235B-A22B,vn,0.1,SvS,10,1.0,0.3799125000000059,0.6200874999999941,0.0,7.291033977135585,0.0,0.0,beyond the permutation null,cooperates more than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
Grok-4.20-Non-Reasoning | cn | 10.0 | CvC,Grok-4.20-Non-Reasoning,cn,10.0,CvC,10,0.1,0.7077333333333379,-0.6077333333333379,0.21473497877875208,-7.145772785891144,0.0,0.0,beyond the permutation null,cooperates less than the additive model predicts,"z is the 10-game cell mean residual in units of its own standard error; p_perm is against a 2,000 draw permutation null on the maximum |z|"
