lam,epsilon,Z,beta,r,egt_ALLC,egt_ALLD,egt_TFT,egt_WSLS,llm_AllC,llm_AllD,llm_TFT,llm_WSLS,n_models_pooled
0.01,0.05,100,0.1,10,0.22814663428236465,0.267268357742722,0.2511252025216507,0.25345980545326263,0.381,0.436,0.09050000000000001,0.0925,5
0.1,0.05,100,0.1,10,0.09986410775683727,0.3815258038313269,0.2601250215592181,0.25848506685261774,0.39799999999999996,0.3945,0.09449999999999999,0.113,5
0.25,0.05,100,0.1,10,0.04883349069781786,0.44601991765411075,0.25801225924836724,0.24713433239970414,0.505,0.2655,0.1075,0.122,5
0.5,0.05,100,0.1,10,0.03217011333337605,0.5068994334401846,0.2235913989231069,0.2373390543033324,0.434,0.3035,0.11,0.1525,5
1.0,0.05,100,0.1,10,0.021945435254538428,0.6055570928881577,0.14973125483707234,0.2227662170202315,0.47200000000000003,0.277,0.099,0.152,5
2.0,0.05,100,0.1,10,0.012659580692820803,0.7376657565955119,0.06819928672997061,0.18147537598169666,0.501,0.2645,0.105,0.1295,5
5.0,0.05,100,0.1,10,0.002422485800276964,0.8942458777826839,0.009670777463393173,0.0936608589536459,0.4715,0.272,0.11449999999999999,0.142,5
10.0,0.05,100,0.1,10,0.00015829697514391732,0.9694327917509005,0.0005092843067291839,0.02989962696722644,0.496,0.27149999999999996,0.10800000000000001,0.1245,5
100.0,0.05,100,0.1,10,3.7341992260660286e-26,0.9999999999959627,7.492300968446781e-26,4.037346733917839e-12,0.4125,0.307,0.11449999999999999,0.166,5
1000.0,0.05,100,0.1,10,1.8916862081030158e-245,1.0,3.7833724162060316e-245,3.589696049566811e-112,0.45799999999999996,0.28300000000000003,0.1265,0.1325,5
