model,scale,deduced,ambiguous,unmatched
Claude-Haiku-4.5,0.01,20.0,0.0,80.0
Claude-Haiku-4.5,0.1,15.75,0.0,84.25
Claude-Haiku-4.5,0.25,3.25,0.0,96.75
Claude-Haiku-4.5,0.5,3.5000000000000004,2.5,94.0
Claude-Haiku-4.5,1.0,4.0,4.5,91.5
Claude-Haiku-4.5,2.0,2.75,5.0,92.25
Claude-Haiku-4.5,5.0,4.0,5.0,91.0
Claude-Haiku-4.5,10.0,2.5,4.0,93.5
Claude-Haiku-4.5,100.0,4.5,2.5,93.0
Claude-Haiku-4.5,1000.0,3.5000000000000004,2.0,94.5
GPT-5.4-Nano,0.01,12.5,5.0,82.5
GPT-5.4-Nano,0.1,7.000000000000001,11.0,82.0
GPT-5.4-Nano,0.25,9.25,14.000000000000002,76.75
GPT-5.4-Nano,0.5,6.25,9.0,84.75
GPT-5.4-Nano,1.0,5.5,6.0,88.5
GPT-5.4-Nano,2.0,6.5,11.25,82.25
GPT-5.4-Nano,5.0,8.25,10.5,81.25
GPT-5.4-Nano,10.0,7.249999999999999,12.0,80.75
GPT-5.4-Nano,100.0,8.5,8.5,83.0
GPT-5.4-Nano,1000.0,9.0,7.000000000000001,84.0
Gemini-3.1-Flash-Lite-Preview,0.01,16.5,22.0,61.5
Gemini-3.1-Flash-Lite-Preview,0.1,19.0,24.5,56.49999999999999
Gemini-3.1-Flash-Lite-Preview,0.25,21.25,24.0,54.75
Gemini-3.1-Flash-Lite-Preview,0.5,23.5,25.0,51.5
Gemini-3.1-Flash-Lite-Preview,1.0,28.999999999999996,25.0,46.0
Gemini-3.1-Flash-Lite-Preview,2.0,23.0,25.0,52.0
Gemini-3.1-Flash-Lite-Preview,5.0,30.0,25.0,45.0
Gemini-3.1-Flash-Lite-Preview,10.0,29.5,25.0,45.5
Gemini-3.1-Flash-Lite-Preview,100.0,27.500000000000004,25.0,47.5
Gemini-3.1-Flash-Lite-Preview,1000.0,26.75,25.0,48.25
Gemini-3.5-Flash-Lite,0.01,30.75,36.75,32.5
Gemini-3.5-Flash-Lite,0.1,33.75,28.999999999999996,37.25
Gemini-3.5-Flash-Lite,0.25,20.25,35.5,44.25
Gemini-3.5-Flash-Lite,0.5,13.0,34.75,52.25
Gemini-3.5-Flash-Lite,1.0,20.5,16.5,63.0
Gemini-3.5-Flash-Lite,2.0,14.249999999999998,22.5,63.24999999999999
Gemini-3.5-Flash-Lite,5.0,14.75,21.25,64.0
Gemini-3.5-Flash-Lite,10.0,11.5,19.5,69.0
Gemini-3.5-Flash-Lite,100.0,14.000000000000002,26.0,60.0
Gemini-3.5-Flash-Lite,1000.0,16.25,22.25,61.5
Qwen3-235B-A22B,0.01,77.0,7.5,15.5
Qwen3-235B-A22B,0.1,67.25,19.5,13.25
Qwen3-235B-A22B,0.25,63.0,5.75,31.25
Qwen3-235B-A22B,0.5,62.74999999999999,0.0,37.25
Qwen3-235B-A22B,1.0,59.75,0.0,40.25
Qwen3-235B-A22B,2.0,45.25,0.0,54.75
Qwen3-235B-A22B,5.0,57.99999999999999,0.0,42.0
Qwen3-235B-A22B,10.0,43.25,0.0,56.75
Qwen3-235B-A22B,100.0,55.00000000000001,0.0,45.0
Qwen3-235B-A22B,1000.0,42.0,0.0,57.99999999999999
