Z,beta,epsilon,lam,ALLC,ALLD,TFT,WSLS
50,0.01,0.0,0.01,0.24903845108734504,0.250699040623311,0.2504439921607593,0.24981851612858472
50,0.01,0.0,0.1,0.2404774129199997,0.2568967566686562,0.254460734089229,0.24816509632211517
50,0.01,0.0,0.25,0.22664950461169567,0.2667829870768842,0.2612276875590372,0.24533982075238295
50,0.01,0.0,0.5,0.20514576758585365,0.2817135525255427,0.2726379654900524,0.2405027143985512
50,0.01,0.0,1.0,0.16921223106245056,0.3045707721779353,0.295399575268486,0.23081742149112813
50,0.01,0.0,2.0,0.12423836339237107,0.3249298714907137,0.3368309646934902,0.214000800423425
50,0.01,0.0,5.0,0.07735503674415121,0.32352702134010886,0.41152122663831503,0.1875967152774249
50,0.01,0.0,10.0,0.051569981560371965,0.313514843881166,0.4550250034504761,0.17989017110798594
50,0.01,0.0,100.0,0.01319574651809288,0.3760798779109533,0.40315669910433094,0.20756767646662286
50,0.01,0.0,1000.0,7.076672675304626e-07,0.9999624936348351,2.429657617571162e-05,1.2502121721621042e-05
50,0.01,0.05,0.01,0.24886662306475546,0.2509002238644281,0.25005192713958274,0.25018122593123365
50,0.01,0.05,0.1,0.23878296645719102,0.2589814879484138,0.2505199684377663,0.25171557715662884
50,0.01,0.05,0.25,0.22250242380687857,0.27230348785408404,0.251303588763221,0.2538904995758164
50,0.01,0.05,0.5,0.1971031015124596,0.2937774962210663,0.25261926516476646,0.2565001371017076
50,0.01,0.05,1.0,0.1540006430897128,0.3322939462281039,0.25523367552417475,0.25847173515800853
50,0.01,0.05,2.0,0.0983391291927031,0.38718820098270196,0.2596170360060801,0.2548556338185148
50,0.01,0.05,5.0,0.0480732556662492,0.4554377026649526,0.25807734321833714,0.23841169845046106
50,0.01,0.05,10.0,0.03211949596212307,0.5190426979975618,0.22486020023036837,0.2239776058099468
50,0.01,0.05,100.0,0.0027126170832285548,0.9235984395786285,0.00922995153156511,0.06445899180657776
50,0.01,0.05,1000.0,1.1735490863779803e-14,0.9999999923127242,2.357069472383006e-14,7.687240526369719e-09
50,0.01,0.1,0.01,0.24891055239643703,0.2509559523508247,0.2499137937044947,0.2502197015482436
