model,scale,coop_persona,selfish_persona,persona_effect
Claude-Haiku-4.5,0.01,0.30150000000000005,0.5125,-0.2109999999999999
Claude-Haiku-4.5,0.1,0.26300000000000007,0.4955,-0.23249999999999993
Claude-Haiku-4.5,0.25,0.47450000000000003,0.2685,0.20600000000000002
Claude-Haiku-4.5,0.5,0.5265000000000001,0.327,0.19950000000000007
Claude-Haiku-4.5,1.0,0.542,0.3625,0.17950000000000005
Claude-Haiku-4.5,2.0,0.5740000000000001,0.31300000000000006,0.261
Claude-Haiku-4.5,5.0,0.562,0.28550000000000003,0.2765
Claude-Haiku-4.5,10.0,0.514,0.3565,0.15750000000000003
Claude-Haiku-4.5,100.0,0.49149999999999994,0.3235,0.16799999999999993
Claude-Haiku-4.5,1000.0,0.507,0.29550000000000004,0.21149999999999997
GPT-5.4-Nano,0.01,0.35150000000000003,0.5239999999999999,-0.17249999999999988
GPT-5.4-Nano,0.1,0.4915,0.5895,-0.09800000000000003
GPT-5.4-Nano,0.25,0.6510000000000001,0.6365000000000001,0.014500000000000068
GPT-5.4-Nano,0.5,0.585,0.6114999999999999,-0.026499999999999968
GPT-5.4-Nano,1.0,0.549,0.6025,-0.05349999999999999
GPT-5.4-Nano,2.0,0.6535,0.6215,0.03199999999999992
GPT-5.4-Nano,5.0,0.701,0.66,0.040999999999999925
GPT-5.4-Nano,10.0,0.6605000000000001,0.606,0.054500000000000104
GPT-5.4-Nano,100.0,0.655,0.6719999999999999,-0.016999999999999904
GPT-5.4-Nano,1000.0,0.703,0.6030000000000001,0.09999999999999987
Gemini-3.1-Flash-Lite-Preview,0.01,0.9175,0.365,0.5525
Gemini-3.1-Flash-Lite-Preview,0.1,0.9490000000000001,0.3475,0.6015000000000001
Gemini-3.1-Flash-Lite-Preview,0.25,0.9405000000000001,0.301,0.6395000000000002
Gemini-3.1-Flash-Lite-Preview,0.5,0.9754999999999999,0.30500000000000005,0.6704999999999999
Gemini-3.1-Flash-Lite-Preview,1.0,0.982,0.28900000000000003,0.693
Gemini-3.1-Flash-Lite-Preview,2.0,0.9544999999999999,0.2735,0.6809999999999998
Gemini-3.1-Flash-Lite-Preview,5.0,0.9670000000000001,0.26,0.7070000000000001
Gemini-3.1-Flash-Lite-Preview,10.0,0.946,0.2505,0.6955
Gemini-3.1-Flash-Lite-Preview,100.0,0.9135,0.254,0.6595
Gemini-3.1-Flash-Lite-Preview,1000.0,0.9225,0.2305,0.692
Gemini-3.5-Flash-Lite,0.01,0.6245,0.9590000000000001,-0.3345
Gemini-3.5-Flash-Lite,0.1,0.405,0.9825,-0.5775
Gemini-3.5-Flash-Lite,0.25,0.9330000000000002,0.8110000000000003,0.12199999999999989
Gemini-3.5-Flash-Lite,0.5,0.9175,0.6835,0.23399999999999999
Gemini-3.5-Flash-Lite,1.0,0.8945000000000001,0.653,0.24150000000000005
Gemini-3.5-Flash-Lite,2.0,0.8385000000000001,0.581,0.2575000000000002
Gemini-3.5-Flash-Lite,5.0,0.8534999999999999,0.5405,0.31299999999999994
Gemini-3.5-Flash-Lite,10.0,0.855,0.6525,0.2025
Gemini-3.5-Flash-Lite,100.0,0.8305000000000001,0.6375000000000001,0.19300000000000006
Gemini-3.5-Flash-Lite,1000.0,0.7964999999999999,0.5664999999999999,0.22999999999999998
Grok-4.20-Non-Reasoning,0.01,0.0475,0.5015000000000001,-0.45400000000000007
Grok-4.20-Non-Reasoning,0.1,0.2255,0.654,-0.4285
Grok-4.20-Non-Reasoning,0.25,0.6829999999999999,0.9460000000000001,-0.2630000000000001
Grok-4.20-Non-Reasoning,0.5,0.3885,0.8725,-0.48400000000000004
Grok-4.20-Non-Reasoning,1.0,0.648,0.9705000000000001,-0.3225000000000001
Grok-4.20-Non-Reasoning,2.0,0.8269999999999998,0.9940000000000001,-0.16700000000000026
Grok-4.20-Non-Reasoning,5.0,0.7375,0.9725,-0.235
Grok-4.20-Non-Reasoning,10.0,0.774,0.98,-0.20599999999999996
Grok-4.20-Non-Reasoning,100.0,0.3965000000000001,0.9115000000000001,-0.515
Grok-4.20-Non-Reasoning,1000.0,0.7475,0.982,-0.23449999999999993
Qwen3-235B-A22B,0.01,0.026000000000000002,0.9265000000000001,-0.9005000000000001
Qwen3-235B-A22B,0.1,0.0325,0.955,-0.9225
Qwen3-235B-A22B,0.25,0.04950000000000001,0.8605000000000002,-0.8110000000000002
Qwen3-235B-A22B,0.5,0.0475,0.816,-0.7685
Qwen3-235B-A22B,1.0,0.065,0.7665000000000001,-0.7015
Qwen3-235B-A22B,2.0,0.11,0.745,-0.635
Qwen3-235B-A22B,5.0,0.07450000000000001,0.764,-0.6895
Qwen3-235B-A22B,10.0,0.121,0.7225,-0.6015
Qwen3-235B-A22B,100.0,0.07050000000000001,0.7275,-0.657
Qwen3-235B-A22B,1000.0,0.12849999999999998,0.6940000000000001,-0.5655000000000001
