Z,beta,epsilon,alld_at_min_lambda,alld_at_max_lambda,rise,monotone_non_decreasing,largest_decrease,alld_ge_90pct_by
50,0.01,0.0,0.250699040623311,0.9999624936348351,0.7492634530115241,False,-0.01001217745894284,1000.0
50,0.01,0.05,0.2509002238644281,0.9999999923127242,0.7490997684482961,True,0.008081264083985684,100.0
50,0.01,0.1,0.2509559523508247,1.0,0.7490440476491753,True,0.002029207604535954,100.0
50,0.01,0.2,0.2508855479711654,1.0,0.7491144520288346,True,8.049957960332144e-06,100.0
50,0.05,0.0,0.25347519526771417,1.0,0.7465248047322859,False,-0.022723646874910186,100.0
50,0.05,0.05,0.2544972312856222,1.0,0.7455027687143778,True,6.441640790666447e-05,100.0
50,0.05,0.1,0.2547855614923405,1.0,0.7452144385076596,True,1.0462741784067475e-12,10.0
50,0.05,0.2,0.2544394933568163,1.0,0.7455605066431836,True,0.0,5.0
50,0.1,0.0,0.2568967566686562,1.0,0.7431032433313438,False,-0.017712902968675504,100.0
50,0.1,0.05,0.2589814879484138,1.0,0.7410185120515862,True,7.687275815904115e-09,10.0
50,0.1,0.1,0.259583221643604,1.0,0.740416778356396,True,0.0,5.0
50,0.1,0.2,0.2589073599391153,1.0,0.7410926400608847,True,0.0,2.0
50,0.5,0.0,0.2817135525255427,1.0,0.7182864474744572,False,-0.017559792551873343,10.0
50,0.5,0.05,0.2937774962210663,1.0,0.7062225037789337,True,0.0,2.0
50,0.5,0.1,0.2979308173931076,1.0,0.7020691826068923,True,0.0,1.0
50,0.5,0.2,0.29546419236163596,1.0,0.7045358076383641,True,0.0,0.5
50,1.0,0.0,0.3045707721779353,1.0,0.6954292278220646,False,-0.022723646874910186,5.0
50,1.0,0.05,0.3322939462281039,1.0,0.6677060537718962,True,0.0,1.0
50,1.0,0.1,0.3438108126012272,1.0,0.6561891873987729,True,0.0,0.5
50,1.0,0.2,0.342197019564085,1.0,0.657802980435915,True,0.0,0.25
100,0.01,0.0,0.25132089427930815,0.9999999985028883,0.7486791042235802,False,-0.020618864731853037,1000.0
100,0.01,0.05,0.25173959496153303,0.9999999999959627,0.7482604050344297,True,0.015528762781188976,100.0
