scale_nominal,deduced,ambiguous,unmatched,AllC,TFT,WSLS,AllD,mean_min_deviations
0.01,34.875,11.875,53.25,41.041666666666664,8.625,9.833333333333332,40.5,1.07875
0.1,29.916666666666668,14.666666666666666,55.41666666666667,42.66666666666667,8.5,11.625,37.20833333333333,1.205
0.25,22.0,20.625,57.375,51.79166666666667,9.333333333333334,11.625,27.250000000000004,1.1833333333333333
0.5,21.708333333333332,14.625,63.66666666666667,46.33333333333333,9.208333333333334,13.166666666666666,31.291666666666668,1.3216666666666668
1.0,22.708333333333332,17.083333333333332,60.20833333333333,49.291666666666664,8.666666666666668,14.000000000000002,28.041666666666664,1.3429166666666668
2.0,16.75,22.166666666666668,61.083333333333336,50.916666666666664,9.333333333333334,12.0,27.750000000000004,1.32625
5.0,21.625,19.25,59.12500000000001,49.041666666666664,9.75,12.916666666666668,28.291666666666664,1.3054166666666667
10.0,17.958333333333336,21.583333333333332,60.458333333333336,50.29166666666667,9.375,11.583333333333332,28.749999999999996,1.35375
100.0,23.25,12.833333333333332,63.916666666666664,43.083333333333336,10.583333333333334,15.041666666666668,31.291666666666668,1.4670833333333333
1000.0,18.833333333333332,19.791666666666664,61.375,46.875,11.5,12.041666666666668,29.583333333333332,1.3529166666666668
