model,language,coop,range_over_scales,argmax_scale,argmin_scale
Claude-Haiku-4.5,ar,0.419375,0.24875000000000008,2.0,0.25
Claude-Haiku-4.5,cn,0.57375,0.245,1.0,0.25
Claude-Haiku-4.5,en,0.412375,0.13624999999999998,1000.0,0.25
Claude-Haiku-4.5,fr,0.435,0.31375000000000003,0.01,0.5
Claude-Haiku-4.5,vn,0.2335,0.13,5.0,0.01
GPT-5.4-Nano,ar,0.45825000000000005,0.35999999999999993,100.0,0.01
GPT-5.4-Nano,cn,0.5455,0.41374999999999995,0.25,0.01
GPT-5.4-Nano,en,0.7978749999999999,0.4487500000000001,2.0,0.01
GPT-5.4-Nano,fr,0.66,0.22624999999999995,0.1,1.0
GPT-5.4-Nano,vn,0.57025,0.28875000000000006,5.0,0.1
Gemini-3.1-Flash-Lite-Preview,ar,0.6980000000000001,0.07999999999999996,0.1,0.25
Gemini-3.1-Flash-Lite-Preview,cn,0.595875,0.13250000000000006,0.1,0.25
Gemini-3.1-Flash-Lite-Preview,en,0.630875,0.16749999999999998,0.01,100.0
Gemini-3.1-Flash-Lite-Preview,fr,0.61725,0.14500000000000002,0.25,1000.0
Gemini-3.1-Flash-Lite-Preview,vn,0.544,0.17000000000000004,0.5,1000.0
Gemini-3.5-Flash-Lite,ar,0.8446250000000001,0.24249999999999994,0.5,0.01
Gemini-3.5-Flash-Lite,cn,0.7142500000000002,0.16249999999999998,0.1,0.5
Gemini-3.5-Flash-Lite,en,0.710875,0.4125,0.01,5.0
Gemini-3.5-Flash-Lite,fr,0.725375,0.3174999999999999,0.01,100.0
Gemini-3.5-Flash-Lite,vn,0.75875,0.3137500000000001,0.25,5.0
Grok-4.20-Non-Reasoning,ar,0.59375,0.7862499999999999,2.0,0.01
Grok-4.20-Non-Reasoning,cn,0.600875,0.3812499999999999,5.0,0.01
Grok-4.20-Non-Reasoning,en,0.7361249999999999,0.855,1000.0,0.01
Grok-4.20-Non-Reasoning,fr,0.795,0.53625,10.0,0.01
Grok-4.20-Non-Reasoning,vn,0.8391249999999999,0.74,0.25,0.01
Qwen3-235B-A22B,ar,0.42150000000000004,0.12374999999999997,0.01,1000.0
Qwen3-235B-A22B,cn,0.4615000000000001,0.08374999999999999,0.1,1.0
Qwen3-235B-A22B,en,0.462,0.15499999999999992,0.25,100.0
Qwen3-235B-A22B,fr,0.364625,0.08250000000000002,0.01,1000.0
Qwen3-235B-A22B,vn,0.466,0.14999999999999997,0.1,100.0
