scale_nominal,deduced,ambiguous,unmatched,AllC,TFT,WSLS,AllD,mean_min_deviations
0.01,38.550000000000004,9.85,51.6,38.1,9.049999999999999,9.25,43.6,1.0775
0.1,32.1,12.7,55.2,39.800000000000004,9.45,11.3,39.45,1.1975
0.25,22.15,19.950000000000003,57.9,50.5,10.75,12.2,26.55,1.22
0.5,21.349999999999998,12.55,66.10000000000001,43.4,11.0,15.25,30.349999999999998,1.3985
1.0,21.45,15.5,63.05,47.199999999999996,9.9,15.2,27.700000000000003,1.4085
2.0,15.5,21.6,62.9,50.1,10.5,12.950000000000001,26.450000000000003,1.394
5.0,19.950000000000003,18.099999999999998,61.95,47.15,11.450000000000001,14.2,27.200000000000003,1.3775
10.0,15.65,20.9,63.449999999999996,49.6,10.8,12.45,27.150000000000002,1.42
100.0,22.400000000000002,10.4,67.2,41.25,11.450000000000001,16.6,30.7,1.554
1000.0,17.25,18.75,64.0,45.800000000000004,12.65,13.25,28.299999999999997,1.418
