model,label,beta_logscale,se,p,pct_at_min_scale,pct_at_max_scale
Claude-Haiku-4.5,AllC,-0.15453466693856444,0.035897510530455645,1.6707224273089342e-05,27.0,14.000000000000002
Claude-Haiku-4.5,TFT,-0.0036152469900902484,0.030990494550374465,0.9071321512456062,20.5,22.25
Claude-Haiku-4.5,WSLS,0.1519479322461258,0.0324700086433544,2.873798905412622e-06,8.75,19.0
Claude-Haiku-4.5,AllD,0.0035960352846287034,0.025688018733927447,0.8886688282448563,43.75,44.75
GPT-5.4-Nano,AllC,0.14939393814348276,0.02441199491230256,9.375523892780635e-10,29.75,50.74999999999999
GPT-5.4-Nano,TFT,0.10256943892624182,0.035308786458400264,0.0036733903649913647,11.75,17.75
GPT-5.4-Nano,WSLS,0.01615009876103002,0.037572558248315145,0.6673137698559523,12.5,14.000000000000002
GPT-5.4-Nano,AllD,-0.2819492066847501,0.03265517349984418,5.91726051662782e-18,46.0,17.5
Gemini-3.1-Flash-Lite-Preview,AllC,-0.05112640059471419,0.021273007561317576,0.016245801866543157,55.75,52.25
Gemini-3.1-Flash-Lite-Preview,TFT,0.08015064860873394,0.07835094767485892,0.30632215312696087,6.5,5.75
Gemini-3.1-Flash-Lite-Preview,WSLS,-0.17167002975190715,0.047576449988670694,0.0003082118421257473,12.75,6.0
Gemini-3.1-Flash-Lite-Preview,AllD,0.10013145278557845,0.01897719220275419,1.3173893653291805e-07,25.0,36.0
Gemini-3.5-Flash-Lite,AllC,-0.17353904343850862,0.026738825673035156,8.574980537613144e-11,73.75,51.5
Gemini-3.5-Flash-Lite,TFT,0.16730358196614334,0.03446275206743733,1.2061752044961174e-06,6.75,14.249999999999998
Gemini-3.5-Flash-Lite,WSLS,0.11079703585531053,0.029287657988092013,0.00015491059791945523,6.25,15.25
Gemini-3.5-Flash-Lite,AllD,0.07706214711967904,0.047555371619887,0.10513092902534488,13.25,19.0
Grok-4.20-Non-Reasoning,AllC,0.44010750258009473,0.03220031579026828,1.5810147767620883e-42,18.0,79.0
Grok-4.20-Non-Reasoning,TFT,-0.10034032340081994,0.0504215608920865,0.04658783932314327,5.75,4.25
Grok-4.20-Non-Reasoning,WSLS,0.0005172504581009985,0.037073111731763385,0.9888681379597769,9.75,8.0
Grok-4.20-Non-Reasoning,AllD,-0.6698049593023437,0.0612816441709648,8.289926474469877e-28,66.5,8.75
Qwen3-235B-A22B,AllC,-0.09657998478796147,0.01881101083421527,2.833071885551139e-07,42.0,33.75
Qwen3-235B-A22B,TFT,0.5323170416833579,0.08875080699306793,1.999052821583129e-09,0.5,4.75
Qwen3-235B-A22B,WSLS,0.05701682225759508,0.04048482148401163,0.1590272820606886,9.0,10.0
Qwen3-235B-A22B,AllD,0.03726802920441721,0.021892978288349754,0.08870246317930096,48.5,51.5
