model,scale,AllC,TFT,WSLS,AllD
Claude-Haiku-4.5,0.01,27.0,20.5,8.75,43.75
Claude-Haiku-4.5,0.1,20.0,23.5,13.5,43.0
Claude-Haiku-4.5,0.25,14.249999999999998,23.5,15.25,47.0
Claude-Haiku-4.5,0.5,20.0,18.0,13.5,48.5
Claude-Haiku-4.5,1.0,21.75,16.75,20.25,41.25
Claude-Haiku-4.5,2.0,18.25,16.5,21.25,44.0
Claude-Haiku-4.5,5.0,15.25,19.5,20.5,44.75
Claude-Haiku-4.5,10.0,18.75,17.75,18.25,45.25
Claude-Haiku-4.5,100.0,12.75,20.75,21.75,44.75
Claude-Haiku-4.5,1000.0,14.000000000000002,22.25,19.0,44.75
GPT-5.4-Nano,0.01,29.75,11.75,12.5,46.0
GPT-5.4-Nano,0.1,41.75,11.5,12.5,34.25
GPT-5.4-Nano,0.25,52.25,10.5,14.499999999999998,22.75
GPT-5.4-Nano,0.5,46.25,11.75,15.5,26.5
GPT-5.4-Nano,1.0,48.5,10.25,13.750000000000002,27.500000000000004
GPT-5.4-Nano,2.0,54.25,13.25,10.5,22.0
GPT-5.4-Nano,5.0,58.5,13.750000000000002,12.5,15.25
GPT-5.4-Nano,10.0,52.25,13.25,10.25,24.25
GPT-5.4-Nano,100.0,53.25,13.0,15.5,18.25
GPT-5.4-Nano,1000.0,50.74999999999999,17.75,14.000000000000002,17.5
Gemini-3.1-Flash-Lite-Preview,0.01,55.75,6.5,12.75,25.0
Gemini-3.1-Flash-Lite-Preview,0.1,56.99999999999999,3.75,13.25,26.0
Gemini-3.1-Flash-Lite-Preview,0.25,58.25,2.25,8.75,30.75
Gemini-3.1-Flash-Lite-Preview,0.5,61.0,0.25,2.75,36.0
Gemini-3.1-Flash-Lite-Preview,1.0,59.75,2.5,8.0,29.75
Gemini-3.1-Flash-Lite-Preview,2.0,55.00000000000001,3.5000000000000004,7.249999999999999,34.25
Gemini-3.1-Flash-Lite-Preview,5.0,58.5,1.25,6.5,33.75
Gemini-3.1-Flash-Lite-Preview,10.0,53.75,2.25,7.249999999999999,36.75
Gemini-3.1-Flash-Lite-Preview,100.0,52.25,6.25,7.249999999999999,34.25
Gemini-3.1-Flash-Lite-Preview,1000.0,52.25,5.75,6.0,36.0
Gemini-3.5-Flash-Lite,0.01,73.75,6.75,6.25,13.25
Gemini-3.5-Flash-Lite,0.1,59.75,2.25,13.25,24.75
Gemini-3.5-Flash-Lite,0.25,74.0,10.25,14.000000000000002,1.7500000000000002
Gemini-3.5-Flash-Lite,0.5,64.0,16.25,16.25,3.5000000000000004
Gemini-3.5-Flash-Lite,1.0,57.99999999999999,17.0,21.25,3.75
Gemini-3.5-Flash-Lite,2.0,60.0,16.25,12.0,11.75
Gemini-3.5-Flash-Lite,5.0,51.74999999999999,15.25,18.0,15.0
Gemini-3.5-Flash-Lite,10.0,59.75,13.5,18.5,8.25
Gemini-3.5-Flash-Lite,100.0,56.25,15.25,16.5,12.0
Gemini-3.5-Flash-Lite,1000.0,51.5,14.249999999999998,15.25,19.0
Grok-4.20-Non-Reasoning,0.01,18.0,5.75,9.75,66.5
Grok-4.20-Non-Reasoning,0.1,29.75,10.0,14.75,45.5
Grok-4.20-Non-Reasoning,0.25,72.75,9.5,8.5,9.25
Grok-4.20-Non-Reasoning,0.5,48.75,9.0,17.5,24.75
Grok-4.20-Non-Reasoning,1.0,71.0,4.25,13.5,11.25
Grok-4.20-Non-Reasoning,2.0,81.5,5.75,9.0,3.75
Grok-4.20-Non-Reasoning,5.0,74.75,6.75,11.5,7.000000000000001
Grok-4.20-Non-Reasoning,10.0,82.0,3.25,7.000000000000001,7.75
Grok-4.20-Non-Reasoning,100.0,49.5,8.25,20.0,22.25
Grok-4.20-Non-Reasoning,1000.0,79.0,4.25,8.0,8.75
Qwen3-235B-A22B,0.01,42.0,0.5,9.0,48.5
Qwen3-235B-A22B,0.1,47.75,0.0,2.5,49.75
Qwen3-235B-A22B,0.25,39.25,0.0,8.75,52.0
Qwen3-235B-A22B,0.5,38.0,0.0,13.5,48.5
Qwen3-235B-A22B,1.0,36.75,1.25,7.249999999999999,54.75
Qwen3-235B-A22B,2.0,36.5,0.75,12.0,50.74999999999999
Qwen3-235B-A22B,5.0,35.5,2.0,8.5,54.0
Qwen3-235B-A22B,10.0,35.25,6.25,8.25,50.24999999999999
Qwen3-235B-A22B,100.0,34.5,0.0,9.25,56.25
Qwen3-235B-A22B,1000.0,33.75,4.75,10.0,51.5
