model,scale,n_dyads,coop,lo,hi
Claude-Haiku-4.5,0.01,200,0.40700000000000003,0.3672862176692824,0.4478310439560442
Claude-Haiku-4.5,0.1,200,0.37925,0.3426975683890577,0.4155460972850676
Claude-Haiku-4.5,0.25,200,0.3715,0.34294280836534363,0.40161272653000596
Claude-Haiku-4.5,0.5,200,0.42674999999999996,0.39403271291596176,0.4607720922308041
Claude-Haiku-4.5,1.0,200,0.45225000000000004,0.4200708664467714,0.48742811799850627
Claude-Haiku-4.5,2.0,200,0.4435,0.4086465432960894,0.4770305104800543
Claude-Haiku-4.5,5.0,200,0.42375,0.3906758684863524,0.45719696689818246
Claude-Haiku-4.5,10.0,200,0.43524999999999997,0.40277492668621695,0.46906012389913015
Claude-Haiku-4.5,100.0,200,0.4075,0.3795025517166094,0.4348798532196967
Claude-Haiku-4.5,1000.0,200,0.40125,0.3693571488930202,0.43416425435587885
GPT-5.4-Nano,0.01,200,0.43775,0.3999615451590433,0.4785207613588775
GPT-5.4-Nano,0.1,200,0.5405,0.500404839261286,0.5769214971450963
GPT-5.4-Nano,0.25,200,0.64375,0.6054743248045483,0.680963669950739
GPT-5.4-Nano,0.5,200,0.5982500000000001,0.5621857400813198,0.6342853362644522
GPT-5.4-Nano,1.0,200,0.57575,0.5414518317503393,0.6136553030303029
GPT-5.4-Nano,2.0,200,0.6375,0.6028940552369874,0.6724809239733629
GPT-5.4-Nano,5.0,200,0.6805,0.6492840811965818,0.710773872329201
GPT-5.4-Nano,10.0,200,0.63325,0.60228069731091,0.6664508538251368
GPT-5.4-Nano,100.0,200,0.6635,0.6374393466331469,0.6900287966537967
GPT-5.4-Nano,1000.0,200,0.653,0.6230721393034827,0.6826787214675814
Gemini-3.1-Flash-Lite-Preview,0.01,200,0.64125,0.6099366616989566,0.67281572769953
Gemini-3.1-Flash-Lite-Preview,0.1,200,0.64825,0.6177345671496406,0.6813516865079363
Gemini-3.1-Flash-Lite-Preview,0.25,200,0.62075,0.5855095526396382,0.6546029775906895
Gemini-3.1-Flash-Lite-Preview,0.5,200,0.6402500000000001,0.609920454545454,0.6715952812284325
Gemini-3.1-Flash-Lite-Preview,1.0,200,0.6355,0.6059389811257255,0.6678908913247915
Gemini-3.1-Flash-Lite-Preview,2.0,200,0.614,0.5791781069364159,0.648071049840933
Gemini-3.1-Flash-Lite-Preview,5.0,200,0.6135,0.5797907510134411,0.6472581417624518
Gemini-3.1-Flash-Lite-Preview,10.0,200,0.5982500000000001,0.563069957386363,0.6330748754419793
Gemini-3.1-Flash-Lite-Preview,100.0,200,0.58375,0.543967699115044,0.6186652298850569
Gemini-3.1-Flash-Lite-Preview,1000.0,200,0.5765,0.5398476541871646,0.6119331355467139
Gemini-3.5-Flash-Lite,0.01,200,0.79175,0.7445586739256812,0.8358774544179524
Gemini-3.5-Flash-Lite,0.1,200,0.69375,0.6402571641133035,0.7427067001062977
Gemini-3.5-Flash-Lite,0.25,200,0.872,0.8490236875800258,0.8939068075931802
Gemini-3.5-Flash-Lite,0.5,200,0.8005,0.7717810111332674,0.8268317503392131
Gemini-3.5-Flash-Lite,1.0,200,0.77375,0.7520997191011234,0.795355379513633
Gemini-3.5-Flash-Lite,2.0,200,0.70975,0.6725571406921639,0.7434617130153383
Gemini-3.5-Flash-Lite,5.0,200,0.6970000000000001,0.6624371430307451,0.731940784359453
Gemini-3.5-Flash-Lite,10.0,200,0.75375,0.7239116153685089,0.7823295454545454
Gemini-3.5-Flash-Lite,100.0,200,0.7340000000000001,0.6976711349822468,0.769211206896552
Gemini-3.5-Flash-Lite,1000.0,200,0.6815000000000001,0.6446311729208393,0.7171575375433191
Grok-4.20-Non-Reasoning,0.01,200,0.27449999999999997,0.23083508784666767,0.31504998512531907
Grok-4.20-Non-Reasoning,0.1,200,0.43975000000000003,0.39176362791658054,0.48641786343396765
Grok-4.20-Non-Reasoning,0.25,200,0.8145,0.7747990114174323,0.8502428908561498
Grok-4.20-Non-Reasoning,0.5,200,0.6305,0.5872601114709649,0.6737691326530613
Grok-4.20-Non-Reasoning,1.0,200,0.80925,0.7695034839614084,0.8489099815377286
Grok-4.20-Non-Reasoning,2.0,200,0.9105,0.8840964452214453,0.9350008767754703
Grok-4.20-Non-Reasoning,5.0,200,0.855,0.819867739164172,0.8874347527472527
Grok-4.20-Non-Reasoning,10.0,200,0.877,0.8383705583756347,0.9132847005142684
Grok-4.20-Non-Reasoning,100.0,200,0.654,0.6053110981308412,0.7006450562084825
Grok-4.20-Non-Reasoning,1000.0,200,0.8647499999999999,0.8303356735856736,0.9006528731265068
Qwen3-235B-A22B,0.01,200,0.47625,0.4326853448275861,0.5183296914686983
Qwen3-235B-A22B,0.1,200,0.49375,0.4434733808325583,0.5411031341205449
Qwen3-235B-A22B,0.25,200,0.455,0.4141784217963655,0.49559428746928746
Qwen3-235B-A22B,0.5,200,0.43174999999999997,0.39452338814738336,0.46708893821181935
Qwen3-235B-A22B,1.0,200,0.41575,0.38120421511627894,0.45
Qwen3-235B-A22B,2.0,200,0.4275,0.393954356060606,0.46300067582788884
Qwen3-235B-A22B,5.0,200,0.41924999999999996,0.3838568956453166,0.45213322734272504
Qwen3-235B-A22B,10.0,200,0.42174999999999996,0.391190965506125,0.45431328102295837
Qwen3-235B-A22B,100.0,200,0.39899999999999997,0.36536782094594594,0.43434069317382124
Qwen3-235B-A22B,1000.0,200,0.41125,0.3809222051933811,0.4430733054074639
