arm,model,lambda_lo,lambda_hi,gap,sweep_null95,clears_null
ten-scale,GPT-5.4-Nano,0.01,0.1,0.10275000000000012,0.08026250000000022,1
ten-scale,GPT-5.4-Nano,0.1,1.0,0.03524999999999989,0.08026250000000022,0
ten-scale,GPT-5.4-Nano,0.5,5.0,0.08225000000000005,0.08026250000000022,1
ten-scale,GPT-5.4-Nano,1.0,10.0,0.057499999999999996,0.08026250000000022,0
ten-scale,GPT-5.4-Nano,10.0,100.0,0.03025,0.08026250000000022,0
ten-scale,GPT-5.4-Nano,100.0,1000.0,0.010499999999999954,0.08026250000000022,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.01,0.1,0.007000000000000006,0.07652499999999968,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.1,1.0,0.012750000000000039,0.07652499999999968,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.5,5.0,0.026750000000000163,0.07652499999999968,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,1.0,10.0,0.037249999999999894,0.07652499999999968,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,10.0,100.0,0.014500000000000068,0.07652499999999968,0
ten-scale,Gemini-3.1-Flash-Lite-Preview,100.0,1000.0,0.007249999999999979,0.07652499999999968,0
ten-scale,Gemini-3.5-Flash-Lite,0.01,0.1,0.09800000000000009,0.08226250000000034,1
ten-scale,Gemini-3.5-Flash-Lite,0.1,1.0,0.08000000000000007,0.08226250000000034,0
ten-scale,Gemini-3.5-Flash-Lite,0.5,5.0,0.10350000000000026,0.08226250000000034,1
ten-scale,Gemini-3.5-Flash-Lite,1.0,10.0,0.020000000000000018,0.08226250000000034,0
ten-scale,Gemini-3.5-Flash-Lite,10.0,100.0,0.019749999999999934,0.08226250000000034,0
ten-scale,Gemini-3.5-Flash-Lite,100.0,1000.0,0.05249999999999999,0.08226250000000034,0
three-scale,Claude-3.5-Haiku,0.1,1.0,0.23249999999999993,0.05776250000000006,1
three-scale,Claude-3.5-Haiku,1.0,10.0,0.007500000000000062,0.05776250000000006,0
three-scale,GPT-4o,0.1,1.0,0.22625000000000006,0.06150000000000028,1
three-scale,GPT-4o,1.0,10.0,0.007749999999999924,0.06150000000000028,0
three-scale,Mistral-Large,0.1,1.0,0.03599999999999992,0.06526250000000045,0
three-scale,Mistral-Large,1.0,10.0,0.005249999999999866,0.06526250000000045,0
