arm,scale_nominal,source,share
ten-scale,0.01,lstm-confident,0.3616666666666667
ten-scale,0.01,lstm-below-floor,0.22666666666666666
ten-scale,0.01,rule-ambiguous,0.2125
ten-scale,0.01,rule-exact,0.19916666666666666
ten-scale,0.1,lstm-confident,0.3325
ten-scale,0.1,lstm-below-floor,0.25333333333333335
ten-scale,0.1,rule-ambiguous,0.215
ten-scale,0.1,rule-exact,0.19916666666666666
ten-scale,0.25,lstm-confident,0.34833333333333333
ten-scale,0.25,rule-ambiguous,0.245
ten-scale,0.25,lstm-below-floor,0.2375
ten-scale,0.25,rule-exact,0.16916666666666666
ten-scale,0.5,lstm-confident,0.3958333333333333
ten-scale,0.5,lstm-below-floor,0.2325
ten-scale,0.5,rule-ambiguous,0.22916666666666666
ten-scale,0.5,rule-exact,0.1425
ten-scale,1.0,lstm-confident,0.4
ten-scale,1.0,lstm-below-floor,0.25833333333333336
ten-scale,1.0,rule-exact,0.18333333333333332
ten-scale,1.0,rule-ambiguous,0.15833333333333333
ten-scale,2.0,lstm-confident,0.4008333333333333
ten-scale,2.0,lstm-below-floor,0.2575
ten-scale,2.0,rule-ambiguous,0.19583333333333333
ten-scale,2.0,rule-exact,0.14583333333333334
ten-scale,5.0,lstm-confident,0.39
ten-scale,5.0,lstm-below-floor,0.24416666666666667
ten-scale,5.0,rule-ambiguous,0.18916666666666668
ten-scale,5.0,rule-exact,0.17666666666666667
ten-scale,10.0,lstm-confident,0.4125
ten-scale,10.0,lstm-below-floor,0.23833333333333334
ten-scale,10.0,rule-ambiguous,0.18833333333333332
ten-scale,10.0,rule-exact,0.16083333333333333
ten-scale,100.0,lstm-confident,0.4266666666666667
ten-scale,100.0,lstm-below-floor,0.20833333333333334
ten-scale,100.0,rule-ambiguous,0.19833333333333333
ten-scale,100.0,rule-exact,0.16666666666666666
ten-scale,1000.0,lstm-confident,0.405
ten-scale,1000.0,lstm-below-floor,0.24083333333333334
ten-scale,1000.0,rule-ambiguous,0.18083333333333335
ten-scale,1000.0,rule-exact,0.17333333333333334
three-scale,0.1,lstm-confident,0.41
three-scale,0.1,rule-exact,0.3675
three-scale,0.1,lstm-below-floor,0.21083333333333334
three-scale,0.1,rule-ambiguous,0.011666666666666667
three-scale,1.0,lstm-confident,0.4658333333333333
three-scale,1.0,lstm-below-floor,0.2658333333333333
three-scale,1.0,rule-exact,0.21833333333333332
three-scale,1.0,rule-ambiguous,0.05
three-scale,10.0,lstm-confident,0.42833333333333334
three-scale,10.0,lstm-below-floor,0.3016666666666667
three-scale,10.0,rule-exact,0.215
three-scale,10.0,rule-ambiguous,0.055
ten-scale,all,lstm-confident,0.3873333333333333
ten-scale,all,lstm-below-floor,0.23975
ten-scale,all,rule-ambiguous,0.20125
ten-scale,all,rule-exact,0.17166666666666666
three-scale,all,lstm-confident,0.43472222222222223
three-scale,all,rule-exact,0.26694444444444443
three-scale,all,lstm-below-floor,0.2594444444444444
three-scale,all,rule-ambiguous,0.03888888888888889
