contrast,model,lam,pair,printed_lo,printed_hi,coop_lo,coop_hi,delta,p
format,gemini-3.5-flash-lite,0.1,native->dec2,0 / 0.2 / 1 / 0.6,0.00 / 0.20 / 1.00 / 0.60,0.6937,0.6347,-0.059,0.107
format,gemini-3.5-flash-lite,1,native->dec2,0 / 2 / 10 / 6,0.00 / 2.00 / 10.00 / 6.00,0.7738,0.727,-0.0467,0.028
format,gemini-3.5-flash-lite,10,native->dec2,0 / 20 / 100 / 60,0.00 / 20.00 / 100.00 / 60.00,0.7538,0.8047,0.051,0.015
format,gemini-3.5-flash-lite,0.1,dec2->dec3,0.00 / 0.20 / 1.00 / 0.60,0.000 / 0.200 / 1.000 / 0.600,0.6347,0.642,0.0073,0.8405
format,gemini-3.5-flash-lite,1,dec2->dec3,0.00 / 2.00 / 10.00 / 6.00,0.000 / 2.000 / 10.000 / 6.000,0.727,0.738,0.011,0.6845
format,gemini-3.5-flash-lite,10,dec2->dec3,0.00 / 20.00 / 100.00 / 60.00,0.000 / 20.000 / 100.000 / 60.000,0.8047,0.7462,-0.0585,0.0047
magnitude,gemini-3.5-flash-lite,0.1->1,native,0 / 0.2 / 1 / 0.6,0 / 2 / 10 / 6,0.6937,0.7738,0.08,0.0045
magnitude,gemini-3.5-flash-lite,0.1->1,dec2,0.00 / 0.20 / 1.00 / 0.60,0.00 / 2.00 / 10.00 / 6.00,0.6347,0.727,0.0923,0.0037
magnitude,gemini-3.5-flash-lite,0.1->1,dec3,0.000 / 0.200 / 1.000 / 0.600,0.000 / 2.000 / 10.000 / 6.000,0.642,0.738,0.096,0.0018
magnitude,gemini-3.5-flash-lite,1->10,native,0 / 2 / 10 / 6,0 / 20 / 100 / 60,0.7738,0.7538,-0.02,0.2985
magnitude,gemini-3.5-flash-lite,1->10,dec2,0.00 / 2.00 / 10.00 / 6.00,0.00 / 20.00 / 100.00 / 60.00,0.727,0.8047,0.0777,0.0003
magnitude,gemini-3.5-flash-lite,1->10,dec3,0.000 / 2.000 / 10.000 / 6.000,0.000 / 20.000 / 100.000 / 60.000,0.738,0.7462,0.0082,0.7612
format,gemini-3.1-flash-lite-preview,0.1,native->dec2,0 / 0.2 / 1 / 0.6,0.00 / 0.20 / 1.00 / 0.60,0.6482,0.6943,0.046,0.0285
format,gemini-3.1-flash-lite-preview,1,native->dec2,0 / 2 / 10 / 6,0.00 / 2.00 / 10.00 / 6.00,0.6355,0.7053,0.0698,0.0015
format,gemini-3.1-flash-lite-preview,10,native->dec2,0 / 20 / 100 / 60,0.00 / 20.00 / 100.00 / 60.00,0.5983,0.6635,0.0652,0.0055
format,gemini-3.1-flash-lite-preview,0.1,dec2->dec3,0.00 / 0.20 / 1.00 / 0.60,0.000 / 0.200 / 1.000 / 0.600,0.6943,0.667,-0.0273,0.1605
format,gemini-3.1-flash-lite-preview,1,dec2->dec3,0.00 / 2.00 / 10.00 / 6.00,0.000 / 2.000 / 10.000 / 6.000,0.7053,0.7128,0.0075,0.728
format,gemini-3.1-flash-lite-preview,10,dec2->dec3,0.00 / 20.00 / 100.00 / 60.00,0.000 / 20.000 / 100.000 / 60.000,0.6635,0.635,-0.0285,0.1908
magnitude,gemini-3.1-flash-lite-preview,0.1->1,native,0 / 0.2 / 1 / 0.6,0 / 2 / 10 / 6,0.6482,0.6355,-0.0128,0.579
magnitude,gemini-3.1-flash-lite-preview,0.1->1,dec2,0.00 / 0.20 / 1.00 / 0.60,0.00 / 2.00 / 10.00 / 6.00,0.6943,0.7053,0.011,0.5955
magnitude,gemini-3.1-flash-lite-preview,0.1->1,dec3,0.000 / 0.200 / 1.000 / 0.600,0.000 / 2.000 / 10.000 / 6.000,0.667,0.7128,0.0458,0.024
magnitude,gemini-3.1-flash-lite-preview,1->10,native,0 / 2 / 10 / 6,0 / 20 / 100 / 60,0.6355,0.5983,-0.0372,0.1255
magnitude,gemini-3.1-flash-lite-preview,1->10,dec2,0.00 / 2.00 / 10.00 / 6.00,0.00 / 20.00 / 100.00 / 60.00,0.7053,0.6635,-0.0418,0.0505
magnitude,gemini-3.1-flash-lite-preview,1->10,dec3,0.000 / 2.000 / 10.000 / 6.000,0.000 / 20.000 / 100.000 / 60.000,0.7128,0.635,-0.0778,0.0
