model,label,exact,lstm,total,prov_exact
Claude-3.5-Haiku,AllC,0.03916666666666667,0.33666666666666667,0.37583333333333335,0.10421286031042129
Claude-3.5-Haiku,AllD,0.02666666666666667,0.16083333333333333,0.1875,0.14222222222222222
Claude-3.5-Haiku,TFT,0.016666666666666666,0.19416666666666665,0.21083333333333334,0.07905138339920949
Claude-3.5-Haiku,WSLS,0.014166666666666666,0.165,0.17916666666666667,0.07906976744186046
Gemini-3.5-Flash-Lite,AllC,0.1525,0.21666666666666667,0.36916666666666664,0.41309255079006774
Gemini-3.5-Flash-Lite,AllD,0.045,0.06416666666666666,0.10916666666666666,0.4122137404580153
Gemini-3.5-Flash-Lite,TFT,0.010833333333333334,0.12166666666666667,0.1325,0.08176100628930817
Gemini-3.5-Flash-Lite,WSLS,0.010833333333333334,0.16166666666666665,0.1725,0.06280193236714976
GPT-4o,AllC,0.0475,0.20916666666666667,0.25666666666666665,0.18506493506493507
GPT-4o,AllD,0.14916666666666667,0.21166666666666667,0.36083333333333334,0.4133949191685912
GPT-4o,TFT,0.011666666666666667,0.1075,0.11916666666666667,0.0979020979020979
GPT-4o,WSLS,0.009166666666666667,0.19583333333333333,0.205,0.044715447154471545
Mistral-Large,AllC,0.23833333333333334,0.18916666666666668,0.4275,0.557504873294347
Mistral-Large,AllD,0.2425,0.125,0.3675,0.6598639455782312
Mistral-Large,TFT,0.005833333333333334,0.04416666666666667,0.05,0.11666666666666667
Mistral-Large,WSLS,0.0,0.14333333333333334,0.14333333333333334,0.0
