best_family,share,n
AllD->AllC,0.3913857677902622,209
SuspiciousTFT,0.18726591760299627,100
TFT->AllD,0.18726591760299627,100
TFT->AllC,0.04681647940074907,25
GRIM,0.03745318352059925,20
Alternator,0.026217228464419477,14
AllC->AllD,0.024344569288389514,13
Prober,0.018726591760299626,10
HardMajority,0.016853932584269662,9
TwoTitsForTat,0.016853932584269662,9
ContriteTFT,0.011235955056179775,6
SoftMajority,0.009363295880149813,5
AllD->TFT,0.009363295880149813,5
AllC->TFT,0.009363295880149813,5
TF2T,0.00749063670411985,4
