model,lam_from,lam_to,magnitude_ratio,notation_from,notation_to,crosses_notation,delta,lo,hi,p
gemini-3.1-flash-lite-preview,0.01,0.1,10.0,decimal,decimal,0,0.007,-0.0365,0.0515,0.7655
gemini-3.1-flash-lite-preview,0.1,0.25,2.5,decimal,decimal,0,-0.0275,-0.073,0.0195,0.2467
gemini-3.1-flash-lite-preview,0.25,0.5,2.0,decimal,integer,1,0.0196,-0.0272,0.065,0.4007
gemini-3.1-flash-lite-preview,0.5,1.0,2.0,integer,integer,0,-0.0048,-0.0477,0.0397,0.832
gemini-3.1-flash-lite-preview,1.0,2.0,2.0,integer,integer,0,-0.0215,-0.0673,0.0245,0.3638
gemini-3.1-flash-lite-preview,2.0,5.0,2.5,integer,integer,0,-0.0005,-0.0482,0.0475,0.9948
gemini-3.1-flash-lite-preview,5.0,10.0,2.0,integer,integer,0,-0.0152,-0.0643,0.0348,0.5305
gemini-3.1-flash-lite-preview,10.0,100.0,10.0,integer,integer,0,-0.0146,-0.0655,0.0373,0.5995
gemini-3.1-flash-lite-preview,100.0,1000.0,10.0,integer,integer,0,-0.0072,-0.0602,0.0438,0.7855
gemini-3.5-flash-lite,0.01,0.1,10.0,decimal,decimal,0,-0.0981,-0.1643,-0.0297,0.004
gemini-3.5-flash-lite,0.1,0.25,2.5,decimal,decimal,0,0.1783,0.1222,0.233,0.0
gemini-3.5-flash-lite,0.25,0.5,2.0,decimal,integer,1,-0.0715,-0.1085,-0.0358,0.0
gemini-3.5-flash-lite,0.5,1.0,2.0,integer,integer,0,-0.0267,-0.0617,0.01,0.1487
gemini-3.5-flash-lite,1.0,2.0,2.0,integer,integer,0,-0.0641,-0.1042,-0.0233,0.003
gemini-3.5-flash-lite,2.0,5.0,2.5,integer,integer,0,-0.0127,-0.0625,0.0373,0.6298
gemini-3.5-flash-lite,5.0,10.0,2.0,integer,integer,0,0.0568,0.0095,0.1025,0.0168
gemini-3.5-flash-lite,10.0,100.0,10.0,integer,integer,0,-0.0198,-0.0668,0.0272,0.3937
gemini-3.5-flash-lite,100.0,1000.0,10.0,integer,integer,0,-0.0525,-0.1037,0.0,0.051
gpt-5.4-nano-2026-03-17,0.01,0.1,10.0,decimal,decimal,0,0.1028,0.0485,0.1562,0.0
gpt-5.4-nano-2026-03-17,0.1,0.25,2.5,decimal,decimal,0,0.1033,0.0503,0.1573,0.0003
gpt-5.4-nano-2026-03-17,0.25,0.5,2.0,decimal,integer,1,-0.0456,-0.098,0.006,0.0767
gpt-5.4-nano-2026-03-17,0.5,1.0,2.0,integer,integer,0,-0.0225,-0.0718,0.0285,0.3743
gpt-5.4-nano-2026-03-17,1.0,2.0,2.0,integer,integer,0,0.0618,0.0137,0.1095,0.0123
gpt-5.4-nano-2026-03-17,2.0,5.0,2.5,integer,integer,0,0.043,-0.0028,0.0897,0.0675
gpt-5.4-nano-2026-03-17,5.0,10.0,2.0,integer,integer,0,-0.0473,-0.0923,-0.0028,0.0335
gpt-5.4-nano-2026-03-17,10.0,100.0,10.0,integer,integer,0,0.0303,-0.013,0.0722,0.1625
gpt-5.4-nano-2026-03-17,100.0,1000.0,10.0,integer,integer,0,-0.0105,-0.051,0.0292,0.5913
