arm,model,lambda,coop_r1,lo,hi
ten-scale,pooled,0.01,0.6658333333333334,0.6366666666666667,0.6958333333333333
ten-scale,pooled,0.1,0.605,0.5758125,0.6375
ten-scale,pooled,0.25,0.7683333333333333,0.7416666666666667,0.7941666666666667
ten-scale,pooled,0.5,0.7541666666666667,0.7241666666666666,0.78
ten-scale,pooled,1.0,0.675,0.6441666666666667,0.7041666666666667
ten-scale,pooled,2.0,0.6975,0.6683333333333333,0.725
ten-scale,pooled,5.0,0.7225,0.6916666666666667,0.7491666666666666
ten-scale,pooled,10.0,0.67,0.6408333333333334,0.6975208333333333
ten-scale,pooled,100.0,0.6716666666666666,0.6416666666666667,0.6991666666666667
ten-scale,pooled,1000.0,0.7041666666666667,0.6758333333333333,0.7308333333333333
three-scale,pooled,0.1,0.445,0.4166666666666667,0.4725
three-scale,pooled,1.0,0.6083333333333333,0.5816666666666667,0.6358333333333334
three-scale,pooled,10.0,0.6266666666666667,0.5975,0.6566666666666666
ten-scale,GPT-5.4-Nano,0.01,0.3475,0.2975,0.3925
ten-scale,GPT-5.4-Nano,0.1,0.4525,0.4,0.505
ten-scale,GPT-5.4-Nano,0.25,0.605,0.55,0.655
ten-scale,GPT-5.4-Nano,0.5,0.505,0.45,0.5575
ten-scale,GPT-5.4-Nano,1.0,0.41,0.3575,0.46
ten-scale,GPT-5.4-Nano,2.0,0.525,0.4725,0.5725
ten-scale,GPT-5.4-Nano,5.0,0.625,0.5725,0.675
ten-scale,GPT-5.4-Nano,10.0,0.5425,0.49,0.59
ten-scale,GPT-5.4-Nano,100.0,0.5725,0.52,0.6225
ten-scale,GPT-5.4-Nano,1000.0,0.6525,0.605,0.7025
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.01,0.8925,0.8625,0.92
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.1,0.7875,0.7425,0.83
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.25,0.765,0.7174375000000001,0.805
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.5,0.815,0.7724375,0.8525
ten-scale,Gemini-3.1-Flash-Lite-Preview,1.0,0.7375,0.69,0.7825
ten-scale,Gemini-3.1-Flash-Lite-Preview,2.0,0.78,0.7325,0.8225
ten-scale,Gemini-3.1-Flash-Lite-Preview,5.0,0.7175,0.6675,0.765
ten-scale,Gemini-3.1-Flash-Lite-Preview,10.0,0.64,0.5875,0.69
ten-scale,Gemini-3.1-Flash-Lite-Preview,100.0,0.6625,0.61,0.71
ten-scale,Gemini-3.1-Flash-Lite-Preview,1000.0,0.6875,0.6375,0.735
ten-scale,Gemini-3.5-Flash-Lite,0.01,0.7575,0.71,0.8
ten-scale,Gemini-3.5-Flash-Lite,0.1,0.575,0.5275,0.625
ten-scale,Gemini-3.5-Flash-Lite,0.25,0.935,0.91,0.96
ten-scale,Gemini-3.5-Flash-Lite,0.5,0.9425,0.9175,0.965
ten-scale,Gemini-3.5-Flash-Lite,1.0,0.8775,0.845,0.9075
ten-scale,Gemini-3.5-Flash-Lite,2.0,0.7875,0.74,0.835
ten-scale,Gemini-3.5-Flash-Lite,5.0,0.825,0.7825,0.8675
ten-scale,Gemini-3.5-Flash-Lite,10.0,0.8275,0.79,0.865
ten-scale,Gemini-3.5-Flash-Lite,100.0,0.78,0.7375,0.82
ten-scale,Gemini-3.5-Flash-Lite,1000.0,0.7725,0.7299375,0.815
three-scale,Claude-3.5-Haiku,0.1,0.4,0.3525,0.4475
three-scale,Claude-3.5-Haiku,1.0,0.51,0.4625,0.5625
three-scale,Claude-3.5-Haiku,10.0,0.5125,0.4625,0.565
three-scale,GPT-4o,0.1,0.385,0.335,0.43256249999999963
three-scale,GPT-4o,1.0,0.6925,0.65,0.735
three-scale,GPT-4o,10.0,0.755,0.715,0.7975
three-scale,Mistral-Large,0.1,0.55,0.5,0.6
three-scale,Mistral-Large,1.0,0.6225,0.575,0.6725
three-scale,Mistral-Large,10.0,0.6125,0.565,0.6625
