family,from,to,n,share
frontier,AllD,TFT,24,0.009603841536614645
frontier,AllD,WSLS,14,0.0056022408963585435
frontier,AllD,AllC,162,0.06482593037214886
frontier,TFT,AllC,95,0.03801520608243297
frontier,GRIM,AllC,5,0.0020008003201280513
frontier,WSLS,AllC,25,0.010004001600640256
frontier,WSLS,TFT,2,0.0008003201280512205
frontier,AllC,AllD,109,0.04361744697879152
frontier,TFT,WSLS,3,0.0012004801920768306
frontier,GRIM,WSLS,5,0.0020008003201280513
frontier,TFT,AllD,3,0.0012004801920768306
frontier,AllC,TFT,15,0.006002400960384154
frontier,AllC,WSLS,13,0.005202080832332933
frontier,WSLS,AllD,16,0.006402561024409764
small,WSLS,AllC,30,0.006305170239596469
small,AllD,AllC,67,0.014081546868432115
small,TFT,AllC,97,0.020386717108028585
small,AllD,TFT,5,0.0010508617065994115
small,AllD,WSLS,4,0.0008406893652795292
small,AllC,AllD,12,0.0025220680958385876
small,WSLS,AllD,14,0.0029424127784783522
small,WSLS,TFT,3,0.0006305170239596469
small,AllC,TFT,4,0.0008406893652795292
small,GRIM,AllC,1,0.0002101723413198823
small,AllC,WSLS,1,0.0002101723413198823
small,TFT,AllD,1,0.0002101723413198823
