scope,factor,eta2,p
all runs,model,0.025013422515928942,2.489124982111358e-62
all runs,language,0.02664179472285773,2.0325642321366868e-67
all runs,personality,0.0058209352903282295,5.602125425728098e-17
all runs,opp_personality,0.0008103105169884614,0.0017570854967601428
all runs,scale_f,0.04942563659138104,2.0929300027799466e-123
all runs,residual,0.8922879003625156,
frontier,model,0.04177648070270615,4.952076553277965e-38
frontier,language,0.0018079370752236781,0.10697148788492378
frontier,personality,0.05342974470235526,2.1707421407052567e-49
frontier,opp_personality,0.002224267232109991,0.0022228505435375077
frontier,scale_f,0.04873267303167008,4.496872851942601e-44
frontier,residual,0.8520288972559349,
open-weight,model,0.01618098625180094,3.2741563389357795e-29
open-weight,language,0.05512666912330018,2.2053904499095395e-93
open-weight,personality,3.3947439358800144e-06,0.8676468526978501
open-weight,opp_personality,0.0003837870423578924,0.07644090294007402
open-weight,scale_f,0.049966832877308354,9.408019011686818e-84
open-weight,residual,0.8783383299612967,
