corpus,threshold,coverage,accuracy_kept,accuracy_all,error_kept
test (0-5% noise),0.0,1.0,0.9834682500694163,0.9834682500694163,0.016531749930583706
test (0-5% noise),0.5,0.993934086588778,0.9875577522295047,0.9834682500694163,0.012442247770495296
test (0-5% noise),0.6,0.9832119438689421,0.9926791649468859,0.9834682500694163,0.007320835053114094
test (0-5% noise),0.7,0.9791537623614345,0.9942412145801977,0.9834682500694163,0.005758785419802348
test (0-5% noise),0.8,0.9771887481577992,0.9951039321544884,0.9834682500694163,0.004896067845511554
test (0-5% noise),0.85,0.9758004229052308,0.9953377402267654,0.9834682500694163,0.004662259773234645
test (0-5% noise),0.9,0.9732160020504496,0.9956765060902009,0.9834682500694163,0.0043234939097991365
test (0-5% noise),0.95,0.9604006920267413,0.996397197820527,0.9834682500694163,0.0036028021794729526
test (0-5% noise),0.99,0.897669749460689,0.9992148091748358,0.9834682500694163,0.0007851908251641504
unseen 10% noise,0.0,1.0,0.9365823412698413,0.9365823412698413,0.0634176587301587
unseen 10% noise,0.5,0.9884362599206349,0.9433491202208073,0.9365823412698413,0.0566508797791927
unseen 10% noise,0.6,0.9585007440476191,0.9576678504660806,0.9365823412698413,0.042332149533919394
unseen 10% noise,0.7,0.940203373015873,0.9662217415389486,0.9365823412698413,0.033778258461051425
unseen 10% noise,0.8,0.9296999007936508,0.9699883955129317,0.9365823412698413,0.0300116044870683
unseen 10% noise,0.85,0.9226128472222223,0.9717000786295606,0.9365823412698413,0.02829992137043935
unseen 10% noise,0.9,0.9094432043650794,0.973867393898074,0.9365823412698413,0.026132606101926026
unseen 10% noise,0.95,0.8645213293650794,0.979774797389371,0.9365823412698413,0.02022520261062899
unseen 10% noise,0.99,0.7473958333333334,0.9927575908412145,0.9365823412698413,0.00724240915878549
