best_family,share
AllD->AllC,0.260129659643436
TFT->AllD,0.17017828200972449
SuspiciousTFT,0.11912479740680713
AllC->AllD,0.07860615883306321
AllC,0.051053484602917344
TFT->AllC,0.03970826580226904
GRIM,0.03484602917341977
Prober,0.03403565640194489
Alternator,0.03079416531604538
AntiAlternator,0.029983792544570502
WSLS,0.02674230145867099
HardMajority,0.02188006482982172
AllD->TFT,0.018638573743922204
AllD,0.017017828200972446
ContriteTFT,0.014586709886547812
TwoTitsForTat,0.012965964343598054
TF2T,0.012965964343598054
SoftMajority,0.01053484602917342
Gradual,0.006482982171799027
AllC->TFT,0.006482982171799027
TFT,0.0032414910858995136
