model,scale,effect,lo,hi,coop_persona,selfish_persona
Claude-3.5-Haiku,0.1,-0.34700000000000014,-0.3931496156627605,-0.3013241837143488,0.294,0.6410000000000001
Claude-3.5-Haiku,1.0,-0.06500000000000006,-0.11286650137826082,-0.015385582163875512,0.6675,0.7325
Claude-3.5-Haiku,10.0,-0.06300000000000017,-0.10992484154430493,-0.019482261510168367,0.6759999999999999,0.7390000000000001
Claude-3.5-Haiku,,-0.15833333333333344,-0.1889121011447255,-0.12679113246592882,0.5458333333333333,0.7041666666666667
Gemini-3.5-Flash-Lite,0.1,-0.5775,-0.6428996065246408,-0.5124640598387314,0.405,0.9825
Gemini-3.5-Flash-Lite,1.0,0.24150000000000005,0.20066289645268895,0.2789235294117648,0.8945000000000001,0.653
Gemini-3.5-Flash-Lite,10.0,0.2025,0.15076364470594986,0.25109083003634836,0.855,0.6525
Gemini-3.5-Flash-Lite,,-0.044499999999999984,-0.08812402645023805,-0.0034814731473147434,0.7181666666666667,0.7626666666666667
GPT-4o,0.1,-0.4315,-0.4733448141920934,-0.39040454417589066,0.0785,0.51
GPT-4o,1.0,0.20021000525013127,0.13072901092210187,0.27005550556363805,0.6211055276381909,0.42089552238805966
GPT-4o,10.0,0.2874999999999999,0.21479642061444662,0.3601838085575558,0.6719999999999999,0.3845
GPT-4o,,0.018492273589648833,-0.025891521023609382,0.06522201341372322,0.45692821368948244,0.4384359400998336
Mistral-Large,0.1,-0.593,-0.6659797025538841,-0.5160394815981307,0.20549999999999996,0.7985
Mistral-Large,1.0,-0.28500000000000014,-0.3709706201526889,-0.19861839890357577,0.39549999999999996,0.6805000000000001
Mistral-Large,10.0,-0.18250000000000022,-0.2746892857333104,-0.09217925976077633,0.4414999999999999,0.6240000000000001
Mistral-Large,,-0.3535000000000001,-0.4063133892921106,-0.30502825453502674,0.3475,0.7010000000000001
pooled,0.1,-0.48724999999999996,-0.5192455092595857,-0.45502031194124903,0.24575,0.733
pooled,1.0,0.023207692512019484,-0.01313220034302857,0.0597489280570046,0.6446808510638298,0.6214731585518103
pooled,10.0,0.061124999999999985,0.022620346758669023,0.0991857680236619,0.6611250000000001,0.6000000000000001
pooled,,-0.13434641221291865,-0.15834258263984313,-0.11132638937299856,0.5171321383909963,0.6514785506039149
