model,state,violation_rate
Claude-3.5-Haiku,R,0.17502100252030245
Claude-3.5-Haiku,S,0.2271991365353481
Claude-3.5-Haiku,T,0.23861852433281006
Claude-3.5-Haiku,P,0.24517475221700574
GPT-4o,R,0.19830713422007254
GPT-4o,S,0.23968175037294878
GPT-4o,T,0.11686991869918699
GPT-4o,P,0.19744058500914077
Mistral-Large,R,0.21778411792677127
Mistral-Large,S,0.08098591549295775
Mistral-Large,T,0.1322314049586777
Mistral-Large,P,0.235370611183355
Gemma-3-12B,R,0.04373589164785553
Gemma-3-12B,S,0.12471461187214612
Gemma-3-12B,T,0.10792778649921507
Gemma-3-12B,P,0.058970856102003644
Llama-3.1-8B,R,0.3362248189834397
Llama-3.1-8B,S,0.3191045980102178
Llama-3.1-8B,T,0.3289103337354242
Llama-3.1-8B,P,0.31621169048638964
Qwen3-8B,R,0.1383957922419461
Qwen3-8B,S,0.20629476445072129
Qwen3-8B,T,0.21071567483469467
Qwen3-8B,P,0.25006681514476614
