arm,scope,model_spec,k,bic,aic,r2,best_by_bic,best_bic,delta_bic
ten-scale,pooled,controls only,8,5595.111462079048,5528.577504720117,0.18471165210529705,quadratic in log10 lambda,5586.703829772469,8.407632306578307
ten-scale,pooled,linear in log10 lambda,9,5604.4595500626865,5530.532930774985,0.18471468048451356,quadratic in log10 lambda,5586.703829772469,17.75572029021714
ten-scale,pooled,quadratic in log10 lambda,10,5586.703829772469,5505.384548555998,0.18655706874380684,quadratic in log10 lambda,5586.703829772469,0.0
ten-scale,pooled,cubic in log10 lambda,11,5592.573960371458,5503.862017226216,0.18679581521828992,quadratic in log10 lambda,5586.703829772469,5.870130598988908
ten-scale,pooled,fractional flag,9,5603.744390018118,5529.817770730417,0.18476326732714565,quadratic in log10 lambda,5586.703829772469,17.04056024564852
ten-scale,pooled,fractional + glyph count,10,5605.590095586577,5524.270814370106,0.1852758191387286,quadratic in log10 lambda,5586.703829772469,18.8862658141079
ten-scale,pooled,notation regime (3 levels),10,5611.024008546091,5529.704727329619,0.18490680723886077,quadratic in log10 lambda,5586.703829772469,24.320178773621592
ten-scale,pooled,saturated in lambda,17,5601.146133131736,5468.078218413873,0.19002754203696015,quadratic in log10 lambda,5586.703829772469,14.442303359266589
ten-scale,GPT-5.4-Nano,controls only,6,746.3749134277048,702.3165659469905,0.16097869856104674,quadratic in log10 lambda,525.4758618147987,220.89905161290608
ten-scale,GPT-5.4-Nano,linear in log10 lambda,7,592.8201058374727,542.4677087166565,0.19424970975044964,quadratic in log10 lambda,525.4758618147987,67.34424402267405
ten-scale,GPT-5.4-Nano,quadratic in log10 lambda,8,525.4758618147987,468.82941505388044,0.20934295090217458,quadratic in log10 lambda,525.4758618147987,0.0
ten-scale,GPT-5.4-Nano,cubic in log10 lambda,9,530.6500001808411,467.7095037798208,0.2099594054208449,quadratic in log10 lambda,525.4758618147987,5.174138366042371
ten-scale,GPT-5.4-Nano,fractional flag,7,646.7970704401507,596.4446733193345,0.18330302855910896,quadratic in log10 lambda,525.4758618147987,121.32120862535203
ten-scale,GPT-5.4-Nano,fractional + glyph count,8,650.2007609881637,593.5543142272454,0.18430090380372,quadratic in log10 lambda,525.4758618147987,124.72489917336497
