arm,scale_nominal,agent1,agent2,gap
ten-scale,0.01,0.6365,0.6106666666666666,0.025833333333333375
ten-scale,0.1,0.5943333333333334,0.6606666666666666,-0.06633333333333324
ten-scale,0.25,0.7161666666666666,0.7081666666666666,0.008000000000000007
ten-scale,0.5,0.6719999999999999,0.6873333333333332,-0.01533333333333331
ten-scale,1.0,0.6333333333333333,0.69,-0.05666666666666664
ten-scale,2.0,0.648,0.6595,-0.011499999999999955
ten-scale,5.0,0.6735,0.6538333333333334,0.01966666666666661
ten-scale,10.0,0.6506666666666666,0.6728333333333333,-0.022166666666666668
ten-scale,100.0,0.637,0.6838333333333334,-0.04683333333333339
ten-scale,1000.0,0.6403333333333333,0.6336666666666666,0.00666666666666671
three-scale,0.1,0.42016666666666663,0.42233333333333334,-0.0021666666666667056
three-scale,1.0,0.5393333333333333,0.633,-0.09366666666666668
three-scale,10.0,0.5411666666666667,0.6378333333333334,-0.09666666666666668
