arm,model,lambda,coop,lo,hi,n
ten-scale,GPT-5.4-Nano,0.01,0.43775,0.3990000000000001,0.47600000000000003,400
ten-scale,GPT-5.4-Nano,0.1,0.5405000000000001,0.5025,0.57775,400
ten-scale,GPT-5.4-Nano,0.25,0.64375,0.6045,0.6805125,400
ten-scale,GPT-5.4-Nano,0.5,0.5982500000000001,0.5617500000000001,0.63275625,400
ten-scale,GPT-5.4-Nano,1.0,0.57575,0.5407437500000001,0.6085,400
ten-scale,GPT-5.4-Nano,2.0,0.6375,0.60199375,0.67125,400
ten-scale,GPT-5.4-Nano,5.0,0.6805000000000001,0.6495000000000001,0.7122499999999999,400
ten-scale,GPT-5.4-Nano,10.0,0.63325,0.60098125,0.6642500000000001,400
ten-scale,GPT-5.4-Nano,100.0,0.6635,0.6357437499999999,0.6910062499999999,400
ten-scale,GPT-5.4-Nano,1000.0,0.653,0.6237375000000001,0.6825,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.01,0.64125,0.60999375,0.67375625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.1,0.64825,0.616,0.67925625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.25,0.6207499999999999,0.5857375,0.65575625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,0.5,0.6402500000000001,0.61024375,0.6705062500000001,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,1.0,0.6355,0.602,0.6675,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,2.0,0.614,0.58075,0.6482687499999998,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,5.0,0.6134999999999999,0.5795,0.64800625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,10.0,0.5982500000000001,0.5622437499999999,0.63300625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,100.0,0.58375,0.54599375,0.6202625,400
ten-scale,Gemini-3.1-Flash-Lite-Preview,1000.0,0.5765,0.54025,0.61425,400
ten-scale,Gemini-3.5-Flash-Lite,0.01,0.7917500000000001,0.7437375,0.83600625,400
ten-scale,Gemini-3.5-Flash-Lite,0.1,0.69375,0.6419999999999999,0.745,400
ten-scale,Gemini-3.5-Flash-Lite,0.25,0.872,0.84699375,0.8942500000000001,400
ten-scale,Gemini-3.5-Flash-Lite,0.5,0.8005000000000001,0.7705,0.8284999999999999,400
ten-scale,Gemini-3.5-Flash-Lite,1.0,0.77375,0.75125,0.7965062500000001,400
ten-scale,Gemini-3.5-Flash-Lite,2.0,0.70975,0.67425,0.7432500000000001,400
ten-scale,Gemini-3.5-Flash-Lite,5.0,0.6969999999999998,0.6607500000000002,0.7315,400
ten-scale,Gemini-3.5-Flash-Lite,10.0,0.75375,0.722,0.78375,400
ten-scale,Gemini-3.5-Flash-Lite,100.0,0.7340000000000001,0.6972499999999999,0.76875,400
ten-scale,Gemini-3.5-Flash-Lite,1000.0,0.6815000000000001,0.644,0.7195125,400
three-scale,Claude-3.5-Haiku,0.1,0.4675,0.4335,0.5035,400
three-scale,Claude-3.5-Haiku,1.0,0.7,0.6709999999999999,0.72750625,400
three-scale,Claude-3.5-Haiku,10.0,0.7075,0.67925,0.7355000000000002,400
three-scale,GPT-4o,0.1,0.29425,0.26624375,0.3245,400
three-scale,GPT-4o,1.0,0.5205000000000001,0.48774375,0.55375625,400
three-scale,GPT-4o,10.0,0.52825,0.48999375,0.56350625,400
three-scale,Mistral-Large,0.1,0.502,0.46349375,0.5435125,400
three-scale,Mistral-Large,1.0,0.5379999999999999,0.49974375000000004,0.57675,400
three-scale,Mistral-Large,10.0,0.5327500000000001,0.49699999999999994,0.5675125,400
ten-scale,pooled,0.01,0.6235833333333333,0.59883125,0.64891875,1200
ten-scale,pooled,0.1,0.6275,0.6034124999999999,0.6520833333333333,1200
ten-scale,pooled,0.25,0.7121666666666667,0.6906625000000001,0.7325,1200
ten-scale,pooled,0.5,0.6796666666666666,0.6589999999999999,0.6985833333333333,1200
ten-scale,pooled,1.0,0.6616666666666666,0.64308125,0.68000625,1200
ten-scale,pooled,2.0,0.65375,0.6332479166666668,0.67225,1200
ten-scale,pooled,5.0,0.6636666666666666,0.6434145833333333,0.6827541666666667,1200
ten-scale,pooled,10.0,0.66175,0.6409145833333334,0.6797520833333334,1200
ten-scale,pooled,100.0,0.6604166666666667,0.6392479166666666,0.6805854166666666,1200
ten-scale,pooled,1000.0,0.637,0.6164958333333332,0.6570041666666667,1200
three-scale,pooled,0.1,0.42125,0.40008333333333335,0.44375,1200
three-scale,pooled,1.0,0.5861666666666666,0.5649124999999999,0.6056687499999999,1200
three-scale,pooled,10.0,0.5895,0.5699166666666667,0.6103333333333333,1200
