bucket,motif,n,freq,freq_null,lift
ambiguous,CCCC,2799,0.9996428571428572,0.9992857142857143,1.0003573981415297
ambiguous,CCCD,1,0.00035714285714285714,0.00035714285714285714,1.0
confident,DDDD,2412,0.17743121965573047,0.12093570692952774,1.4671532846715327
confident,CCCC,3464,0.2548183021921436,0.19457113432396644,1.309640831758034
confident,CDDD,776,0.05708400765043402,0.049727821097543035,1.1479289940828403
confident,DCCC,1020,0.07503310283948801,0.0697366485214065,1.0759493670886078
confident,CDCD,494,0.036339561571281445,0.034132705605414156,1.064655172413793
confident,CCDD,439,0.032293658967191406,0.034353391202000885,0.9400428265524624
confident,DCDC,409,0.030086803001324113,0.03207297337060468,0.9380733944954129
confident,DDCC,408,0.030013241135795204,0.03530969545387671,0.8500000000000001
confident,CDCC,800,0.05884949242312785,0.06981021038693541,0.8429926238145417
confident,DCDD,549,0.040385464175371484,0.05215536265999706,0.774330042313117
confident,CCCD,682,0.050169192290716494,0.0675297925555392,0.7429193899782136
confident,DDDC,517,0.03803148447844637,0.05127262027365014,0.7417503586800573
confident,DCCD,315,0.023171987641606592,0.03553038105046344,0.6521739130434783
confident,DDCD,438,0.0322200971016625,0.050389877887303224,0.6394160583941606
confident,CDDC,302,0.022215683389730765,0.034794762395174345,0.638477801268499
confident,CCDC,569,0.041856701485949686,0.06767691628659703,0.6184782608695653
exact,CDCD,22,0.0025676937441643324,0.0011671335200746965,2.2
exact,CDDD,34,0.003968253968253968,0.003034547152194211,1.3076923076923075
exact,CCDD,13,0.0015172735760971055,0.0011671335200746965,1.3
exact,DCDC,14,0.0016339869281045752,0.0012838468720821662,1.2727272727272727
exact,CDDC,11,0.0012838468720821662,0.0010504201680672268,1.2222222222222223
exact,DCCC,49,0.005718954248366013,0.005252100840336135,1.0888888888888888
exact,DDDD,4067,0.47467320261437906,0.4668534080298786,1.01675
exact,CCCC,4252,0.496265172735761,0.49253034547152197,1.0075829383886257
exact,CDCC,45,0.005252100840336135,0.005252100840336135,1.0
exact,DDCC,6,0.0007002801120448179,0.0009337068160597573,0.75
exact,DCDD,12,0.0014005602240896359,0.0031512605042016808,0.4444444444444444
exact,CCCD,19,0.0022175536881419234,0.005485527544351073,0.4042553191489362
exact,CCDC,17,0.001984126984126984,0.0050186741363211955,0.39534883720930225
exact,DCCD,1,0.00011671335200746966,0.00046685340802987864,0.25
exact,DDCD,5,0.0005835667600373483,0.0036181139122315594,0.16129032258064516
exact,DDDC,1,0.00011671335200746966,0.003734827264239029,0.03125
unclassified,DDDD,1425,0.16496874276452883,0.10395924982634869,1.586859688195991
unclassified,CCCC,2382,0.2757582773790229,0.1885853206760824,1.4622467771639043
unclassified,DDCC,352,0.040750173651308175,0.03253067839777726,1.2526690391459074
unclassified,CDDD,453,0.05244269506830285,0.04746469090067145,1.104878048780488
unclassified,DCCC,684,0.07918499652697383,0.07339661958786756,1.0788643533123028
unclassified,CDCD,341,0.03947673072470479,0.03669830979393378,1.0757097791798107
unclassified,DCDC,291,0.03368835378559852,0.03646677471636953,0.923809523809524
unclassified,DDDC,353,0.0408659411900903,0.044802037508682564,0.9121447028423774
unclassified,CCDD,263,0.030446862699699005,0.03646677471636953,0.8349206349206351
unclassified,DCDD,326,0.03774021764297291,0.049085436443621205,0.768867924528302
unclassified,CDDC,209,0.02419541560546423,0.03600370456124103,0.6720257234726688
unclassified,CDCC,423,0.048969668904839087,0.07686964575133133,0.6370481927710844
unclassified,DCCD,209,0.02419541560546423,0.03878212549201204,0.6238805970149254
unclassified,DDCD,236,0.027321139152581615,0.049895809215096086,0.5475638051044084
unclassified,CCCD,344,0.03982403334105117,0.07328085204908544,0.5434439178515008
unclassified,CCDC,347,0.040171335957397546,0.07571197036351007,0.5305810397553516
