model,round,mean,lo,hi
Claude-3.5-Haiku,1,0.5258333333333334,0.49833333333333335,0.5550208333333334
Claude-3.5-Haiku,2,0.45916666666666667,0.42916666666666664,0.4875208333333333
Claude-3.5-Haiku,3,0.44416666666666665,0.415,0.4725208333333333
Claude-3.5-Haiku,4,0.4008333333333333,0.36833333333333335,0.43168749999999995
Claude-3.5-Haiku,5,0.385,0.3541666666666667,0.41585416666666664
Claude-3.5-Haiku,6,0.35,0.3241458333333333,0.37666666666666665
Claude-3.5-Haiku,7,0.32416666666666666,0.2941666666666667,0.3525
Claude-3.5-Haiku,8,0.30416666666666664,0.27497916666666666,0.33166666666666667
Claude-3.5-Haiku,9,0.29583333333333334,0.26666666666666666,0.325
Claude-3.5-Haiku,10,0.2608333333333333,0.23166666666666666,0.28837499999999994
Gemini-3.5-Flash-Lite,1,0.24,0.21416666666666667,0.26416666666666666
Gemini-3.5-Flash-Lite,2,0.24666666666666667,0.21833333333333332,0.2733541666666666
Gemini-3.5-Flash-Lite,3,0.20083333333333334,0.17416666666666666,0.22583333333333333
Gemini-3.5-Flash-Lite,4,0.235,0.20914583333333334,0.2625
Gemini-3.5-Flash-Lite,5,0.22666666666666666,0.19914583333333333,0.25335416666666666
Gemini-3.5-Flash-Lite,6,0.275,0.2483125,0.3025208333333333
Gemini-3.5-Flash-Lite,7,0.2808333333333333,0.25333333333333335,0.30916666666666665
Gemini-3.5-Flash-Lite,8,0.2708333333333333,0.24333333333333335,0.2991666666666667
Gemini-3.5-Flash-Lite,9,0.3016666666666667,0.27331249999999996,0.3325208333333333
Gemini-3.5-Flash-Lite,10,0.31833333333333336,0.29,0.35
GPT-4o,1,0.38916666666666666,0.35997916666666663,0.4175208333333333
GPT-4o,2,0.5333333333333333,0.5008333333333334,0.5658333333333333
GPT-4o,3,0.5375,0.5083333333333333,0.5658333333333333
GPT-4o,4,0.5675,0.5383125,0.5950208333333333
GPT-4o,5,0.5683333333333334,0.5416666666666666,0.5958333333333333
GPT-4o,6,0.5933333333333334,0.565,0.6225
GPT-4o,7,0.58,0.5508124999999999,0.6066875
GPT-4o,8,0.5691666666666667,0.5374791666666666,0.5966666666666667
GPT-4o,9,0.5925,0.5616666666666666,0.62
GPT-4o,10,0.5925,0.565,0.6166666666666667
Mistral-Large,1,0.405,0.37666666666666665,0.43666666666666665
Mistral-Large,2,0.6666666666666666,0.6441458333333333,0.6916666666666667
Mistral-Large,3,0.415,0.38581249999999995,0.44333333333333336
Mistral-Large,4,0.46416666666666667,0.4375,0.4925
Mistral-Large,5,0.49833333333333335,0.4724791666666666,0.525
Mistral-Large,6,0.47583333333333333,0.4516458333333333,0.5025208333333333
Mistral-Large,7,0.4608333333333333,0.4366458333333333,0.4866666666666667
Mistral-Large,8,0.44166666666666665,0.4166666666666667,0.4691666666666667
Mistral-Large,9,0.4483333333333333,0.4225,0.47333333333333333
Mistral-Large,10,0.4816666666666667,0.4558333333333333,0.5066666666666667
