model,lam,printed_cells,notation,coop,lo,hi,n_dyads,source
gemini-3.1-flash-lite-preview,0.01,0 / 0.02 / 0.06 / 0.1,decimal,0.6412,0.6095,0.673,200,E1/E3 new
gemini-3.1-flash-lite-preview,0.1,0 / 0.2 / 0.6 / 1,decimal,0.6482,0.6172,0.6787,200,existing
gemini-3.1-flash-lite-preview,0.25,0 / 0.5 / 1.5 / 2.5,decimal,0.6207,0.586,0.656,200,E1/E3 new
gemini-3.1-flash-lite-preview,0.5,0 / 1 / 3 / 5,integer,0.6403,0.61,0.671,200,E1/E3 new
gemini-3.1-flash-lite-preview,1.0,0 / 2 / 6 / 10,integer,0.6355,0.6035,0.6678,200,existing
gemini-3.1-flash-lite-preview,2.0,0 / 4 / 12 / 20,integer,0.614,0.581,0.6485,200,E1/E3 new
gemini-3.1-flash-lite-preview,5.0,0 / 10 / 30 / 50,integer,0.6135,0.5797,0.6483,200,E1/E3 new
gemini-3.1-flash-lite-preview,10.0,0 / 20 / 60 / 100,integer,0.5983,0.5627,0.6335,200,existing
gemini-3.1-flash-lite-preview,100.0,0 / 200 / 600 / 1000,integer,0.5837,0.5477,0.621,200,E1/E3 new
gemini-3.1-flash-lite-preview,1000.0,0 / 2000 / 6000 / 10000,integer,0.5765,0.5385,0.6135,200,E1/E3 new
gemini-3.5-flash-lite,0.01,0 / 0.02 / 0.06 / 0.1,decimal,0.7918,0.746,0.8357,200,E1/E3 new
gemini-3.5-flash-lite,0.1,0 / 0.2 / 0.6 / 1,decimal,0.6937,0.6442,0.745,200,existing
gemini-3.5-flash-lite,0.25,0 / 0.5 / 1.5 / 2.5,decimal,0.872,0.8495,0.8932,200,E1/E3 new
gemini-3.5-flash-lite,0.5,0 / 1 / 3 / 5,integer,0.8005,0.7712,0.828,200,E1/E3 new
gemini-3.5-flash-lite,1.0,0 / 2 / 6 / 10,integer,0.7738,0.751,0.7963,200,existing
gemini-3.5-flash-lite,2.0,0 / 4 / 12 / 20,integer,0.7097,0.6755,0.745,200,E1/E3 new
gemini-3.5-flash-lite,5.0,0 / 10 / 30 / 50,integer,0.697,0.661,0.7322,200,E1/E3 new
gemini-3.5-flash-lite,10.0,0 / 20 / 60 / 100,integer,0.7538,0.7238,0.7832,200,existing
gemini-3.5-flash-lite,100.0,0 / 200 / 600 / 1000,integer,0.734,0.6985,0.7688,200,E1/E3 new
gemini-3.5-flash-lite,1000.0,0 / 2000 / 6000 / 10000,integer,0.6815,0.6435,0.7183,200,E1/E3 new
gpt-5.4-nano-2026-03-17,0.01,0 / 0.02 / 0.06 / 0.1,decimal,0.4377,0.3985,0.4762,200,E1/E3 new
gpt-5.4-nano-2026-03-17,0.1,0 / 0.2 / 0.6 / 1,decimal,0.5405,0.503,0.5775,200,existing
gpt-5.4-nano-2026-03-17,0.25,0 / 0.5 / 1.5 / 2.5,decimal,0.6438,0.6053,0.6805,200,E1/E3 new
gpt-5.4-nano-2026-03-17,0.5,0 / 1 / 3 / 5,integer,0.5982,0.5625,0.633,200,E1/E3 new
gpt-5.4-nano-2026-03-17,1.0,0 / 2 / 6 / 10,integer,0.5757,0.5412,0.6112,200,existing
gpt-5.4-nano-2026-03-17,2.0,0 / 4 / 12 / 20,integer,0.6375,0.6033,0.6707,200,E1/E3 new
gpt-5.4-nano-2026-03-17,5.0,0 / 10 / 30 / 50,integer,0.6805,0.6497,0.7115,200,E1/E3 new
gpt-5.4-nano-2026-03-17,10.0,0 / 20 / 60 / 100,integer,0.6332,0.6012,0.6653,200,existing
gpt-5.4-nano-2026-03-17,100.0,0 / 200 / 600 / 1000,integer,0.6635,0.6357,0.691,200,E1/E3 new
gpt-5.4-nano-2026-03-17,1000.0,0 / 2000 / 6000 / 10000,integer,0.653,0.623,0.6815,200,E1/E3 new
