arm,language,scale_nominal,coop_rate
ten-scale,ar,0.01,0.54875
ten-scale,ar,0.1,0.6216666666666666
ten-scale,ar,0.25,0.6395833333333333
ten-scale,ar,0.5,0.7058333333333333
ten-scale,ar,1.0,0.6804166666666667
ten-scale,ar,2.0,0.6766666666666666
ten-scale,ar,5.0,0.7233333333333333
ten-scale,ar,10.0,0.7100000000000001
ten-scale,ar,100.0,0.73125
ten-scale,ar,1000.0,0.6320833333333333
ten-scale,cn,0.01,0.51625
ten-scale,cn,0.1,0.6354166666666666
ten-scale,cn,0.25,0.6475000000000001
ten-scale,cn,0.5,0.6154166666666666
ten-scale,cn,1.0,0.5945833333333332
ten-scale,cn,2.0,0.6341666666666667
ten-scale,cn,5.0,0.63
ten-scale,cn,10.0,0.6408333333333334
ten-scale,cn,100.0,0.6208333333333333
ten-scale,cn,1000.0,0.6504166666666666
ten-scale,en,0.01,0.7120833333333334
ten-scale,en,0.1,0.6408333333333334
ten-scale,en,0.25,0.8116666666666668
ten-scale,en,0.5,0.7833333333333333
ten-scale,en,1.0,0.7445833333333333
ten-scale,en,2.0,0.705
ten-scale,en,5.0,0.6645833333333333
ten-scale,en,10.0,0.7100000000000001
ten-scale,en,100.0,0.6979166666666666
ten-scale,en,1000.0,0.6620833333333334
ten-scale,fr,0.01,0.7445833333333333
ten-scale,fr,0.1,0.6879166666666666
ten-scale,fr,0.25,0.7779166666666666
ten-scale,fr,0.5,0.6370833333333333
ten-scale,fr,1.0,0.6604166666666667
ten-scale,fr,2.0,0.6075
ten-scale,fr,5.0,0.6554166666666668
ten-scale,fr,10.0,0.6895833333333333
ten-scale,fr,100.0,0.5820833333333333
ten-scale,fr,1000.0,0.6329166666666667
ten-scale,vn,0.01,0.59625
ten-scale,vn,0.1,0.5516666666666666
ten-scale,vn,0.25,0.6841666666666666
ten-scale,vn,0.5,0.6566666666666666
ten-scale,vn,1.0,0.6283333333333334
ten-scale,vn,2.0,0.6454166666666666
ten-scale,vn,5.0,0.645
ten-scale,vn,10.0,0.5583333333333333
ten-scale,vn,100.0,0.67
ten-scale,vn,1000.0,0.6075
three-scale,ar,0.1,0.46208333333333335
three-scale,ar,1.0,0.59
three-scale,ar,10.0,0.5275
three-scale,cn,0.1,0.42375
three-scale,cn,1.0,0.5545833333333333
three-scale,cn,10.0,0.5570833333333333
three-scale,en,0.1,0.42458333333333337
three-scale,en,1.0,0.5883333333333333
three-scale,en,10.0,0.6041666666666666
three-scale,fr,0.1,0.3729166666666667
three-scale,fr,1.0,0.6625
three-scale,fr,10.0,0.6366666666666667
three-scale,vn,0.1,0.42291666666666666
three-scale,vn,1.0,0.5354166666666667
three-scale,vn,10.0,0.6220833333333334
