arm,archetype,swing,p,null95,moves
ten-scale,AllC,0.06916666666666665,0.009,0.06004166666666668,1
ten-scale,TFT,0.05083333333333333,0.0015,0.040874999999999974,1
ten-scale,WSLS,0.05249999999999999,0.0165,0.046666666666666676,1
ten-scale,AllD,0.0925,0.0,0.053333333333333344,1
ten-scale,Ambiguous,0.08666666666666667,0.0075,0.07250000000000001,1
three-scale,AllC,0.08416666666666661,0.0,0.043333333333333335,1
three-scale,TFT,0.034166666666666665,0.035,0.031666666666666676,1
three-scale,WSLS,0.055833333333333346,0.0035,0.039166666666666655,1
three-scale,AllD,0.20416666666666666,0.0,0.04749999999999999,1
three-scale,Ambiguous,0.043333333333333335,0.0,0.026666666666666665,1
