figure_id,filename,section,plot_type,variables,scientific_question,main_finding,publication_worthy
01_data_quality/Q01_design_balance,01_data_quality/Q01_design_balance.png,01_data_quality,heatmap + bar,"scale, model, language, dyad, game count",Is the 10x6x5x4x10 factorial grid complete and balanced?,"Complete: 12000 games, every one of 1200 design cells holds exactly 10 games.",yes
01_data_quality/Q02_constants_and_missingness,01_data_quality/Q02_constants_and_missingness.png,01_data_quality,bar,all raw and derived columns,"Which columns carry information, and is any value truly missing?",11 raw columns are constant. No value is missing in the raw files; every NaN downstream is a structurally undefined lag or an unobserved conditioning event.,yes
01_data_quality/Q03_payoff_reconstruction,01_data_quality/Q03_payoff_reconstruction.png,01_data_quality,scatter + histogram,"payoff_raw, scale, outcome",Do the recorded scores reproduce lambda times the stated payoff matrix?,"Yes, exactly: 1.000000 of 240,000 agent-rounds reconstruct with zero error, so the payoff scale is uncontaminated and lambda is a clean experimental factor.",yes
01_data_quality/Q04_sequence_duplication_and_nesting,01_data_quality/Q04_sequence_duplication_and_nesting.png,01_data_quality,bar + log-log + bar,"action sequences, table sizes","How much repetition is in the action sequences, and what is the independent unit of analysis?","Only 977 of 1024 possible sequences occur; the two constant sequences alone are 39.5% of agent-games. Rounds are 20x pseudoreplicated relative to games, so every interval must cluster on game_uid.",yes
01_data_quality/Q05_common_random_numbers,01_data_quality/Q05_common_random_numbers.png,01_data_quality,histogram + correlation heatmap,"cell, scale, joint_coop","Are games matched across payoff scale, so the scale axis can be analysed as a paired comparison?","Yes. All 1,200 design cells appear at all 10 scales. Cell-matched cooperation correlates across scales at mean Spearman rho = 0.55, so pairing on the cell removes a large part of the between-cell variance.",yes
02_distributions/D01_cooperation_distribution,02_distributions/D01_cooperation_distribution.png,02_distributions,histogram + ECDF + ridgeline + Q-Q,"coop_rate, model","What is the shape of the cooperation distribution, and can it be summarised by a mean?","Pooled, cooperation is U-shaped: 11.1% of agent-games never cooperate, 28.5% always do, and the density dips to a minimum at 0.5. The two atoms hold 39.5% of the mass against 18.2% under a flat reference. The shape is not universal: the atom share runs from 9% (Claude-Haiku-4.5, unimodal with a mode at 0.2) to 60% (Qwen3-235B-A22B), so the pooled U is in part an aggregation of heterogeneous models.",yes
02_distributions/D02_payoff_support,02_distributions/D02_payoff_support.png,02_distributions,bar + ECDF + histogram,"payoff_base, payoff_raw, utility, scale",What does the payoff variable actually look like?,"Payoff is a four-atom discrete variable, not a continuous one: in base units it takes only {0, 2, 6, 10}, with P (mutual defection) at 22.6% and R (mutual cooperation) at 40.5%. lambda rescales the atoms but does not change their probabilities except through behaviour.",yes
02_distributions/D03_behavioural_variable_shapes,02_distributions/D03_behavioural_variable_shapes.png,02_distributions,histogram grid,"reciprocity, endgame_drop, utility_gap, n_switch, first_dd, rule_distance",Are the derived behavioural variables well behaved enough for parametric summaries?,"No. Reciprocity, the endgame drop and the utility gap are all zero-inflated and heavy-tailed; the modal game has zero reciprocity, zero endgame drop and a zero utility gap, with long one-sided tails.",yes
02_distributions/D04_boundary_mass_by_condition,02_distributions/D04_boundary_mass_by_condition.png,02_distributions,stacked bar,"coop_rate atoms x model, scale, dyad","Do the experimental factors move the mean, or do they move the mixture of degenerate policies?","They move the mixture. Every condition shifts mass between the always-C and never-C atoms while the interior share stays comparatively stable, so a change in mean cooperation is mostly a change in how often a model adopts an unconditional policy.",yes
02_distributions/D05_temporal_profile,02_distributions/D05_temporal_profile.png,02_distributions,line + stacked bar,"round, coop, outcome",How does behaviour move over the 10-round horizon?,"Cooperation falls from 0.566 in round 1 to 0.590 in round 10, and mutual defection rises from 0.259 to 0.228. The horizon is disclosed, so this is the expected backward-induction signature.",yes
03_payoff/P01_payoff_decomposition,03_payoff/P01_payoff_decomposition.png,03_payoff,bar + decomposition + ECDF,"outcome, utility, model","Where does payoff come from, given that the matrix fixes it once both actions are chosen?",Mutual cooperation is the modal outcome (0.405) but mutual defection is close behind (0.226); the exploitation cells are 0.368 combined. Mean utility 0.599 is fully accounted for by these four probabilities.,yes
03_payoff/P02_payoff_by_factor,03_payoff/P02_payoff_by_factor.png,03_payoff,dot plot with clustered bootstrap CI,"utility x model, language, dyad, scale, personality, round","Which experimental factors move realised payoff, and by how much?","Model identity and personality pairing move utility far more than payoff scale or language. Every group mean sits between the all-DD and all-CC benchmarks, so no model systematically exploits its twin.",yes
03_payoff/P03_payoff_cooperation_coupling,03_payoff/P03_payoff_cooperation_coupling.png,03_payoff,hexbin + binned line,"coop_rate, opp_coop_rate, utility, joint_utility","Does cooperating pay, individually and collectively?","Individually it does not: own cooperation correlates with own utility at rho = -0.015, while the opponent's cooperation correlates at rho = 0.916. Collectively it does: dyad welfare rises with joint cooperation at rho = 0.985. This is the prisoner's dilemma reproduced from the logs rather than assumed.",yes
03_payoff/P04_raw_payoff_scaling,03_payoff/P04_raw_payoff_scaling.png,03_payoff,log-log + residual,"payoff_raw, scale","Does raw payoff scale with lambda as a power law, and is that informative?","The fitted exponent is b = 0.9950 with R2 = 0.999880, which is the arithmetic identity payoff = lambda x base and carries no behavioural content. The residual, spanning only 0.0464 dex, is the entire behavioural signal; all real scaling analysis must be done on scale-free quantities.",yes
04_scaling/S01_invariance_test_headline,04_scaling/S01_invariance_test_headline.png,04_scaling,line with CI + paired delta + AIC comparison,"joint_coop, scale, cell",Does multiplying every payoff by a constant - a transformation that provably cannot change the game - change how the models play?,"Yes, and the effect is not small: dyad cooperation moves over a range of 0.125 across the lambda ladder, minimised at lambda = 0.01 and maximised at lambda = 0.25. The paired within-cell contrast confirms it on identical games: 6 of 9 scales differ from lambda = 1. The best functional form is 'categorical', so the deviation is not a simple monotone trend.",yes
04_scaling/S02_scaling_by_model,04_scaling/S02_scaling_by_model.png,04_scaling,small multiples with CI,"joint_coop, scale, model",Is the payoff-scale effect a shared property of frontier LLMs or a model-specific quirk?,"It is model-specific in both size and sign. Slopes per decade of lambda range from -0.021 to +0.093, and the within-model ranges across the ladder are several times larger than the fitted linear trends, so the departure from invariance is non-monotone in most models.",yes
04_scaling/S03_slope_forest,04_scaling/S03_slope_forest.png,04_scaling,forest plot,"all outcomes x scale, model","Which behavioural quantities respond to the payoff multiplier, and in which direction?","Cooperation and everything mechanically downstream of it respond. The two fairness measures, the within-dyad utility gap and its Gini, are the only outcomes whose slope cannot be distinguished from zero, so payoff magnitude changes how much a pair cooperates without changing how evenly the proceeds are split. For every outcome the range across the ladder is several times the linear slope per decade, the signature of a non-monotone response. 5 of 6 models have a cooperation slope significantly different from zero.",yes
04_scaling/S04_scale_deviation_heatmaps,04_scaling/S04_scale_deviation_heatmaps.png,04_scaling,heatmap,"joint_coop x scale x model, language, dyad","Is the departure from payoff invariance concentrated in particular models, languages or pairings?","The row-centred deviations show the effect is carried mainly by the extreme small scales (lambda = 0.01 and 0.1), where most models cooperate less, and it is present in every language and every pairing, which rules out a translation or persona artefact as the sole cause.",yes
04_scaling/S05_threshold_variance_effectsize,04_scaling/S05_threshold_variance_effectsize.png,04_scaling,bar + line + eta-squared bar,"joint_coop, scale, model, dyad, language","Where on the ladder does invariance break, does lambda change dispersion, and how large is the effect relative to the other design factors?","The break is at the small end: lambda = 0.01 and 0.1 sit 0.112 and 0.084 below the mid-ladder reference, both FDR-significant, while the large scales are close to it. Dispersion barely changes (Levene p = 1.38e-21). Payoff scale explains 0.0171 of the variance in cooperation against 0.1776 for model identity, so the violation is real but an order of magnitude smaller than model identity.",yes
04_scaling/S06_scaling_mechanism,04_scaling/S06_scaling_mechanism.png,04_scaling,stacked bar + line + trajectory,"coop_rate atoms, scale, round",By what mechanism does the payoff multiplier change behaviour?,"By re-weighting unconditional policies rather than by bending the within-game trajectory. Across the ladder the always-cooperate share tracks log lambda at Spearman rho = +0.05 and the never-cooperate share at rho = -0.47, while the shape of the round-by-round decay is essentially unchanged; the curves for lambda = 0.01, 1 and 1000 are near-parallel.",yes
